代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,13151870.000000002000
真實報酬,3151870.000000001900

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,24154.464729487987
風險,134719.119267629460
起點值,0.179295001784
找到最佳解世代,1538
找到最佳解實驗#,3
找到最佳解次數,13

投資組合檔數,8
1301(3)[1],1303(4)[5],1722(7)[10],2308(12)[6],2347(18)[2],2412(24)[9],2498(27)[7],2883(32)[31],
Stock#,1301(3)[1],1303(4)[5],1722(7)[10],2308(12)[6],2347(18)[2],2412(24)[9],2498(27)[7],2883(32)[31],
張數,25,29,18,14,28,22,2,187,
分配資金,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,
剩餘資金,12750.000000000000,3580.000000000233,33740.000000000233,26540.000000000000,22200.000000000000,45500.000000000000,268500.000000000000,4580.000000000000,
FS( 1 ),1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,10000000.000000000000
FS( 2 ),1261000.000000000000,1260730.000000000200,1293020.000000000200,1239220.000000000000,1291160.000000000000,1255280.000000000000,1208100.000000000000,1253739.999999999800,10062250.000000000000
FS( 3 ),1268250.000000000000,1273780.000000000000,1293020.000000000200,1244540.000000000000,1300960.000000000000,1258800.000000000000,1209700.000000000000,1255610.000000000000,10104660.000000000000
FS( 4 ),1259000.000000000000,1263050.000000000200,1336040.000000000200,1244540.000000000000,1281359.999999999800,1257040.000000000000,1238720.000000000000,1259350.000000000000,10139100.000000000000
FS( 5 ),1268250.000000000000,1282480.000000000200,1329200.000000000200,1206880.000000000200,1289480.000000000000,1258800.000000000000,1240320.000000000000,1264960.000000000000,10140370.000000000000
FS( 6 ),1275500.000000000000,1304230.000000000200,1342700.000000000200,1217660.000000000000,1289480.000000000000,1248240.000000000000,1235500.000000000000,1289270.000000000000,10202580.000000000000
FS( 7 ),1277250.000000000000,1297850.000000000200,1354760.000000000200,1228439.999999999800,1297880.000000000000,1234160.000000000000,1238720.000000000000,1272440.000000000200,10201500.000000000000
FS( 8 ),1282750.000000000000,1308580.000000000200,1318580.000000000200,1228439.999999999800,1272960.000000000000,1235920.000000000000,1217760.000000000000,1240650.000000000200,10105640.000000000000
FS( 9 ),1290250.000000000000,1289150.000000000200,1303460.000000000200,1212199.999999999800,1266520.000000000000,1238780.000000000000,1209700.000000000000,1251870.000000000000,10061930.000000000000
FS( 10 ),1297500.000000000000,1308580.000000000200,1334960.000000000200,1212199.999999999800,1261200.000000000000,1242520.000000000000,1219380.000000000000,1255610.000000000000,10131950.000000000000
FS( 11 ),1297500.000000000000,1308580.000000000200,1337660.000000000200,1212199.999999999800,1276040.000000000200,1246260.000000000000,1272560.000000000000,1255610.000000000000,10206410.000000000000
FS( 12 ),1290250.000000000000,1306550.000000000200,1344500.000000000000,1201420.000000000000,1330080.000000000000,1259460.000000000000,1253220.000000000000,1248130.000000000000,10233610.000000000000
FS( 13 ),1288250.000000000000,1306550.000000000200,1389320.000000000200,1250000.000000000000,1307680.000000000000,1266940.000000000000,1254840.000000000000,1246259.999999999800,10309840.000000000000
FS( 14 ),1312000.000000000000,1317280.000000000000,1389320.000000000200,1298439.999999999800,1300400.000000000000,1261220.000000000000,1250000.000000000000,1227560.000000000000,10356220.000000000000
FS( 15 ),1299250.000000000000,1317280.000000000000,1416680.000000000200,1282340.000000000000,1306000.000000000000,1259460.000000000000,1266120.000000000000,1220080.000000000000,10367210.000000000000
FS( 16 ),1306500.000000000000,1341060.000000000200,1416680.000000000200,1293120.000000000000,1304040.000000000200,1259460.000000000000,1306400.000000000000,1236910.000000000000,10464170.000000000000
FS( 17 ),1299250.000000000000,1343380.000000000500,1409840.000000000500,1293120.000000000000,1315240.000000000000,1250000.000000000000,1299960.000000000000,1235040.000000000000,10445830.000000000000
FS( 18 ),1273750.000000000000,1308580.000000000200,1356740.000000000200,1233760.000000000000,1278000.000000000000,1244500.000000000000,1295120.000000000000,1192030.000000000000,10182480.000000000000
FS( 19 ),1281000.000000000000,1336710.000000000000,1356740.000000000200,1239220.000000000000,1268480.000000000000,1253740.000000000000,1282240.000000000000,1171460.000000000000,10189590.000000000000
FS( 20 ),1284750.000000000000,1339030.000000000000,1392020.000000000200,1298439.999999999800,1278000.000000000000,1255720.000000000000,1274180.000000000000,1186420.000000000200,10308560.000000000000
FS( 21 ),1308500.000000000000,1349760.000000000200,1389320.000000000200,1287660.000000000000,1246080.000000000000,1261220.000000000000,1274180.000000000000,1195770.000000000000,10312490.000000000000
FS( 22 ),1308500.000000000000,1345410.000000000500,1368980.000000000500,1336240.000000000000,1251680.000000000000,1270679.999999999800,1211320.000000000000,1221950.000000000000,10314760.000000000000
FS( 23 ),1312000.000000000000,1349760.000000000200,1389320.000000000200,1336240.000000000000,1264840.000000000000,1293120.000000000200,1229040.000000000000,1205120.000000000000,10379440.000000000000
FS( 24 ),1326500.000000000000,1369480.000000000200,1409840.000000000500,1347020.000000000000,1259240.000000000000,1293120.000000000200,1219380.000000000000,1205120.000000000000,10429700.000000000000
FS( 25 ),1324750.000000000000,1365130.000000000500,1375820.000000000200,1341560.000000000000,1274080.000000000000,1298620.000000000200,1259660.000000000000,1208860.000000000000,10448480.000000000000
FS( 26 ),1323000.000000000000,1373830.000000000200,1382480.000000000500,1330780.000000000000,1304040.000000000200,1304340.000000000000,1274180.000000000000,1212600.000000000000,10505250.000000000000
FS( 27 ),1326500.000000000000,1384560.000000000200,1363400.000000000200,1330780.000000000000,1292840.000000000000,1298620.000000000200,1317680.000000000000,1205120.000000000000,10519500.000000000000
FS( 28 ),1324750.000000000000,1391230.000000000200,1370240.000000000200,1357800.000000000000,1290880.000000000000,1306100.000000000000,1309620.000000000000,1203250.000000000000,10553870.000000000000
FS( 29 ),1321250.000000000000,1393260.000000000200,1375820.000000000200,1336240.000000000000,1294800.000000000200,1315560.000000000000,1327360.000000000000,1199509.999999999800,10563800.000000000000
FS( 30 ),1335750.000000000000,1412690.000000000500,1340360.000000000500,1341560.000000000000,1309639.999999999800,1313580.000000000000,1348300.000000000000,1208860.000000000000,10610740.000000000000
FS( 31 ),1381250.000000000000,1458510.000000000200,1352600.000000000200,1373900.000000000000,1328400.000000000000,1332280.000000000000,1422440.000000000000,1242520.000000000000,10891900.000000000000
FS( 32 ),1379500.000000000000,1451840.000000000200,1371680.000000000200,1363120.000000000000,1324480.000000000000,1336020.000000000000,1485300.000000000000,1240650.000000000200,10952590.000000000000
FS( 33 ),1390500.000000000000,1454160.000000000500,1382480.000000000500,1384680.000000000000,1330080.000000000000,1338000.000000000000,1445000.000000000000,1242520.000000000000,10967420.000000000000
FS( 34 ),1377750.000000000000,1456190.000000000500,1372940.000000000200,1384680.000000000000,1322800.000000000200,1326780.000000000000,1448240.000000000000,1236910.000000000000,10926290.000000000000
FS( 35 ),1379500.000000000000,1462860.000000000200,1371680.000000000200,1384680.000000000000,1345200.000000000000,1332280.000000000000,1470800.000000000000,1244390.000000000000,10991390.000000000000
FS( 36 ),1386750.000000000000,1471560.000000000200,1377080.000000000200,1400920.000000000000,1362000.000000000000,1334260.000000000000,1445000.000000000000,1246259.999999999800,11023830.000000000000
FS( 37 ),1386750.000000000000,1477940.000000000500,1370240.000000000200,1411699.999999999800,1350800.000000000200,1334260.000000000000,1424060.000000000000,1246259.999999999800,11002010.000000000000
FS( 38 ),1401500.000000000000,1480260.000000000200,1372940.000000000200,1427800.000000000000,1362000.000000000000,1334260.000000000000,1454680.000000000000,1259350.000000000000,11092790.000000000000
FS( 39 ),1408750.000000000000,1477940.000000000500,1386620.000000000000,1427800.000000000000,1347160.000000000000,1341740.000000000000,1435340.000000000000,1264960.000000000000,11090310.000000000000
FS( 40 ),1425250.000000000000,1486640.000000000200,1379780.000000000200,1411699.999999999800,1352760.000000000200,1354720.000000000000,1432120.000000000000,1268700.000000000000,11111670.000000000000
FS( 41 ),1427000.000000000000,1488960.000000000000,1383920.000000000200,1433260.000000000000,1356400.000000000000,1354720.000000000000,1424060.000000000000,1259350.000000000000,11127670.000000000000
FS( 42 ),1414250.000000000000,1475910.000000000500,1394900.000000000200,1422479.999999999800,1358359.999999999800,1354720.000000000000,1424060.000000000000,1266830.000000000000,11111510.000000000000
FS( 43 ),1412500.000000000000,1488960.000000000000,1363400.000000000200,1433260.000000000000,1375160.000000000000,1354720.000000000000,1411160.000000000000,1261219.999999999800,11100380.000000000000
FS( 44 ),1417750.000000000000,1490990.000000000200,1383920.000000000200,1438580.000000000000,1360040.000000000200,1354720.000000000000,1407940.000000000000,1264960.000000000000,11118900.000000000000
FS( 45 ),1430750.000000000000,1469240.000000000200,1477880.000000000200,1444040.000000000000,1339599.999999999800,1349220.000000000000,1393440.000000000000,1264960.000000000000,11169130.000000000000
FS( 46 ),1428750.000000000000,1445460.000000000000,1532420.000000000200,1444040.000000000000,1350800.000000000200,1350980.000000000000,1393440.000000000000,1259350.000000000000,11205240.000000000000
FS( 47 ),1427000.000000000000,1445460.000000000000,1518740.000000000200,1411699.999999999800,1358359.999999999800,1352960.000000000000,1427280.000000000000,1279920.000000000200,11221420.000000000000
FS( 48 ),1430750.000000000000,1441110.000000000200,1491560.000000000200,1417020.000000000000,1406800.000000000200,1362200.000000000000,1440180.000000000000,1302360.000000000000,11291980.000000000000
FS( 49 ),1427000.000000000000,1432410.000000000500,1491560.000000000200,1411699.999999999800,1378800.000000000200,1388600.000000000000,1416000.000000000000,1291140.000000000000,11237210.000000000000
FS( 50 ),1403250.000000000000,1399930.000000000200,1491560.000000000200,1411699.999999999800,1404840.000000000000,1373639.999999999800,1420840.000000000000,1279920.000000000200,11185680.000000000000
FS( 51 ),1394250.000000000000,1356430.000000000200,1437020.000000000200,1411699.999999999800,1414359.999999999800,1364179.999999999800,1395040.000000000000,1266830.000000000000,11039810.000000000000
FS( 52 ),1430750.000000000000,1391230.000000000200,1430180.000000000200,1395460.000000000000,1373200.000000000000,1360440.000000000000,1346700.000000000000,1274310.000000000000,11002270.000000000000
FS( 53 ),1509000.000000000000,1451840.000000000200,1464380.000000000200,1417020.000000000000,1386359.999999999800,1364179.999999999800,1370880.000000000000,1287400.000000000200,11251060.000000000000
FS( 54 ),1509000.000000000000,1467210.000000000000,1464380.000000000200,1427800.000000000000,1399240.000000000000,1373639.999999999800,1348300.000000000000,1285530.000000000000,11275100.000000000000
FS( 55 ),1472500.000000000000,1449810.000000000200,1437020.000000000200,1406240.000000000000,1352760.000000000200,1381120.000000000200,1274180.000000000000,1261219.999999999800,11034850.000000000000
FS( 56 ),1463500.000000000000,1436760.000000000200,1464380.000000000200,1357800.000000000000,1362000.000000000000,1377379.999999999800,1298340.000000000000,1255610.000000000000,11015770.000000000000
FS( 57 ),1500000.000000000000,1469240.000000000200,1443860.000000000500,1400920.000000000000,1388040.000000000200,1377379.999999999800,1349920.000000000000,1248130.000000000000,11177490.000000000000
FS( 58 ),1531000.000000000000,1467210.000000000000,1450700.000000000200,1379360.000000000000,1386359.999999999800,1377379.999999999800,1383760.000000000000,1242520.000000000000,11218290.000000000000
FS( 59 ),1554750.000000000000,1484610.000000000200,1512080.000000000200,1384680.000000000000,1386359.999999999800,1377379.999999999800,1359580.000000000000,1246259.999999999800,11305700.000000000000
FS( 60 ),1598500.000000000000,1504040.000000000200,1518740.000000000200,1427800.000000000000,1390000.000000000000,1392340.000000000000,1349920.000000000000,1261219.999999999800,11442560.000000000000
FS( 61 ),1655000.000000000000,1523470.000000000000,1518740.000000000200,1400920.000000000000,1416040.000000000200,1386620.000000000200,1357980.000000000000,1270570.000000000000,11529340.000000000000
FS( 62 ),1680750.000000000000,1523470.000000000000,1505240.000000000200,1379360.000000000000,1433120.000000000000,1379139.999999999800,1357980.000000000000,1270570.000000000000,11529630.000000000000
FS( 63 ),1660500.000000000000,1512740.000000000200,1505240.000000000200,1395460.000000000000,1438720.000000000000,1386620.000000000200,1409560.000000000000,1270570.000000000000,11579410.000000000000
FS( 64 ),1615000.000000000000,1484610.000000000200,1457540.000000000200,1390140.000000000200,1421920.000000000000,1384860.000000000200,1382160.000000000000,1264960.000000000000,11401190.000000000000
FS( 65 ),1646000.000000000000,1523470.000000000000,1484720.000000000200,1417020.000000000000,1440400.000000000000,1392340.000000000000,1459520.000000000000,1278050.000000000000,11641520.000000000000
FS( 66 ),1636749.999999999800,1527820.000000000200,1457540.000000000200,1411699.999999999800,1442359.999999999800,1390360.000000000200,1457900.000000000000,1278050.000000000000,11602480.000000000000
FS( 67 ),1646000.000000000000,1523470.000000000000,1457540.000000000200,1427800.000000000000,1436760.000000000200,1403560.000000000000,1469180.000000000000,1266830.000000000000,11631140.000000000000
FS( 68 ),1666000.000000000000,1532170.000000000200,1471040.000000000200,1427800.000000000000,1425560.000000000000,1407300.000000000000,1486920.000000000000,1274310.000000000000,11691100.000000000000
FS( 69 ),1708000.000000000000,1580020.000000000200,1566440.000000000200,1438580.000000000000,1412400.000000000000,1424020.000000000000,1493360.000000000000,1279920.000000000200,11902740.000000000000
FS( 70 ),1737250.000000000000,1603800.000000000200,1627820.000000000200,1444040.000000000000,1406800.000000000200,1444700.000000000000,1515920.000000000000,1279920.000000000200,12060250.000000000000
FS( 71 ),1739000.000000000000,1621200.000000000500,1614140.000000000000,1422479.999999999800,1397560.000000000000,1480120.000000000000,1520760.000000000000,1274310.000000000000,12069570.000000000000
FS( 72 ),1728000.000000000000,1597420.000000000200,1586960.000000000200,1438580.000000000000,1414359.999999999800,1472640.000000000000,1525600.000000000000,1276180.000000000000,12039740.000000000000
FS( 73 ),1697000.000000000000,1582340.000000000200,1593800.000000000200,1427800.000000000000,1423599.999999999800,1452179.999999999800,1499800.000000000000,1279920.000000000200,11956440.000000000000
FS( 74 ),1647750.000000000200,1553920.000000000200,1552940.000000000200,1427800.000000000000,1412400.000000000000,1433480.000000000000,1499800.000000000000,1255610.000000000000,11783700.000000000000
FS( 75 ),1620500.000000000000,1547540.000000000200,1498400.000000000200,1427800.000000000000,1416040.000000000200,1437220.000000000000,1523980.000000000000,1242520.000000000000,11714000.000000000000
FS( 76 ),1664250.000000000000,1577990.000000000200,1518740.000000000200,1438580.000000000000,1414359.999999999800,1440960.000000000000,1552980.000000000000,1253739.999999999800,11861600.000000000000
FS( 77 ),1642250.000000000200,1549570.000000000200,1512080.000000000200,1427800.000000000000,1397560.000000000000,1437220.000000000000,1541700.000000000000,1236910.000000000000,11745090.000000000000
FS( 78 ),1667750.000000000000,1532170.000000000200,1525580.000000000200,1438580.000000000000,1406800.000000000200,1429740.000000000000,1562660.000000000000,1248130.000000000000,11811410.000000000000
FS( 79 ),1666000.000000000000,1527820.000000000200,1505240.000000000200,1454820.000000000000,1406800.000000000200,1452179.999999999800,1601340.000000000000,1236910.000000000000,11851110.000000000000
FS( 80 ),1655000.000000000000,1527820.000000000200,1552940.000000000200,1481699.999999999800,1436760.000000000200,1448440.000000000000,1680300.000000000000,1242520.000000000000,12025480.000000000000
