代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,12086699.999450000000
真實報酬,2086699.999450000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,18206.861467484527
風險,108649.283793481940
起點值,0.167574611003
找到最佳解世代,2394
找到最佳解實驗#,5
找到最佳解次數,7

投資組合檔數,9
1326(5)[28],2207(12)[10],2301(13)[8],2308(15)[14],2357(24)[19],2881(33)[2],2912(41)[4],3673(47)[5],9999(50)[35],
Stock#,1326(5)[28],2207(12)[10],2301(13)[8],2308(15)[14],2357(24)[19],2881(33)[2],2912(41)[4],3673(47)[5],9999(50)[35],
張數,19,6,37,12,4,41,8,2,-1,
分配資金,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,
剩餘資金,43121.000000000000,2191.000000000000,14061.000000000000,36750.999999999767,193471.000000000000,7391.000000000000,60471.000000000000,247691.000000000000,1111111.000000000000,
FS( 1 ),1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,10000000.000000000000
FS( 2 ),1103131.000000000000,1095570.999999999800,1102971.000000000000,1121190.999999999800,1115431.000000000000,1114801.000000000000,1121511.000000000000,1158671.000000000000,1111111.000000000000,10044390.000000000000
FS( 3 ),1117381.000000000000,1113751.000000000000,1111111.000000000000,1126230.999999999800,1109671.000000000000,1119721.000000000000,1128471.000000000000,1173591.000000000000,1111111.000000000000,10111040.000000000000
FS( 4 ),1117381.000000000000,1113751.000000000000,1118141.000000000000,1116150.999999999800,1095231.000000000000,1123001.000000000200,1128471.000000000000,1173591.000000000000,1111111.000000000000,10096830.000000000000
FS( 5 ),1121941.000000000000,1098151.000000000000,1122210.999999999800,1121190.999999999800,1099551.000000000000,1123001.000000000200,1131911.000000000000,1165191.000000000000,1111111.000000000000,10094260.000000000000
FS( 6 ),1132961.000000000000,1090411.000000000000,1105561.000000000000,1106070.999999999800,1095231.000000000000,1112751.000000000200,1149351.000000000000,1169851.000000000000,1111111.000000000000,10073300.000000000000
FS( 7 ),1126691.000000000000,1095570.999999999800,1102971.000000000000,1116150.999999999800,1096671.000000000000,1112751.000000000200,1152791.000000000000,1183851.000000000000,1111111.000000000000,10098560.000000000000
FS( 8 ),1134671.000000000000,1126651.000000000000,1112591.000000000000,1116150.999999999800,1115431.000000000000,1132841.000000000000,1156311.000000000000,1183851.000000000000,1111111.000000000000,10189610.000000000000
FS( 9 ),1148731.000000000000,1126651.000000000000,1118141.000000000000,1126230.999999999800,1157191.000000000000,1141451.000000000000,1156311.000000000000,1180111.000000000000,1111111.000000000000,10265930.000000000000
FS( 10 ),1148731.000000000000,1142251.000000000000,1111111.000000000000,1106070.999999999800,1158631.000000000000,1134481.000000000000,1159751.000000000000,1158671.000000000000,1111111.000000000000,10230810.000000000000
FS( 11 ),1153481.000000000000,1137031.000000000000,1105561.000000000000,1116150.999999999800,1157191.000000000000,1132841.000000000000,1159751.000000000000,1125091.000000000000,1111111.000000000000,10198210.000000000000
FS( 12 ),1150251.000000000000,1147411.000000000000,1094460.999999999800,1116150.999999999800,1160071.000000000000,1136121.000000000000,1166711.000000000000,1174511.000000000000,1111111.000000000000,10256800.000000000000
FS( 13 ),1153481.000000000000,1188871.000000000000,1100011.000000000000,1116150.999999999800,1138471.000000000000,1159901.000000000000,1173671.000000000000,1183851.000000000000,1111111.000000000000,10325520.000000000000
FS( 14 ),1140941.000000000000,1137031.000000000000,1077811.000000000000,1080871.000000000000,1129831.000000000000,1138171.000000000000,1145831.000000000000,1202491.000000000000,1111111.000000000000,10164090.000000000000
FS( 15 ),1140941.000000000000,1121491.000000000200,1071151.000000000000,1106070.999999999800,1116871.000000000000,1127921.000000000000,1156311.000000000000,1189431.000000000000,1111111.000000000000,10141300.000000000000
FS( 16 ),1117381.000000000000,1111111.000000000000,1057091.000000000000,1090950.999999999500,1119751.000000000000,1131201.000000000000,1149351.000000000000,1221131.000000000000,1111111.000000000000,10109080.000000000000
FS( 17 ),1129921.000000000000,1105951.000000000000,1100011.000000000000,1085910.999999999800,1112551.000000000000,1132841.000000000000,1156311.000000000000,1195031.000000000000,1111111.000000000000,10129640.000000000000
FS( 18 ),1148731.000000000000,1147411.000000000000,1087801.000000000000,1095990.999999999800,1126951.000000000000,1146371.000000000000,1163271.000000000000,1213671.000000000000,1111111.000000000000,10241310.000000000000
FS( 19 ),1158041.000000000000,1157791.000000000000,1080771.000000000000,1095990.999999999800,1124071.000000000000,1148011.000000000200,1156311.000000000000,1213671.000000000000,1111111.000000000000,10245770.000000000000
FS( 20 ),1194141.000000000000,1173330.999999999800,1079291.000000000000,1095990.999999999800,1124071.000000000000,1151290.999999999800,1156311.000000000000,1206211.000000000000,1111111.000000000000,10291750.000000000000
FS( 21 ),1219221.000000000000,1209570.999999999800,1082251.000000000000,1111111.000000000000,1134151.000000000000,1179581.000000000000,1142391.000000000000,1204351.000000000000,1111111.000000000000,10393740.000000000000
FS( 22 ),1225491.000000000000,1212151.000000000000,1116661.000000000200,1121190.999999999800,1139911.000000000000,1179581.000000000000,1142391.000000000000,1219271.000000000000,1111111.000000000000,10467760.000000000000
FS( 23 ),1263110.999999999800,1240651.000000000000,1122210.999999999800,1111111.000000000000,1134151.000000000000,1186551.000000000000,1152791.000000000000,1228591.000000000000,1111111.000000000000,10550280.000000000000
FS( 24 ),1275651.000000000200,1261411.000000000000,1111111.000000000000,1101030.999999999800,1113991.000000000000,1176301.000000000000,1159751.000000000000,1237931.000000000000,1111111.000000000000,10548290.000000000000
FS( 25 ),1274131.000000000200,1256251.000000000000,1094460.999999999800,1090950.999999999500,1112551.000000000000,1188191.000000000000,1145831.000000000000,1200631.000000000000,1111111.000000000000,10474110.000000000000
FS( 26 ),1272610.999999999800,1235491.000000000200,1108521.000000000000,1085910.999999999800,1129831.000000000000,1179581.000000000000,1142391.000000000000,1161471.000000000000,1111111.000000000000,10426920.000000000000
FS( 27 ),1260071.000000000000,1219951.000000000000,1108521.000000000000,1085910.999999999800,1118311.000000000000,1209921.000000000000,1163271.000000000000,1150271.000000000000,1111111.000000000000,10427340.000000000000
FS( 28 ),1263110.999999999800,1212151.000000000000,1080771.000000000000,1085910.999999999800,1152871.000000000000,1249691.000000000000,1180631.000000000000,1161471.000000000000,1111111.000000000000,10497720.000000000000
FS( 29 ),1275651.000000000200,1219951.000000000000,1094460.999999999800,1080871.000000000000,1158631.000000000000,1233290.999999999800,1180631.000000000000,1159591.000000000000,1111111.000000000000,10514190.000000000000
FS( 30 ),1258551.000000000000,1217371.000000000000,1108521.000000000000,1065750.999999999800,1152871.000000000000,1236571.000000000000,1180631.000000000000,1137211.000000000000,1111111.000000000000,10468590.000000000000
FS( 31 ),1267860.999999999800,1201830.999999999800,1116661.000000000200,1095990.999999999800,1141351.000000000000,1202951.000000000000,1180631.000000000000,1124171.000000000000,1111111.000000000000,10442560.000000000000
FS( 32 ),1263110.999999999800,1188871.000000000000,1108521.000000000000,1106070.999999999800,1121191.000000000000,1193111.000000000000,1184151.000000000000,1103651.000000000000,1111111.000000000000,10379790.000000000000
