代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,12169481.426449999000
真實報酬,2169481.426449999200

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,18364.128950718245
風險,123294.251735295630
起點值,0.148945540382
找到最佳解世代,1813
找到最佳解實驗#,1
找到最佳解次數,38

投資組合檔數,7
2227(11)[27],2324(17)[17],2474(26)[16],3045(42)[6],4904(45)[9],4938(46)[1],9999(50)[34],
Stock#,2227(11)[27],2324(17)[17],2474(26)[16],3045(42)[6],4904(45)[9],4938(46)[1],9999(50)[34],
張數,6,78,5,16,25,30,-1,
分配資金,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,
剩餘資金,101731.000000000000,3511.000000000000,236271.000000000000,80571.000000000000,4571.000000000000,9270.999999999767,1428571.000000000000,
FS( 1 ),1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,10000000.000000000000
FS( 2 ),1412430.999999999800,1412190.999999999800,1446871.000000000000,1429851.000000000000,1428571.000000000000,1397970.999999999800,1428571.000000000000,9956460.000000000000
FS( 3 ),1414711.000000000000,1373971.000000000000,1424021.000000000000,1423131.000000000000,1445821.000000000000,1395570.999999999800,1428571.000000000000,9905800.000000000000
FS( 4 ),1389331.000000000000,1360710.999999999800,1428571.000000000000,1434011.000000000000,1450321.000000000000,1387770.999999999800,1428571.000000000000,9879290.000000000000
FS( 5 ),1375471.000000000000,1354471.000000000000,1437721.000000000000,1413531.000000000000,1437321.000000000000,1405770.999999999800,1428571.000000000000,9852860.000000000000
FS( 6 ),1407811.000000000000,1366951.000000000000,1419421.000000000000,1427131.000000000000,1443821.000000000000,1454070.999999999800,1428571.000000000000,9947780.000000000000
FS( 7 ),1474711.000000000000,1363831.000000000200,1380621.000000000000,1424411.000000000000,1448071.000000000000,1553370.999999999800,1428571.000000000000,10073590.000000000000
FS( 8 ),1532370.999999999800,1351351.000000000200,1328071.000000000200,1412091.000000000000,1441571.000000000000,1624770.999999999800,1428571.000000000000,10118800.000000000000
FS( 9 ),1541610.999999999800,1380210.999999999800,1334920.999999999800,1429851.000000000000,1443821.000000000000,1627470.999999999500,1428571.000000000000,10186459.999999998000
FS( 10 ),1513951.000000000000,1309230.999999999800,1346371.000000000200,1424411.000000000000,1448071.000000000000,1693770.999999999800,1428571.000000000000,10164380.000000000000
FS( 11 ),1486231.000000000000,1263991.000000000000,1364621.000000000000,1412091.000000000000,1441571.000000000000,1693770.999999999800,1428571.000000000000,10090850.000000000000
FS( 12 ),1509331.000000000000,1283491.000000000000,1380621.000000000000,1421691.000000000000,1448071.000000000000,1696170.999999999500,1428571.000000000000,10167950.000000000000
FS( 13 ),1518571.000000000000,1274131.000000000000,1366921.000000000000,1431291.000000000000,1448071.000000000000,1724371.000000000000,1428571.000000000000,10191930.000000000000
FS( 14 ),1592370.999999999800,1271011.000000000000,1382921.000000000000,1424411.000000000000,1456571.000000000000,1805670.999999999800,1428571.000000000000,10361530.000000000000
FS( 15 ),1557751.000000000000,1280371.000000000200,1403471.000000000000,1424411.000000000000,1458821.000000000000,1895070.999999999800,1428571.000000000000,10448470.000000000000
FS( 16 ),1569331.000000000000,1274131.000000000000,1394321.000000000200,1425851.000000000000,1454571.000000000000,1833870.999999999800,1428571.000000000000,10380650.000000000000
FS( 17 ),1571610.999999999800,1271011.000000000000,1389771.000000000000,1417531.000000000000,1433071.000000000000,1849170.999999999500,1428571.000000000000,10360740.000000000000
FS( 18 ),1587751.000000000000,1289730.999999999800,1437721.000000000000,1414811.000000000000,1411571.000000000000,1902570.999999999800,1428571.000000000000,10472730.000000000000
FS( 19 ),1566991.000000000000,1286611.000000000000,1435421.000000000000,1424411.000000000000,1450321.000000000000,1874670.999999999800,1428571.000000000000,10467000.000000000000
FS( 20 ),1557751.000000000000,1277250.999999999800,1433171.000000000000,1429851.000000000000,1448071.000000000000,1838970.999999999800,1428571.000000000000,10413640.000000000000
FS( 21 ),1546231.000000000000,1283491.000000000000,1442271.000000000000,1427131.000000000000,1450321.000000000000,1874670.999999999800,1428571.000000000000,10452690.000000000000
FS( 22 ),1523191.000000000000,1289730.999999999800,1414871.000000000000,1424411.000000000000,1501821.000000000000,1874670.999999999800,1428571.000000000000,10457270.000000000000
FS( 23 ),1578571.000000000000,1302991.000000000000,1424021.000000000000,1451931.000000000000,1499821.000000000000,1889970.999999999500,1428571.000000000000,10575880.000000000000
FS( 24 ),1587751.000000000000,1325611.000000000000,1424021.000000000000,1458651.000000000000,1486821.000000000000,1859371.000000000000,1428571.000000000000,10570800.000000000000
FS( 25 ),1592370.999999999800,1322491.000000000000,1453721.000000000000,1438171.000000000000,1458821.000000000000,1859371.000000000000,1428571.000000000000,10553520.000000000000
FS( 26 ),1650091.000000000200,1293631.000000000000,1428571.000000000000,1442331.000000000000,1463071.000000000000,1871970.999999999800,1428571.000000000000,10578240.000000000000
