代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10751670.000000000000
真實報酬,751670.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,5435.134916435841
風險,97861.832398640894
起點值,0.055538863142
找到最佳解世代,1284
找到最佳解實驗#,4
找到最佳解次數,5

投資組合檔數,4
1216(2)[8],2412(24)[13],2891(38)[5],3008(41)[4],
Stock#,1216(2)[8],2412(24)[13],2891(38)[5],3008(41)[4],
張數,54,29,160,0,
分配資金,2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,
剩餘資金,18700.000000000000,35580.000000000000,13600.000000000466,2500000.000000000000,
FS( 1 ),2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,10000000.000000000000
FS( 2 ),2485959.999999999500,2500000.000000000000,2500000.000000000000,2500000.000000000000,9985960.000000000000
FS( 3 ),2538340.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,10038340.000000000000
FS( 4 ),2495680.000000000000,2500000.000000000000,2476000.000000000500,2500000.000000000000,9971680.000000000000
FS( 5 ),2485959.999999999500,2500000.000000000000,2493600.000000000500,2500000.000000000000,9979560.000000000000
FS( 6 ),2500000.000000000000,2479990.000000000500,2482400.000000000500,2500000.000000000000,9962390.000000000000
FS( 7 ),2481100.000000000000,2482600.000000000000,2476000.000000000500,2500000.000000000000,9939700.000000000000
FS( 8 ),2481100.000000000000,2482600.000000000000,2469600.000000000500,2500000.000000000000,9933300.000000000000
FS( 9 ),2485959.999999999500,2487530.000000000000,2524000.000000000500,2500000.000000000000,9997490.000000000000
FS( 10 ),2462200.000000000000,2512760.000000000000,2506400.000000000500,2500000.000000000000,9981360.000000000000
FS( 11 ),2438440.000000000500,2500000.000000000000,2482400.000000000500,2500000.000000000000,9920840.000000000000
FS( 12 ),2434119.999999999500,2510150.000000000000,2500000.000000000000,2500000.000000000000,9944270.000000000000
FS( 13 ),2448160.000000000000,2515080.000000000000,2517600.000000000500,2500000.000000000000,9980840.000000000000
FS( 14 ),2457880.000000000500,2525229.999999999500,2524000.000000000500,2500000.000000000000,10007110.000000000000
FS( 15 ),2457880.000000000500,2527839.999999999500,2524000.000000000500,2500000.000000000000,10009720.000000000000
FS( 16 ),2481100.000000000000,2520300.000000000500,2530400.000000000500,2500000.000000000000,10031800.000000000000
FS( 17 ),2481100.000000000000,2542919.999999999500,2506400.000000000500,2500000.000000000000,10030420.000000000000
FS( 18 ),2471920.000000000000,2537700.000000000000,2506400.000000000500,2500000.000000000000,10016020.000000000000
FS( 19 ),2519440.000000000500,2545240.000000000500,2500000.000000000000,2500000.000000000000,10064680.000000000000
FS( 20 ),2490820.000000000000,2537700.000000000000,2476000.000000000500,2500000.000000000000,10004520.000000000000
FS( 21 ),2490820.000000000000,2537700.000000000000,2500000.000000000000,2500000.000000000000,10028520.000000000000
FS( 22 ),2500000.000000000000,2537700.000000000000,2517600.000000000500,2500000.000000000000,10055300.000000000000
FS( 23 ),2462200.000000000000,2517690.000000000000,2500000.000000000000,2500000.000000000000,9979890.000000000000
FS( 24 ),2504860.000000000000,2532770.000000000000,2517600.000000000500,2500000.000000000000,10055230.000000000000
FS( 25 ),2519440.000000000500,2520300.000000000500,2524000.000000000500,2500000.000000000000,10063740.000000002000
FS( 26 ),2504860.000000000000,2520300.000000000500,2511200.000000000500,2500000.000000000000,10036360.000000000000
FS( 27 ),2519440.000000000500,2527839.999999999500,2541600.000000000500,2500000.000000000000,10088880.000000000000
FS( 28 ),2533480.000000000000,2537700.000000000000,2559200.000000000500,2500000.000000000000,10130380.000000000000
