代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11692860.000000000000
真實報酬,1692860.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,15829.541930737509
風險,104788.504436271930
起點值,0.151061817476
找到最佳解世代,1629
找到最佳解實驗#,1
找到最佳解次數,37

投資組合檔數,10
1216(2)[20],1301(3)[18],2408(23)[3],2454(26)[2],2881(31)[10],2884(34)[4],2890(38)[6],2891(39)[19],2912(41)[42],5880(47)[1],
Stock#,1216(2)[20],1301(3)[18],2408(23)[3],2454(26)[2],2881(31)[10],2884(34)[4],2890(38)[6],2891(39)[19],2912(41)[42],5880(47)[1],
張數,17,11,19,4,22,59,116,54,3,68,
分配資金,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,
剩餘資金,23010.000000000000,65219.999999999884,48859.999999999884,120680.000000000000,30900.000000000116,4080.000000000000,2400.000000000116,16120.000000000116,206260.000000000000,14000.000000000000,
FS( 1 ),1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,10000000.000000000000
FS( 2 ),1006630.000000000000,998899.999999999880,1038759.999999999900,1023120.000000000000,1004180.000000000200,1002950.000000000000,997680.000000000120,1008100.000000000100,1005820.000000000000,1000000.000000000000,10086140.000000000000
FS( 3 ),1001700.000000000000,1000000.000000000000,1035149.999999999900,1028920.000000000000,1010560.000000000200,1002950.000000000000,1000000.000000000000,1012960.000000000100,1000000.000000000000,1000000.000000000000,10092240.000000000000
FS( 4 ),998470.000000000000,1000989.999999999900,1055479.999999999800,1057840.000000000000,1002200.000000000100,1005309.999999999900,1005800.000000000200,1010800.000000000200,1005820.000000000000,1006120.000000000000,10148830.000000000000
FS( 5 ),998470.000000000000,1008359.999999999900,1046170.000000000000,1065560.000000000000,999120.000000000000,1000000.000000000000,998840.000000000000,1010800.000000000200,997090.000000000000,1009520.000000000000,10133930.000000000000
FS( 6 ),1013090.000000000000,1013529.999999999900,1018429.999999999900,1092560.000000000000,998020.000000000120,1000000.000000000000,998840.000000000000,1008100.000000000100,1015990.000000000000,1006120.000000000000,10164680.000000000000
FS( 7 ),993540.000000000120,998899.999999999880,1024129.999999999900,1100240.000000000000,998020.000000000120,1000000.000000000000,998840.000000000000,1012960.000000000100,1015990.000000000000,1009520.000000000000,10152140.000000000000
FS( 8 ),986910.000000000120,1006269.999999999900,1009309.999999999800,1086760.000000000000,996920.000000000120,997640.000000000000,1000000.000000000000,1012960.000000000100,1008730.000000000000,1006120.000000000000,10111620.000000000000
FS( 9 ),981979.999999999880,998899.999999999880,1014819.999999999900,1079040.000000000000,1001100.000000000100,997640.000000000000,997680.000000000120,1012960.000000000100,997090.000000000000,1009520.000000000000,10090730.000000000000
FS( 10 ),995070.000000000000,1004179.999999999900,1009309.999999999800,1073280.000000000000,1006380.000000000100,997640.000000000000,1000000.000000000000,1015660.000000000200,1000000.000000000000,1006120.000000000000,10107640.000000000000
FS( 11 ),998470.000000000000,1010449.999999999900,1003799.999999999800,1084840.000000000000,1006380.000000000100,989380.000000000000,998840.000000000000,1012960.000000000100,997090.000000000000,1003400.000000000100,10105610.000000000000
FS( 12 ),985210.000000000000,1007259.999999999900,1005509.999999999900,1088680.000000000000,1007480.000000000100,997640.000000000000,995360.000000000120,1012960.000000000100,997090.000000000000,1003400.000000000100,10100590.000000000000
FS( 13 ),983680.000000000000,1002089.999999999900,1003799.999999999800,1096400.000000000000,1008580.000000000100,994689.999999999880,990720.000000000000,1010800.000000000200,998560.000000000120,1003400.000000000100,10092720.000000000000
FS( 14 ),981979.999999999880,1013529.999999999900,1040660.000000000000,1106040.000000000000,1018040.000000000100,994689.999999999880,974480.000000000120,1018360.000000000000,991300.000000000000,1003400.000000000100,10142480.000000000000
FS( 15 ),983680.000000000000,1016719.999999999900,1036859.999999999900,1113760.000000000000,1031680.000000000200,994689.999999999880,972160.000000000120,1021060.000000000000,994209.999999999880,1000000.000000000000,10164820.000000000000
FS( 16 ),993540.000000000120,1013529.999999999900,1046359.999999999900,1160040.000000000000,1030580.000000000100,992330.000000000000,966360.000000000120,1012960.000000000100,985480.000000000000,1006120.000000000000,10207300.000000000000
FS( 17 ),1014790.000000000100,1016719.999999999900,1053960.000000000000,1165800.000000000000,1027500.000000000000,989380.000000000000,982600.000000000000,1018360.000000000000,985480.000000000000,1003400.000000000100,10257990.000000000000
FS( 18 ),1016490.000000000000,1021889.999999999900,1048259.999999999900,1144600.000000000000,1030580.000000000100,989380.000000000000,979120.000000000120,1012960.000000000100,991300.000000000000,1003400.000000000100,10237980.000000000000
FS( 19 ),1022950.000000000000,1040809.999999999800,1069160.000000000000,1160040.000000000000,1051700.000000000000,1000000.000000000000,983760.000000000230,1033480.000000000100,1017459.999999999900,1015640.000000000000,10395000.000000000000
