代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10755726.666220000000
真實報酬,755726.666220000010

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,39846.726061800058
風險,54837.805778261281
起點值,0.726628746287
找到最佳解世代,2158
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,6
1402(6)[8],2357(21)[23],2801(28)[16],2912(39)[11],3045(40)[1],9999(49)[35],
Stock#,1402(6)[8],2357(21)[23],2801(28)[16],2912(39)[11],3045(40)[1],9999(49)[35],
張數,85,13,229,23,39,-1,
分配資金,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,
剩餘資金,17666.000000000233,102896.000000000000,1836.000000000000,35506.000000000000,3316.000000000000,1666666.000000000000,
FS( 1 ),1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,10000000.000000000000
FS( 2 ),1637766.000000000200,1666666.000000000000,1673536.000000000000,1653786.000000000000,1666666.000000000000,1666666.000000000000,9965090.000000000000
FS( 3 ),1749966.000000000200,1666666.000000000000,1707886.000000000000,1695876.000000000000,1688506.000000000000,1666666.000000000000,10175570.000000000000
FS( 4 ),1771216.000000000200,1666666.000000000000,1680406.000000000000,1690356.000000000200,1699426.000000000200,1666666.000000000000,10174740.000000000000
FS( 5 ),1741466.000000000500,1666666.000000000000,1641476.000000000000,1684836.000000000000,1707616.000000000200,1666666.000000000000,10108730.000000000000
FS( 6 ),1776316.000000000200,1666666.000000000000,1673536.000000000000,1695876.000000000000,1710346.000000000200,1666666.000000000000,10189410.000000000000
FS( 7 ),1760166.000000000200,1666666.000000000000,1659796.000000000000,1759816.000000000000,1699426.000000000200,1666666.000000000000,10212540.000000000000
FS( 8 ),1797566.000000000200,1666666.000000000000,1687276.000000000000,1748776.000000000000,1721656.000000000200,1666666.000000000000,10288610.000000000000
FS( 9 ),1805216.000000000500,1666666.000000000000,1707886.000000000000,1777986.000000000000,1765336.000000000000,1666666.000000000000,10389760.000000000000
FS( 10 ),1858766.000000000200,1666666.000000000000,1726206.000000000200,1799836.000000000000,1759876.000000000000,1666666.000000000000,10478020.000000000000
FS( 11 ),1861316.000000000200,1666666.000000000000,1733076.000000000000,1768786.000000000000,1754416.000000000000,1666666.000000000000,10450930.000000000000
FS( 12 ),1880016.000000000200,1666666.000000000000,1739946.000000000000,1788796.000000000200,1784446.000000000000,1666666.000000000000,10526540.000000000000
FS( 13 ),1874916.000000000500,1666666.000000000000,1733076.000000000000,1766946.000000000000,1787176.000000000200,1666666.000000000000,10495450.000000000000
FS( 14 ),1896166.000000000500,1666666.000000000000,1778876.000000000000,1792476.000000000000,1814866.000000000200,1666666.000000000000,10615720.000000000000
FS( 15 ),1885966.000000000200,1666666.000000000000,1778876.000000000000,1818006.000000000000,1809406.000000000200,1666666.000000000000,10625590.000000000000
FS( 16 ),1912316.000000000000,1666666.000000000000,1772006.000000000000,1812715.999999999800,1793026.000000000000,1666666.000000000000,10623400.000000000000
FS( 17 ),1898716.000000000200,1773656.000000000200,1765136.000000000000,1803516.000000000200,1787176.000000000200,1666666.000000000000,10694870.000000000000
FS( 18 ),1832416.000000000500,1860496.000000000000,1852156.000000000000,1777986.000000000000,1762606.000000000000,1666666.000000000000,10752330.000000000000
FS( 19 ),1834966.000000000200,1784186.000000000200,1975815.999999999800,1759816.000000000000,1787176.000000000200,1666666.000000000000,10808630.000000000000
FS( 20 ),1818816.000000000200,1780676.000000000000,1957495.999999999800,1719566.000000000000,1793026.000000000000,1666666.000000000000,10736250.000000000000
FS( 21 ),1800116.000000000000,1766766.000000000000,1943756.000000000000,1770626.000000000000,1806676.000000000200,1667782.666220000000,10755726.666220000000
