代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10475030.000000000000
真實報酬,475030.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,22665.912891986063
風險,20345.303829413675
起點值,1.114061165271
找到最佳解世代,2149
找到最佳解實驗#,5
找到最佳解次數,3

投資組合檔數,14
1102(1)[7],2207(10)[6],2303(13)[14],2412(24)[44],2801(28)[13],2883(32)[20],2885(34)[1],2890(37)[15],2892(39)[23],3008(41)[2],3474(43)[12],5880(47)[10],6505(48)[5],9904(49)[11],
Stock#,1102(1)[7],2207(10)[6],2303(13)[14],2412(24)[44],2801(28)[13],2883(32)[20],2885(34)[1],2890(37)[15],2892(39)[23],3008(41)[2],3474(43)[12],5880(47)[10],6505(48)[5],9904(49)[11],
張數,22,2,58,8,52,96,55,79,56,0,15,60,11,24,
分配資金,714285.000000000000,714285.000000000000,714285.000000000000,714285.000000000000,714285.000000000000,714285.000000000000,714285.000000000000,714285.000000000000,714285.000000000000,714285.000000000000,714285.000000000000,714285.000000000000,714285.000000000000,714285.000000000000,
剩餘資金,5445.000000000116,88025.000000000000,11905.000000000000,76525.000000000000,1364.999999999884,4845.000000000116,5335.000000000000,8815.000000000000,9805.000000000000,714285.000000000000,6285.000000000000,7485.000000000000,7535.000000000000,3165.000000000000,
FS( 1 ),714285.000000000000,714285.000000000000,714285.000000000000,714285.000000000000,714285.000000000000,714285.000000000000,714285.000000000000,714285.000000000000,714285.000000000000,714285.000000000000,714285.000000000000,714285.000000000000,714285.000000000000,714285.000000000000,10000000.000000000000
FS( 2 ),707025.000000000120,708985.000000000000,721825.000000000000,707645.000000000000,710644.999999999880,714285.000000000000,712085.000000000000,714285.000000000000,712605.000000000120,714285.000000000000,763785.000000000000,711885.000000000000,709555.000000000000,704925.000000000000,10013830.000000000000
FS( 3 ),707905.000000000120,715165.000000000000,718925.000000000000,704365.000000000000,712724.999999999880,714285.000000000000,712085.000000000000,714285.000000000000,710925.000000000000,714285.000000000000,816285.000000000000,710085.000000000000,714285.000000000000,734205.000000000000,10099820.000000000000
FS( 4 ),716925.000000000120,712505.000000000000,736325.000000000000,707005.000000000000,710644.999999999880,715245.000000000230,720885.000000000000,722185.000000000000,710925.000000000000,714285.000000000000,763785.000000000000,711885.000000000000,707575.000000000000,737325.000000000000,10087510.000000000000
FS( 5 ),716045.000000000000,715165.000000000000,729364.999999999880,711005.000000000000,712724.999999999880,713325.000000000120,732435.000000000000,727715.000000000000,710925.000000000000,714285.000000000000,765285.000000000000,714285.000000000000,711425.000000000000,731085.000000000000,10105080.000000000000
FS( 6 ),725945.000000000120,722225.000000000000,724145.000000000000,714925.000000000000,720524.999999999880,721005.000000000120,739035.000000000000,735615.000000000000,718205.000000000000,714285.000000000000,756285.000000000000,716685.000000000000,717145.000000000000,729885.000000000000,10155920.000000000000
FS( 7 ),714285.000000000000,727525.000000000000,731685.000000000000,714285.000000000000,720524.999999999880,719085.000000000120,741235.000000000120,738775.000000000000,716524.999999999880,714285.000000000000,771285.000000000000,716685.000000000000,718134.999999999880,719565.000000000120,10163890.000000000000
FS( 8 ),723305.000000000120,730185.000000000000,758945.000000000120,711645.000000000000,720524.999999999880,716205.000000000120,739035.000000000000,733245.000000000000,714285.000000000000,714285.000000000000,741285.000000000000,716685.000000000000,724845.000000000000,743565.000000000120,10188050.000000000000
FS( 9 ),721545.000000000000,722225.000000000000,751405.000000000000,712285.000000000000,720524.999999999880,713325.000000000120,739035.000000000000,733245.000000000000,716524.999999999880,714285.000000000000,743535.000000000000,718485.000000000000,727705.000000000000,737325.000000000000,10171460.000000000000
FS( 10 ),718685.000000000120,723105.000000000000,741545.000000000000,713645.000000000000,716364.999999999880,714285.000000000000,746185.000000000000,730085.000000000120,716524.999999999880,714285.000000000000,793785.000000000000,720885.000000000120,728585.000000000000,742604.999999999880,10220580.000000000000
