代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10527353.333110001000
真實報酬,527353.333110000940

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,24419.571383332572
風險,97684.491092213924
起點值,0.249984118362
找到最佳解世代,1311
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,3
2308(13)[10],2325(16)[1],9999(49)[7],
Stock#,2308(13)[10],2325(16)[1],9999(49)[7],
張數,22,82,-1,
分配資金,3333333.000000000000,3333333.000000000000,3333333.000000000000,
剩餘資金,109673.000000000000,34473.000000000466,3333333.000000000000,
FS( 1 ),3333333.000000000000,3333333.000000000000,3333333.000000000000,10000000.000000000000
FS( 2 ),3364353.000000000000,3333333.000000000000,3333333.000000000000,10031020.000000000000
FS( 3 ),3415833.000000000000,3333333.000000000000,3333333.000000000000,10082500.000000000000
FS( 4 ),3415833.000000000000,3333333.000000000000,3333333.000000000000,10082500.000000000000
FS( 5 ),3446853.000000000000,3377613.000000000900,3333333.000000000000,10157800.000000000000
FS( 6 ),3364353.000000000000,3370233.000000000000,3333333.000000000000,10067920.000000000000
FS( 7 ),3322993.000000000000,3304633.000000000900,3333333.000000000000,9960960.000000000000
FS( 8 ),3395153.000000000000,3384993.000000000500,3333333.000000000000,10113480.000000000000
FS( 9 ),3312653.000000000000,3370233.000000000000,3333333.000000000000,10016220.000000000000
FS( 10 ),3302313.000000000500,3373513.000000000500,3333333.000000000000,10009160.000000000000
FS( 11 ),3312653.000000000000,3707253.000000000000,3333333.000000000000,10353240.000000000000
FS( 12 ),3364353.000000000000,3626893.000000000500,3333333.000000000000,10324580.000000000000
FS( 13 ),3384813.000000000500,3689213.000000000900,3333333.000000000000,10407360.000000002000
FS( 14 ),3374693.000000000000,3678553.000000000500,3333333.000000000000,10386580.000000000000
FS( 15 ),3333333.000000000000,3773673.000000000900,3333333.000000000000,10440340.000000000000
FS( 16 ),3364353.000000000000,3707253.000000000000,3333333.000000000000,10404940.000000000000
FS( 17 ),3312653.000000000000,3868793.000000000000,3333333.000000000000,10514780.000000000000
FS( 18 ),3343673.000000000000,3868793.000000000000,3333333.000000000000,10545800.000000000000
FS( 19 ),3322993.000000000000,3876173.000000000900,3333333.000000000000,10532500.000000000000
FS( 20 ),3354013.000000000000,3854033.000000000500,3333333.000000000000,10541380.000000000000
FS( 21 ),3291973.000000000000,3831893.000000000500,3333333.000000000000,10457200.000000000000
FS( 22 ),3291973.000000000000,3831893.000000000500,3333333.000000000000,10457200.000000000000
FS( 23 ),3322993.000000000000,3868793.000000000000,3335566.333110000000,10527353.333110001000
