代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10559694.444370000000
真實報酬,559694.444369999690

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,24287.692465427845
風險,28793.506108296791
起點值,0.843512852310
找到最佳解世代,1160
找到最佳解實驗#,4
找到最佳解次數,7

投資組合檔數,9
2105(9)[1],2325(17)[46],2330(18)[2],2412(25)[5],3045(42)[37],3481(43)[13],4904(44)[11],6505(47)[10],9999(49)[38],
Stock#,2105(9)[1],2325(17)[46],2330(18)[2],2412(25)[5],3045(42)[37],3481(43)[13],4904(44)[11],6505(47)[10],9999(49)[38],
張數,20,24,7,11,11,118,17,14,-1,
分配資金,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,
剩餘資金,51111.000000000000,16711.000000000000,120260.999999999880,52361.000000000000,81731.000000000116,4270.999999999767,33651.000000000000,15611.000000000000,1111111.000000000000,
FS( 1 ),1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,10000000.000000000000
FS( 2 ),1109310.999999999800,1106791.000000000000,1117620.999999999800,1111111.000000000000,1111111.000000000000,1154770.999999999800,1106521.000000000000,1102291.000000000000,1111111.000000000000,10030640.000000000000
FS( 3 ),1103911.000000000000,1111111.000000000000,1124131.000000000000,1116061.000000000000,1116061.000000000000,1200790.999999999800,1120291.000000000000,1103550.999999999800,1111111.000000000000,10107020.000000000000
FS( 4 ),1111111.000000000000,1098151.000000000000,1114330.999999999800,1116061.000000000000,1096151.000000000000,1212590.999999999800,1115701.000000000000,1127631.000000000000,1111111.000000000000,10102840.000000000000
FS( 5 ),1123911.000000000000,1073431.000000000000,1111111.000000000000,1116061.000000000000,1111111.000000000000,1184270.999999999800,1118761.000000000000,1147931.000000000000,1111111.000000000000,10097700.000000000000
FS( 6 ),1134911.000000000000,1093831.000000000200,1111111.000000000000,1106051.000000000000,1106161.000000000000,1286930.999999999500,1098701.000000000000,1132671.000000000200,1111111.000000000000,10181480.000000000000
FS( 7 ),1133111.000000000000,1063831.000000000000,1117620.999999999800,1111111.000000000000,1096151.000000000000,1270410.999999999800,1118761.000000000000,1135331.000000000000,1111111.000000000000,10157440.000000000000
