代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10252280.000000000000
真實報酬,252280.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,8234.038054968258
風險,40918.624884498939
起點值,0.201229588683
找到最佳解世代,1688
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,1
3045(40)[1],
Stock#,3045(40)[1],
張數,238,
分配資金,10000000.000000000000,
剩餘資金,1620.000000000000,
FS( 1 ),10000000.000000000000,10000000.000000000000
FS( 2 ),10069020.000000000000,10069020.000000000000
FS( 3 ),10069020.000000000000,10069020.000000000000
FS( 4 ),10016659.999999998000,10016659.999999998000
FS( 5 ),9966680.000000000000,9966680.000000000000
FS( 6 ),10052360.000000000000,10052360.000000000000
FS( 7 ),9983340.000000000000,9983340.000000000000
FS( 8 ),9983340.000000000000,9983340.000000000000
FS( 9 ),10069020.000000000000,10069020.000000000000
FS( 10 ),10052360.000000000000,10052360.000000000000
FS( 11 ),10085680.000000000000,10085680.000000000000
FS( 12 ),10119000.000000000000,10119000.000000000000
FS( 13 ),10135659.999999998000,10135659.999999998000
FS( 14 ),10085680.000000000000,10085680.000000000000
FS( 15 ),10119000.000000000000,10119000.000000000000
FS( 16 ),10152319.999999998000,10152319.999999998000
FS( 17 ),10168980.000000000000,10168980.000000000000
FS( 18 ),10135659.999999998000,10135659.999999998000
FS( 19 ),10119000.000000000000,10119000.000000000000
FS( 20 ),10168980.000000000000,10168980.000000000000
FS( 21 ),10252280.000000000000,10252280.000000000000
