代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10689880.000000000000
真實報酬,689880.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,30109.010175763182
風險,18666.344701153459
起點值,1.613010509439
找到最佳解世代,1801
找到最佳解實驗#,20
找到最佳解次數,3

投資組合檔數,12
1101(0)[31],1326(5)[3],2002(8)[1],2301(10)[46],2347(18)[28],2354(20)[9],2409(23)[43],2883(32)[17],3474(42)[26],6505(46)[2],8046(47)[30],9904(48)[40],
Stock#,1101(0)[31],1326(5)[3],2002(8)[1],2301(10)[46],2347(18)[28],2354(20)[9],2409(23)[43],2883(32)[17],3474(42)[26],6505(46)[2],8046(47)[30],9904(48)[40],
張數,36,12,37,32,16,11,31,123,61,11,9,38,
分配資金,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,
剩餘資金,12173.000000000000,37133.000000000116,1573.000000000000,373.000000000000,15413.000000000000,52113.000000000116,11522.999999999884,3083.000000000000,12883.000000000116,68503.000000000000,16043.000000000000,14433.000000000000,
FS( 1 ),833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,10000000.000000000000
FS( 2 ),835853.000000000000,837773.000000000120,837032.999999999880,841333.000000000000,841813.000000000000,825743.000000000120,822482.999999999880,839483.000000000000,836383.000000000120,845873.000000000000,833333.000000000000,839033.000000000000,10036140.000000000000
FS( 3 ),829372.999999999880,845573.000000000120,837032.999999999880,832373.000000000000,844053.000000000000,844883.000000000120,817212.999999999770,835792.999999999880,891283.000000000120,845873.000000000000,829553.000000000000,833333.000000000000,10086340.000000000000
FS( 4 ),827933.000000000000,852653.000000000120,842583.000000000000,823093.000000000000,837653.000000000000,864023.000000000230,826512.999999999880,844402.999999999880,876033.000000000120,863803.000000000000,840803.000000000000,843593.000000000000,10143090.000000000000
FS( 5 ),853493.000000000000,853493.000000000120,843693.000000000000,813813.000000000000,846133.000000000000,856323.000000000120,837362.999999999880,841943.000000000000,885183.000000000230,874472.999999999880,844583.000000000000,843593.000000000000,10194090.000000000000
FS( 6 ),867533.000000000000,853493.000000000120,845173.000000000000,822133.000000000000,844053.000000000000,841033.000000000120,838602.999999999880,835792.999999999880,854683.000000000230,869963.000000000000,848273.000000000000,842073.000000000120,10162810.000000000000
FS( 7 ),857453.000000000000,859613.000000000120,852943.000000000000,822133.000000000000,852533.000000000000,852473.000000000120,818453.000000000000,839483.000000000000,869933.000000000230,881623.000000000000,867083.000000000000,839033.000000000000,10212760.000000000000
FS( 8 ),857453.000000000000,855293.000000000230,851833.000000000000,821173.000000000000,865333.000000000000,856323.000000000120,819692.999999999880,833333.000000000000,912633.000000000120,868203.000000000000,859523.000000000000,834853.000000000000,10235650.000000000000
