代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10729575.000000000000
真實報酬,729575.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,32551.547870733917
風險,174484.205546923530
起點值,0.186558707527
找到最佳解世代,1671
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,4
2311(13)[3],2353(19)[4],2454(26)[2],9999(49)[7],
Stock#,2311(13)[3],2353(19)[4],2454(26)[2],9999(49)[7],
張數,140,80,10,-1,
分配資金,2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,
剩餘資金,13600.000000000000,5600.000000000000,198899.999999999530,2500000.000000000000,
FS( 1 ),2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,10000000.000000000000
FS( 2 ),2605000.000000000000,2567200.000000000500,2527699.999999999500,2500000.000000000000,10199900.000000000000
FS( 3 ),2605000.000000000000,2444800.000000000000,2460299.999999999100,2500000.000000000000,10010100.000000000000
FS( 4 ),2504200.000000000000,2430399.999999999500,2372999.999999999500,2500000.000000000000,9807600.000000000000
FS( 5 ),2630200.000000000500,2437600.000000000000,2440499.999999999500,2500000.000000000000,10008300.000000000000
FS( 6 ),2571399.999999999500,2607200.000000000500,2448399.999999999500,2500000.000000000000,10127000.000000000000
FS( 7 ),2605000.000000000000,2743999.999999999500,2440499.999999999500,2500000.000000000000,10289500.000000000000
FS( 8 ),2596600.000000000000,2640800.000000000000,2448399.999999999500,2500000.000000000000,10185800.000000000000
FS( 9 ),2553200.000000000000,2511200.000000000000,2416699.999999999500,2500000.000000000000,9981100.000000000000
FS( 10 ),2658200.000000000000,2574400.000000000000,2551600.000000000000,2500000.000000000000,10284200.000000000000
FS( 11 ),2841600.000000000000,2643999.999999999500,2666600.000000000000,2500000.000000000000,10652200.000000000000
FS( 12 ),2792600.000000000000,2515200.000000000000,2654699.999999999500,2500000.000000000000,10462500.000000000000
FS( 13 ),2745000.000000000000,2500000.000000000000,2789599.999999999500,2500000.000000000000,10534600.000000000000
FS( 14 ),2754800.000000000000,2481600.000000000000,2888799.999999999500,2500000.000000000000,10625200.000000000000
FS( 15 ),2735200.000000000500,2529600.000000000000,2960199.999999999500,2500000.000000000000,10725000.000000000000
FS( 16 ),2624600.000000000000,2577600.000000000000,2769799.999999999100,2500000.000000000000,10472000.000000000000
FS( 17 ),2509800.000000000000,2496800.000000000000,2626899.999999999500,2500000.000000000000,10133500.000000000000
FS( 18 ),2638600.000000000000,2670400.000000000000,2793600.000000000000,2500000.000000000000,10602600.000000000000
FS( 19 ),2610600.000000000000,2700000.000000000000,2841199.999999999500,2500000.000000000000,10651800.000000000000
FS( 20 ),2600800.000000000500,2766399.999999999500,2805500.000000000000,2500000.000000000000,10672700.000000000000
FS( 21 ),2563000.000000000000,2788000.000000000000,2876899.999999999500,2501675.000000000000,10729575.000000000000
