代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11140180.000000000000
真實報酬,1140180.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,19847.351692574764
風險,50002.929894425783
起點值,0.396923774956
找到最佳解世代,1490
找到最佳解實驗#,2
找到最佳解次數,41

投資組合檔數,5
2357(20)[12],2412(25)[1],2912(40)[8],3008(41)[22],6505(47)[2],
Stock#,2357(20)[12],2412(25)[1],2912(40)[8],3008(41)[22],6505(47)[2],
張數,8,22,10,0,28,
分配資金,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,
剩餘資金,135600.000000000000,29020.000000000000,115399.999999999770,2000000.000000000000,47560.000000000000,
FS( 1 ),2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,10000000.000000000000
FS( 2 ),1996480.000000000000,2011880.000000000000,1995199.999999999800,2000000.000000000000,1984880.000000000000,9988440.000000000000
FS( 3 ),2014240.000000000000,2009900.000000000000,2032899.999999999800,2000000.000000000000,2002519.999999999800,10059560.000000000000
FS( 4 ),2042720.000000000000,2020020.000000000000,1962299.999999999800,2000000.000000000000,1982359.999999999800,10007400.000000000000
FS( 5 ),2103200.000000000000,2023980.000000000000,1971699.999999999800,2000000.000000000000,1977040.000000000000,10075920.000000000000
FS( 6 ),2096080.000000000000,2036080.000000000200,1934000.000000000000,2000000.000000000000,1977040.000000000000,10043200.000000000000
FS( 7 ),2085440.000000000000,2056100.000000000000,1948099.999999999800,2000000.000000000000,2000000.000000000000,10089640.000000000000
FS( 8 ),2088960.000000000000,2066219.999999999800,2000000.000000000000,2000000.000000000000,2050680.000000000200,10205860.000000000000
FS( 9 ),2088960.000000000000,2086240.000000000200,1966999.999999999800,2000000.000000000000,2053199.999999999800,10195400.000000000000
FS( 10 ),2110320.000000000000,2056100.000000000000,2000000.000000000000,2000000.000000000000,2048160.000000000200,10214580.000000000000
FS( 11 ),2060480.000000000000,2036080.000000000200,2056500.000000000000,2000000.000000000000,2053199.999999999800,10206260.000000000000
FS( 12 ),2060480.000000000000,2066219.999999999800,2094199.999999999800,2000000.000000000000,2035560.000000000000,10256460.000000000000
FS( 13 ),2010720.000000000000,2066219.999999999800,2103599.999999999500,2000000.000000000000,2050680.000000000200,10231220.000000000000
FS( 14 ),2003600.000000000000,2045980.000000000000,2065899.999999999800,2000000.000000000000,2050680.000000000200,10166160.000000000000
FS( 15 ),2035600.000000000000,2045980.000000000000,2094199.999999999800,2000000.000000000000,2073640.000000000000,10249420.000000000000
FS( 16 ),2067600.000000000000,2076120.000000000000,2103599.999999999500,2000000.000000000000,2104160.000000000000,10351480.000000000000
FS( 17 ),2028480.000000000000,2076120.000000000000,2089499.999999999800,2000000.000000000000,2104160.000000000000,10298260.000000000000
FS( 18 ),2035600.000000000000,2076120.000000000000,2150700.000000000000,2000000.000000000000,2083719.999999999800,10346140.000000000000
FS( 19 ),2024960.000000000000,2086240.000000000200,2188400.000000000000,2000000.000000000000,2078680.000000000200,10378280.000000000000
FS( 20 ),2046240.000000000000,2096360.000000000200,2183700.000000000000,2000000.000000000000,2129360.000000000000,10455660.000000000000
FS( 21 ),2067600.000000000000,2086240.000000000200,2188400.000000000000,2000000.000000000000,2126840.000000000000,10469080.000000000000
FS( 22 ),2092560.000000000000,2096360.000000000200,2197800.000000000000,2000000.000000000000,2142240.000000000000,10528960.000000000000
FS( 23 ),2088960.000000000000,2096360.000000000200,2202599.999999999500,2000000.000000000000,2139720.000000000000,10527640.000000000000
FS( 24 ),2064080.000000000000,2096360.000000000200,2188400.000000000000,2000000.000000000000,2088760.000000000200,10437600.000000000000
FS( 25 ),2053360.000000000000,2126279.999999999500,2202599.999999999500,2000000.000000000000,2093800.000000000000,10476040.000000000000
FS( 26 ),2071200.000000000000,2136400.000000000000,2226100.000000000000,2000000.000000000000,2091279.999999999800,10524980.000000000000
FS( 27 ),2088960.000000000000,2146520.000000000000,2193100.000000000000,2000000.000000000000,2104160.000000000000,10532740.000000000000
FS( 28 ),2103200.000000000000,2126279.999999999500,2254400.000000000000,2000000.000000000000,2154840.000000000000,10638720.000000000000
FS( 29 ),2067600.000000000000,2136400.000000000000,2254400.000000000000,2000000.000000000000,2154840.000000000000,10613240.000000000000
FS( 30 ),2056960.000000000000,2116380.000000000000,2221400.000000000000,2000000.000000000000,2134680.000000000000,10529420.000000000000
FS( 31 ),2060480.000000000000,2116380.000000000000,2226100.000000000000,2000000.000000000000,2142240.000000000000,10545200.000000000000
FS( 32 ),2035600.000000000000,2096360.000000000200,2245000.000000000000,2000000.000000000000,2167439.999999999500,10544400.000000000000
FS( 33 ),2074720.000000000000,2126279.999999999500,2249700.000000000000,2000000.000000000000,2190400.000000000000,10641100.000000000000
FS( 34 ),2081840.000000000000,2126279.999999999500,2240199.999999999100,2000000.000000000000,2190400.000000000000,10638720.000000000000
FS( 35 ),2078320.000000000000,2146520.000000000000,2212000.000000000000,2000000.000000000000,2238560.000000000000,10675400.000000000000
FS( 36 ),2085440.000000000000,2146520.000000000000,2268500.000000000000,2000000.000000000000,2220920.000000000000,10721380.000000000000
FS( 37 ),2113920.000000000000,2156420.000000000000,2268500.000000000000,2000000.000000000000,2223439.999999999500,10762280.000000000000
FS( 38 ),2071200.000000000000,2156420.000000000000,2287400.000000000000,2000000.000000000000,2271600.000000000000,10786620.000000000000
FS( 39 ),2113920.000000000000,2156420.000000000000,2268500.000000000000,2000000.000000000000,2312200.000000000000,10851040.000000000000
FS( 40 ),2081840.000000000000,2136400.000000000000,2249700.000000000000,2000000.000000000000,2281680.000000000500,10749620.000000000000
FS( 41 ),2135200.000000000000,2146520.000000000000,2202599.999999999500,2000000.000000000000,2287000.000000000000,10771320.000000000000
FS( 42 ),2177920.000000000000,2156420.000000000000,2235500.000000000000,2000000.000000000000,2259000.000000000000,10828840.000000000000
FS( 43 ),2170800.000000000000,2156420.000000000000,2263800.000000000000,2000000.000000000000,2271600.000000000000,10862620.000000000000
FS( 44 ),2192160.000000000000,2156420.000000000000,2254400.000000000000,2000000.000000000000,2269080.000000000000,10872060.000000000000
FS( 45 ),2156560.000000000000,2176440.000000000000,2240199.999999999100,2000000.000000000000,2264040.000000000000,10837240.000000000000
FS( 46 ),2174400.000000000000,2186560.000000000000,2273200.000000000000,2000000.000000000000,2281680.000000000500,10915840.000000000000
FS( 47 ),2185040.000000000000,2196680.000000000000,2259100.000000000000,2000000.000000000000,2327600.000000000000,10968420.000000000000
FS( 48 ),2202800.000000000000,2206580.000000000000,2221400.000000000000,2000000.000000000000,2401240.000000000500,11032020.000000000000
FS( 49 ),2192160.000000000000,2196680.000000000000,2226100.000000000000,2000000.000000000000,2352800.000000000000,10967740.000000000000
FS( 50 ),2192160.000000000000,2216700.000000000000,2193100.000000000000,2000000.000000000000,2446879.999999999500,11048840.000000000000
FS( 51 ),2195680.000000000000,2216700.000000000000,2216700.000000000000,2000000.000000000000,2408800.000000000000,11037880.000000000000
FS( 52 ),2192160.000000000000,2236720.000000000000,2259100.000000000000,2000000.000000000000,2416359.999999999500,11104340.000000000000
FS( 53 ),2177920.000000000000,2246840.000000000000,2226100.000000000000,2000000.000000000000,2390879.999999999500,11041740.000000000000
FS( 54 ),2181520.000000000000,2226820.000000000000,2207300.000000000000,2000000.000000000000,2378280.000000000000,10993920.000000000000
FS( 55 ),2174400.000000000000,2216700.000000000000,2240199.999999999100,2000000.000000000000,2340200.000000000000,10971500.000000000000
FS( 56 ),2170800.000000000000,2246840.000000000000,2334500.000000000000,2000000.000000000000,2408800.000000000000,11160940.000000000000
FS( 57 ),2192160.000000000000,2226820.000000000000,2325000.000000000000,2000000.000000000000,2396200.000000000000,11140180.000000000000
