代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11848300.000000000000
真實報酬,1848300.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,28921.645652057865
風險,141604.263019226810
起點值,0.204242761026
找到最佳解世代,1465
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,3
2498(27)[1],2912(39)[2],3045(40)[21],
Stock#,2498(27)[1],2912(39)[2],3045(40)[21],
張數,14,55,78,
分配資金,3333333.000000000000,3333333.000000000000,3333333.000000000000,
剩餘資金,493.000000000000,17383.000000000000,17553.000000000466,
FS( 1 ),3333333.000000000000,3333333.000000000000,3333333.000000000000,10000000.000000000000
FS( 2 ),3384573.000000000000,3337733.000000000000,3387933.000000000500,10110240.000000000000
FS( 3 ),3317933.000000000000,3337733.000000000000,3338793.000000000500,9994460.000000000000
FS( 4 ),3282093.000000000000,3342133.000000000000,3294333.000000000000,9918560.000000000000
FS( 5 ),3307713.000000000000,3342133.000000000000,3333333.000000000000,9983180.000000000000
FS( 6 ),3471792.999999999500,3342133.000000000000,3316953.000000000000,10130880.000000000000
FS( 7 ),3461573.000000000000,3337733.000000000000,3344253.000000000500,10143560.000000000000
FS( 8 ),3461573.000000000000,3285483.000000000000,3338793.000000000500,10085850.000000000000
FS( 9 ),3466613.000000000500,3337733.000000000000,3311493.000000000000,10115840.000000000000
FS( 10 ),3507633.000000000000,3342133.000000000000,3327873.000000000000,10177640.000000000000
FS( 11 ),3435953.000000000000,3298682.999999999500,3333333.000000000000,10067970.000000000000
FS( 12 ),3451353.000000000000,3337733.000000000000,3311493.000000000000,10100580.000000000000
FS( 13 ),3538433.000000000000,3346533.000000000000,3333333.000000000000,10218300.000000000000
FS( 14 ),3589673.000000000500,3337733.000000000000,3327873.000000000000,10255280.000000000000
FS( 15 ),3620473.000000000000,3342133.000000000000,3355173.000000000500,10317780.000000000000
FS( 16 ),3594853.000000000000,3359733.000000000500,3344253.000000000500,10298840.000000000000
FS( 17 ),3651272.999999999500,3355333.000000000000,3333333.000000000000,10339940.000000000000
FS( 18 ),3625653.000000000000,3389983.000000000000,3366093.000000000500,10381730.000000000000
FS( 19 ),3697473.000000000000,3381182.999999999500,3338793.000000000500,10417450.000000000000
FS( 20 ),3789733.000000000500,3407583.000000000000,3333333.000000000000,10530650.000000000000
FS( 21 ),3779513.000000000000,3451033.000000000000,3333333.000000000000,10563880.000000000000
FS( 22 ),3723092.999999999500,3473033.000000000000,3322413.000000000000,10518540.000000000000
FS( 23 ),3805133.000000000000,3473033.000000000000,3299793.000000000500,10577960.000000000000
FS( 24 ),3856373.000000000000,3481833.000000000500,3306033.000000000000,10644240.000000000000
FS( 25 ),3846153.000000000000,3464233.000000000000,3316953.000000000000,10627340.000000000000
FS( 26 ),3907613.000000000000,3473033.000000000000,3311493.000000000000,10692140.000000000000
FS( 27 ),4122932.999999999500,3490633.000000000000,3311493.000000000000,10925060.000000000000
FS( 28 ),4005053.000000000500,3446633.000000000000,3311493.000000000000,10763180.000000000000
FS( 29 ),3974252.999999999500,3486233.000000000000,3299793.000000000500,10760280.000000000000
FS( 30 ),4046073.000000000500,3507683.000000000000,3338793.000000000500,10892550.000000000000
FS( 31 ),3989653.000000000000,3516483.000000000000,3338793.000000000500,10844930.000000000000
FS( 32 ),4051252.999999999500,3734833.000000000500,3311493.000000000000,11097580.000000000000
FS( 33 ),4056292.999999999500,3660583.000000000000,3327873.000000000000,11044750.000000000000
