代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11134397.141925000000
真實報酬,1134397.141924999700

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,18322.667908010815
風險,106217.759104876120
起點值,0.172500983474
找到最佳解世代,1495
找到最佳解實驗#,1
找到最佳解次數,38

投資組合檔數,7
2308(15)[3],2311(16)[43],2330(20)[1],2357(24)[4],2382(25)[2],4904(46)[5],9999(50)[23],
Stock#,2308(15)[3],2311(16)[43],2330(20)[1],2357(24)[4],2382(25)[2],4904(46)[5],9999(50)[23],
張數,23,68,22,8,31,33,-1,
分配資金,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,
剩餘資金,5331.000000000000,12811.000000000000,25851.000000000000,142251.000000000000,14661.000000000000,33661.000000000000,1428571.000000000000,
FS( 1 ),1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,10000000.000000000000
FS( 2 ),1512290.999999999800,1329971.000000000000,1424831.000000000000,1496891.000000000000,1522191.000000000000,1426261.000000000200,1428571.000000000000,10141010.000000000000
FS( 3 ),1489980.999999999800,1311611.000000000200,1414051.000000000000,1480491.000000000000,1513511.000000000200,1438471.000000000000,1428571.000000000000,10076690.000000000000
FS( 4 ),1475031.000000000000,1344250.999999999800,1419331.000000000000,1469531.000000000000,1533351.000000000000,1431211.000000000000,1428571.000000000000,10101280.000000000000
FS( 5 ),1493661.000000000000,1349010.999999999800,1435831.000000000000,1458651.000000000000,1493361.000000000000,1468171.000000000000,1428571.000000000000,10127260.000000000000
FS( 6 ),1486070.999999999800,1374851.000000000000,1435831.000000000000,1472251.000000000000,1520021.000000000200,1443421.000000000000,1428571.000000000000,10161020.000000000000
FS( 7 ),1534601.000000000000,1372131.000000000000,1437591.000000000000,1507771.000000000000,1611781.000000000200,1448370.999999999800,1428571.000000000000,10340820.000000000000
FS( 8 ),1567951.000000000000,1374851.000000000000,1446831.000000000000,1499611.000000000000,1600620.999999999800,1446060.999999999800,1428571.000000000000,10364500.000000000000
FS( 9 ),1491820.999999999800,1344250.999999999800,1426811.000000000000,1483211.000000000000,1600620.999999999800,1433521.000000000200,1428571.000000000000,10208810.000000000000
FS( 10 ),1473191.000000000000,1353771.000000000000,1421311.000000000000,1496891.000000000000,1620461.000000000000,1421310.999999999800,1428571.000000000000,10215510.000000000000
FS( 11 ),1467441.000000000000,1349010.999999999800,1434071.000000000000,1499611.000000000000,1578300.999999999800,1409101.000000000000,1428571.000000000000,10166110.000000000000
FS( 12 ),1458241.000000000000,1376891.000000000000,1455851.000000000000,1496891.000000000000,1586981.000000000000,1465531.000000000200,1428571.000000000000,10268960.000000000000
FS( 13 ),1454561.000000000000,1367371.000000000200,1455851.000000000000,1447691.000000000000,1569310.999999999800,1507441.000000000000,1428571.000000000000,10230800.000000000000
FS( 14 ),1476871.000000000000,1365331.000000000000,1483131.000000000000,1447691.000000000000,1560321.000000000000,1458271.000000000200,1428571.000000000000,10220190.000000000000
FS( 15 ),1471351.000000000000,1386411.000000000000,1483131.000000000000,1491371.000000000000,1566831.000000000000,1451011.000000000200,1428571.000000000000,10278680.000000000000
FS( 16 ),1469510.999999999800,1360571.000000000000,1483131.000000000000,1499611.000000000000,1542341.000000000000,1448370.999999999800,1428571.000000000000,10232110.000000000000
FS( 17 ),1484230.999999999800,1353771.000000000000,1477631.000000000000,1573291.000000000000,1569310.999999999800,1448370.999999999800,1428571.000000000000,10335180.000000000000
FS( 18 ),1508381.000000000000,1346291.000000000000,1448591.000000000000,1562411.000000000000,1555671.000000000000,1463221.000000000000,1428571.000000000000,10313140.000000000000
FS( 19 ),1501021.000000000000,1349010.999999999800,1466851.000000000000,1551451.000000000000,1533351.000000000000,1561891.000000000000,1428571.000000000000,10392150.000000000000
FS( 20 ),1508381.000000000000,1358531.000000000000,1503151.000000000200,1649771.000000000000,1638441.000000000000,1554300.999999999800,1428571.000000000000,10641150.000000000000
FS( 21 ),1476871.000000000000,1337451.000000000000,1485111.000000000000,1707131.000000000000,1607131.000000000000,1512391.000000000000,1428571.000000000000,10554660.000000000000
FS( 22 ),1475031.000000000000,1344250.999999999800,1483131.000000000000,1707131.000000000000,1625111.000000000000,1524931.000000000000,1428571.000000000000,10588160.000000000000
FS( 23 ),1484230.999999999800,1339491.000000000000,1470371.000000000000,1677131.000000000000,1591631.000000000000,1495231.000000000000,1428571.000000000000,10486660.000000000000
FS( 24 ),1476871.000000000000,1313651.000000000000,1463111.000000000000,1677131.000000000000,1595971.000000000000,1487971.000000000000,1428571.000000000000,10443280.000000000000
FS( 25 ),1467441.000000000000,1297331.000000000000,1474111.000000000000,1668891.000000000000,1578300.999999999800,1475431.000000000000,1428571.000000000000,10390080.000000000000
FS( 26 ),1497341.000000000200,1311611.000000000200,1466851.000000000000,1660731.000000000000,1578300.999999999800,1478071.000000000000,1428571.000000000000,10421480.000000000000
FS( 27 ),1502861.000000000000,1329971.000000000000,1477631.000000000000,1649771.000000000000,1584810.999999999800,1507441.000000000000,1428571.000000000000,10481060.000000000000
FS( 28 ),1573471.000000000000,1346291.000000000000,1483131.000000000000,1655291.000000000000,1584810.999999999800,1500181.000000000000,1428571.000000000000,10571750.000000000000
FS( 29 ),1573471.000000000000,1332691.000000000000,1483131.000000000000,1614331.000000000000,1578300.999999999800,1480381.000000000000,1428571.000000000000,10490880.000000000000
FS( 30 ),1586581.000000000000,1344250.999999999800,1506891.000000000000,1655291.000000000000,1580471.000000000000,1475431.000000000000,1428571.000000000000,10577490.000000000000
FS( 31 ),1620161.000000000000,1370091.000000000000,1541431.000000000000,1682571.000000000000,1573651.000000000000,1500181.000000000000,1428571.000000000000,10716660.000000000000
FS( 32 ),1614411.000000000000,1378931.000000000000,1541431.000000000000,1698971.000000000000,1584810.999999999800,1487971.000000000000,1428571.000000000000,10735100.000000000000
FS( 33 ),1625681.000000000200,1358531.000000000000,1503151.000000000200,1660731.000000000000,1566831.000000000000,1470481.000000000000,1428571.000000000000,10613980.000000000000
FS( 34 ),1647991.000000000000,1360571.000000000000,1550671.000000000200,1674411.000000000000,1573651.000000000000,1465531.000000000200,1428571.000000000000,10701400.000000000000
