代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11172554.998550000000
真實報酬,1172554.998549999700

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,19411.804701607351
風險,97945.329940393989
起點值,0.198190201753
找到最佳解世代,1906
找到最佳解實驗#,3
找到最佳解次數,33

投資組合檔數,6
2347(20)[5],2357(23)[2],2454(27)[33],2474(28)[1],3008(41)[7],9999(49)[21],
Stock#,2347(20)[5],2357(23)[2],2454(27)[33],2474(28)[1],3008(41)[7],9999(49)[21],
張數,49,8,4,10,1,-1,
分配資金,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,
剩餘資金,176.000000000000,48426.000000000000,213986.000000000000,45366.000000000000,670686.000000000000,1666666.000000000000,
FS( 1 ),1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,10000000.000000000000
FS( 2 ),1644125.999999999800,1738586.000000000000,1681866.000000000000,1666666.000000000000,1680826.000000000000,1666666.000000000000,10078740.000000000000
FS( 3 ),1681856.000000000000,1697946.000000000000,1683546.000000000000,1671065.999999999800,1685546.000000000000,1666666.000000000000,10086630.000000000000
FS( 4 ),1659315.999999999800,1701066.000000000000,1668346.000000000000,1675566.000000000000,1690266.000000000000,1666666.000000000000,10061230.000000000000
FS( 5 ),1687246.000000000000,1710426.000000000000,1666666.000000000000,1778866.000000000000,1737466.000000000000,1666666.000000000000,10247340.000000000000
FS( 6 ),1659315.999999999800,1713546.000000000000,1659906.000000000000,1774366.000000000000,1713866.000000000000,1666666.000000000000,10187670.000000000000
FS( 7 ),1681856.000000000000,1707306.000000000000,1664986.000000000000,1814866.000000000000,1746906.000000000000,1666666.000000000000,10282590.000000000000
FS( 8 ),1666666.000000000000,1682346.000000000000,1666666.000000000000,1814866.000000000000,1775236.000000000000,1666666.000000000000,10272450.000000000000
FS( 9 ),1647555.999999999800,1682346.000000000000,1636266.000000000000,1769866.000000000000,1751636.000000000000,1666666.000000000000,10154340.000000000000
FS( 10 ),1642166.000000000000,1691706.000000000000,1622746.000000000000,1742966.000000000000,1732746.000000000000,1666666.000000000000,10099000.000000000000
FS( 11 ),1625016.000000000000,1704186.000000000000,1622746.000000000000,1724966.000000000200,1718586.000000000000,1666666.000000000000,10062170.000000000000
FS( 12 ),1621586.000000000000,1782266.000000000000,1644706.000000000000,1742966.000000000000,1756356.000000000000,1666666.000000000000,10214550.000000000000
FS( 13 ),1647555.999999999800,1741706.000000000000,1626146.000000000000,1796866.000000000000,1770516.000000000000,1666666.000000000000,10249460.000000000000
FS( 14 ),1647555.999999999800,1741706.000000000000,1663306.000000000000,1783366.000000000000,1751636.000000000000,1666666.000000000000,10254240.000000000000
FS( 15 ),1642166.000000000000,1760426.000000000000,1675106.000000000000,1716065.999999999800,1794116.000000000000,1666666.000000000000,10254550.000000000000
FS( 16 ),1653436.000000000000,1716666.000000000000,1671746.000000000000,1765466.000000000000,1812996.000000000000,1666666.000000000000,10286980.000000000000
FS( 17 ),1659315.999999999800,1713546.000000000000,1658226.000000000000,1765466.000000000000,1808276.000000000000,1666666.000000000000,10271500.000000000000
FS( 18 ),1659315.999999999800,1704186.000000000000,1666666.000000000000,1716065.999999999800,1798836.000000000000,1666666.000000000000,10211740.000000000000
FS( 19 ),1666666.000000000000,1716666.000000000000,1661626.000000000000,1729466.000000000000,1803556.000000000000,1666666.000000000000,10244650.000000000000
FS( 20 ),1689206.000000000000,1722906.000000000000,1686946.000000000000,1756466.000000000200,1803556.000000000000,1666666.000000000000,10325750.000000000000
FS( 21 ),1695086.000000000000,1744826.000000000000,1715666.000000000000,1801366.000000000000,1831876.000000000000,1666666.000000000000,10455490.000000000000
FS( 22 ),1783286.000000000200,1722906.000000000000,1712266.000000000000,1783366.000000000000,1817716.000000000000,1666666.000000000000,10486210.000000000000
FS( 23 ),1815625.999999999800,1735386.000000000000,1703826.000000000000,1814866.000000000000,1808276.000000000000,1666666.000000000000,10544650.000000000000
FS( 24 ),1800436.000000000000,1735386.000000000000,1685266.000000000000,1796866.000000000000,1817716.000000000000,1666666.000000000000,10502340.000000000000
FS( 25 ),1828856.000000000000,1726026.000000000000,1671746.000000000000,1756466.000000000200,1779956.000000000000,1666666.000000000000,10429720.000000000000
FS( 26 ),1836206.000000000000,1735386.000000000000,1627826.000000000000,1792366.000000000000,1784676.000000000000,1666666.000000000000,10443130.000000000000
FS( 27 ),1855315.999999999800,1797866.000000000000,1588986.000000000000,1792366.000000000000,1742186.000000000000,1666666.000000000000,10443390.000000000000
FS( 28 ),1826896.000000000000,1791626.000000000000,1605866.000000000000,1837266.000000000000,1737466.000000000000,1666666.000000000000,10465790.000000000000
FS( 29 ),1795046.000000000200,1776026.000000000000,1622746.000000000000,1868766.000000000000,1756356.000000000000,1666666.000000000000,10485610.000000000000
FS( 30 ),1822976.000000000200,1854106.000000000000,1617706.000000000000,1877666.000000000000,1756356.000000000000,1666666.000000000000,10595480.000000000000
FS( 31 ),1949396.000000000000,1860346.000000000000,1617706.000000000000,1837266.000000000000,1723306.000000000000,1666666.000000000000,10654690.000000000000
FS( 32 ),1953315.999999999800,1844746.000000000000,1629506.000000000000,1882166.000000000200,1794116.000000000000,1666666.000000000000,10770520.000000000000
FS( 33 ),1964586.000000000000,1841626.000000000000,1626146.000000000000,1868766.000000000000,1779956.000000000000,1666666.000000000000,10747750.000000000000
FS( 34 ),2002315.999999999800,1835386.000000000000,1615986.000000000000,1868766.000000000000,1812996.000000000000,1666666.000000000000,10802120.000000000000
FS( 35 ),2024856.000000000000,1847866.000000000000,1599106.000000000000,1909166.000000000000,1831876.000000000000,1666666.000000000000,10879540.000000000000
FS( 36 ),2047396.000000000000,1841626.000000000000,1524786.000000000000,1904666.000000000200,1850756.000000000000,1666666.000000000000,10835900.000000000000
FS( 37 ),2058665.999999999800,1872906.000000000000,1561946.000000000000,1936065.999999999800,1846036.000000000000,1666666.000000000000,10942290.000000000000
FS( 38 ),1998396.000000000000,1872906.000000000000,1572066.000000000000,1900166.000000000000,1789396.000000000000,1666666.000000000000,10799600.000000000000
FS( 39 ),2032206.000000000000,1854106.000000000000,1590666.000000000000,1886666.000000000000,1765796.000000000000,1666666.000000000000,10796110.000000000000
FS( 40 ),1938125.999999999800,1810426.000000000000,1567026.000000000000,1859766.000000000000,1770516.000000000000,1666666.000000000000,10612530.000000000000
FS( 41 ),1907746.000000000000,1794746.000000000000,1568706.000000000000,1850765.999999999800,1751636.000000000000,1666666.000000000000,10540270.000000000000
FS( 42 ),1904315.999999999800,1779146.000000000000,1590666.000000000000,1913666.000000000200,1756356.000000000000,1666666.000000000000,10610820.000000000000
FS( 43 ),1983206.000000000000,1797866.000000000000,1597426.000000000000,2021366.000000000000,1756356.000000000000,1666666.000000000000,10822890.000000000000
FS( 44 ),1964586.000000000000,1832266.000000000000,1599106.000000000000,1980966.000000000000,1770516.000000000000,1666666.000000000000,10814110.000000000000
FS( 45 ),1922936.000000000000,1822906.000000000000,1629506.000000000000,2007966.000000000000,1798836.000000000000,1666666.000000000000,10848820.000000000000
FS( 46 ),1953315.999999999800,1860346.000000000000,1680186.000000000000,2097766.000000000000,1817716.000000000000,1666666.000000000000,11076000.000000000000
FS( 47 ),1922936.000000000000,1847866.000000000000,1663306.000000000000,2021366.000000000000,1794116.000000000000,1666666.000000000000,10916260.000000000000
FS( 48 ),1942046.000000000200,1847866.000000000000,1671746.000000000000,1963066.000000000000,1789396.000000000000,1666666.000000000000,10880790.000000000000
FS( 49 ),1983206.000000000000,1835386.000000000000,1663306.000000000000,2003466.000000000000,1779956.000000000000,1666666.000000000000,10931990.000000000000
FS( 50 ),1960666.000000000000,1879146.000000000000,1678506.000000000000,2012466.000000000200,1770516.000000000000,1666666.000000000000,10967970.000000000000
FS( 51 ),1930776.000000000000,1932266.000000000000,1683546.000000000000,1998966.000000000200,1775236.000000000000,1666666.000000000000,10987460.000000000000
FS( 52 ),1915586.000000000000,1888506.000000000000,1683546.000000000000,1980966.000000000000,1770516.000000000000,1666666.000000000000,10905790.000000000000
FS( 53 ),1938125.999999999800,1897866.000000000000,1686946.000000000000,1985466.000000000000,1846036.000000000000,1666666.000000000000,11021110.000000000000
FS( 54 ),1919016.000000000000,1888506.000000000000,1686946.000000000000,2012466.000000000200,1846036.000000000000,1666666.000000000000,11019640.000000000000
FS( 55 ),1922936.000000000000,1876026.000000000000,1719026.000000000000,2021366.000000000000,1836596.000000000000,1666666.000000000000,11042620.000000000000
FS( 56 ),1889125.999999999800,1872906.000000000000,1719026.000000000000,2057366.000000000000,1916846.000000000000,1666666.000000000000,11121940.000000000000
FS( 57 ),1953315.999999999800,1869786.000000000000,1717346.000000000000,2021366.000000000000,1940446.000000000000,1670290.998550000100,11172554.998550000000
