代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10657522.499275001000
真實報酬,657522.499275000770

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,11707.054879802336
風險,31968.988498335966
起點值,0.366200353208
找到最佳解世代,1374
找到最佳解實驗#,3
找到最佳解次數,5

投資組合檔數,12
1102(1)[6],2357(20)[23],2409(24)[43],2474(27)[9],2801(28)[3],2823(29)[50],2892(40)[1],3008(42)[11],3045(43)[22],4904(45)[21],5880(47)[2],9999(50)[41],
Stock#,1102(1)[6],2357(20)[23],2409(24)[43],2474(27)[9],2801(28)[3],2823(29)[50],2892(40)[1],3008(42)[11],3045(43)[22],4904(45)[21],5880(47)[2],9999(50)[41],
張數,32,3,72,3,52,29,52,0,8,12,64,-1,
分配資金,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,
剩餘資金,13173.000000000000,80873.000000000000,3893.000000000116,177022.999999999880,6013.000000000000,5093.000000000000,9653.000000000000,833333.000000000000,38773.000000000000,14453.000000000116,53.000000000000,833333.000000000000,
FS( 1 ),833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,10000000.000000000000
FS( 2 ),828533.000000000000,833333.000000000000,829733.000000000120,828953.000000000000,828133.000000000000,833333.000000000000,838013.000000000000,833333.000000000000,848533.000000000000,845813.000000000120,833333.000000000000,833333.000000000000,10014380.000000000000
FS( 3 ),833333.000000000000,838972.999999999880,850613.000000000120,821692.999999999880,833333.000000000000,835942.999999999880,845293.000000000000,833333.000000000000,856133.000000000000,851573.000000000230,839093.000000000000,833333.000000000000,10072650.000000000000
FS( 4 ),833333.000000000000,841793.000000000000,870773.000000000000,826042.999999999880,835413.000000000000,821442.999999999880,845293.000000000000,833333.000000000000,844773.000000000000,851573.000000000230,839093.000000000000,833333.000000000000,10076200.000000000000
FS( 5 ),827253.000000000000,838972.999999999880,891653.000000000120,828953.000000000000,833333.000000000000,828113.000000000000,842693.000000000000,833333.000000000000,840933.000000000000,850373.000000000120,839093.000000000000,833333.000000000000,10088040.000000000000
FS( 6 ),824053.000000000000,843203.000000000000,888053.000000000120,826042.999999999880,835413.000000000000,829273.000000000120,845293.000000000000,833333.000000000000,840933.000000000000,849293.000000000000,842293.000000000000,833333.000000000000,10090520.000000000000
FS( 7 ),837813.000000000000,848812.999999999880,888053.000000000120,812962.999999999770,840613.000000000000,825503.000000000000,847373.000000000000,833333.000000000000,852373.000000000000,850373.000000000120,844853.000000000000,833333.000000000000,10115400.000000000000
FS( 8 ),855093.000000000000,858683.000000000000,895253.000000000120,801322.999999999880,852573.000000000120,808683.000000000000,849973.000000000000,833333.000000000000,848533.000000000000,850373.000000000120,848053.000000000000,833333.000000000000,10135210.000000000000
FS( 9 ),856373.000000000000,861502.999999999880,905333.000000000000,805673.000000000000,852573.000000000120,785192.999999999880,849973.000000000000,833333.000000000000,856133.000000000000,856133.000000000230,848053.000000000000,833333.000000000000,10143610.000000000000
FS( 10 ),845813.000000000000,855863.000000000000,891653.000000000120,814402.999999999880,849973.000000000000,776203.000000000000,845293.000000000000,833333.000000000000,852373.000000000000,861773.000000000000,842293.000000000000,833333.000000000000,10102310.000000000000
FS( 11 ),848693.000000000000,855863.000000000000,891653.000000000120,826042.999999999880,845293.000000000000,779973.000000000000,847373.000000000000,833333.000000000000,856133.000000000000,858413.000000000120,839093.000000000000,833333.000000000000,10115200.000000000000
FS( 12 ),834933.000000000000,847433.000000000120,898853.000000000120,821692.999999999880,845293.000000000000,791573.000000000000,845293.000000000000,833333.000000000000,852373.000000000000,860693.000000000120,839093.000000000000,833333.000000000000,10103900.000000000000
FS( 13 ),827253.000000000000,844613.000000000000,891653.000000000120,853703.000000000000,842693.000000000000,786353.000000000000,840093.000000000000,833333.000000000000,840933.000000000000,860693.000000000120,839093.000000000000,833333.000000000000,10093750.000000000000
FS( 14 ),824053.000000000000,851633.000000000000,888053.000000000120,882802.999999999880,845293.000000000000,793023.000000000120,840093.000000000000,833333.000000000000,837173.000000000000,857213.000000000120,842293.000000000000,833333.000000000000,10128300.000000000000
FS( 15 ),831733.000000000000,861502.999999999880,891653.000000000120,887182.999999999880,847893.000000000120,796793.000000000000,847373.000000000000,833333.000000000000,840933.000000000000,864053.000000000000,848053.000000000000,833333.000000000000,10183840.000000000000
FS( 16 ),841013.000000000000,850222.999999999880,895253.000000000120,919192.999999999880,845293.000000000000,799403.000000000120,847373.000000000000,833333.000000000000,833333.000000000000,864053.000000000000,848053.000000000000,833333.000000000000,10209860.000000000000
FS( 17 ),844213.000000000000,838972.999999999880,929813.000000000120,906083.000000000000,845293.000000000000,784032.999999999880,847373.000000000000,833333.000000000000,814373.000000000000,834413.000000000120,842293.000000000000,833333.000000000000,10153530.000000000000
FS( 18 ),848693.000000000000,830513.000000000000,912533.000000000120,922102.999999999880,849973.000000000000,788963.000000000000,849973.000000000000,833333.000000000000,818133.000000000000,836693.000000000120,844853.000000000000,833333.000000000000,10169100.000000000000
FS( 19 ),856373.000000000000,823463.000000000000,916133.000000000120,922102.999999999880,854653.000000000000,808683.000000000000,859333.000000000000,833333.000000000000,837173.000000000000,841253.000000000230,857013.000000000000,833333.000000000000,10242850.000000000000
FS( 20 ),859573.000000000000,831923.000000000000,895253.000000000120,935182.999999999880,861933.000000000120,811293.000000000000,866613.000000000000,833333.000000000000,833333.000000000000,838973.000000000120,865973.000000000000,833333.000000000000,10266720.000000000000
FS( 21 ),855093.000000000000,820643.000000000000,860693.000000000230,938092.999999999770,861933.000000000120,813613.000000000000,864533.000000000120,833333.000000000000,829573.000000000000,841253.000000000230,868533.000000000000,833333.000000000000,10220630.000000000000
FS( 22 ),865973.000000000000,827692.999999999880,874373.000000000120,929362.999999999880,861933.000000000120,794183.000000000000,866613.000000000000,833333.000000000000,837173.000000000000,842453.000000000120,868533.000000000000,833333.000000000000,10234960.000000000000
FS( 23 ),901493.000000000000,831923.000000000000,857093.000000000000,951203.000000000000,869213.000000000000,786353.000000000000,871293.000000000000,833333.000000000000,837173.000000000000,837893.000000000120,871733.000000000000,833333.000000000000,10282040.000000000000
FS( 24 ),901493.000000000000,846023.000000000120,826133.000000000120,957022.999999999880,871813.000000000000,784032.999999999880,873893.000000000000,833333.000000000000,837173.000000000000,835613.000000000230,871733.000000000000,833333.000000000000,10271600.000000000000
FS( 25 ),901493.000000000000,857273.000000000120,818933.000000000120,945382.999999999880,874413.000000000000,776203.000000000000,873893.000000000000,833333.000000000000,848533.000000000000,842453.000000000120,874933.000000000000,833333.000000000000,10280180.000000000000
FS( 26 ),912373.000000000000,869962.999999999880,833333.000000000000,959933.000000000000,883773.000000000000,768373.000000000000,878573.000000000120,833333.000000000000,844773.000000000000,837893.000000000120,883253.000000000000,833333.000000000000,10338910.000000000000
FS( 27 ),913653.000000000000,853043.000000000000,822533.000000000120,954112.999999999770,898333.000000000000,786353.000000000000,881173.000000000120,833333.000000000000,848533.000000000000,842453.000000000120,883253.000000000000,833333.000000000000,10350110.000000000000
FS( 28 ),910773.000000000000,855863.000000000000,829733.000000000120,936652.999999999880,896253.000000000000,794183.000000000000,878573.000000000120,833333.000000000000,848533.000000000000,848093.000000000120,880693.000000000000,833333.000000000000,10346020.000000000000
FS( 29 ),910773.000000000000,857273.000000000120,826133.000000000120,930833.000000000000,903533.000000000120,795633.000000000120,878573.000000000120,833333.000000000000,856133.000000000000,854933.000000000120,883253.000000000000,833333.000000000000,10363740.000000000000
FS( 30 ),929333.000000000000,854453.000000000000,816053.000000000120,919192.999999999880,900933.000000000120,791573.000000000000,878573.000000000120,833333.000000000000,852373.000000000000,858413.000000000120,877493.000000000000,833333.000000000000,10345060.000000000000
FS( 31 ),930933.000000000000,853043.000000000000,822533.000000000120,929362.999999999880,900933.000000000120,795633.000000000120,878573.000000000120,833333.000000000000,859973.000000000000,852653.000000000000,877493.000000000000,833333.000000000000,10367800.000000000000
