代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11144320.000000000000
真實報酬,1144320.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,16186.010142529227
風險,144233.509728034960
起點值,0.112220871371
找到最佳解世代,1441
找到最佳解實驗#,1
找到最佳解次數,11

投資組合檔數,3
2325(16)[1],2330(17)[2],2884(33)[12],
Stock#,2325(16)[1],2330(17)[2],2884(33)[12],
張數,91,26,217,
分配資金,3333333.000000000000,3333333.000000000000,3333333.000000000000,
剩餘資金,10013.000000000000,101013.000000000470,13232.999999999534,
FS( 1 ),3333333.000000000000,3333333.000000000000,3333333.000000000000,10000000.000000000000
FS( 2 ),3293292.999999999500,3296933.000000000500,3359372.999999999500,9949600.000000000000
FS( 3 ),3255983.000000000500,3309153.000000000500,3402772.999999999500,9967910.000000000000
FS( 4 ),3235963.000000000500,3321113.000000000500,3454852.999999999500,10011930.000000000000
FS( 5 ),3255983.000000000500,3369733.000000000500,3428812.999999999500,10054530.000000000000
FS( 6 ),3285103.000000000000,3393913.000000000500,3402772.999999999500,10081790.000000000000
FS( 7 ),3313312.999999999500,3454233.000000000500,3437492.999999999100,10205040.000000000000
FS( 8 ),3285103.000000000000,3430053.000000000500,3350692.999999999500,10065850.000000000000
FS( 9 ),3325143.000000000000,3405873.000000000500,3402772.999999999500,10133790.000000000000
FS( 10 ),3459822.999999999500,3490633.000000000500,3394092.999999999500,10344550.000000000000
FS( 11 ),3581763.000000000000,3430053.000000000500,3368052.999999999500,10379870.000000000000
FS( 12 ),3476203.000000000500,3442273.000000000000,3428812.999999999500,10347290.000000000000
FS( 13 ),3496223.000000000000,3466453.000000000500,3454852.999999999500,10417530.000000000000
FS( 14 ),3479843.000000000500,3454233.000000000500,3437492.999999999100,10371570.000000000000
FS( 15 ),3418873.000000000000,3430053.000000000500,3437492.999999999100,10286420.000000000000
FS( 16 ),3540812.999999999500,3490633.000000000500,3463532.999999999500,10494980.000000000000
FS( 17 ),3540812.999999999500,3490633.000000000500,3489572.999999999100,10521020.000000000000
FS( 18 ),3524432.999999999500,3466453.000000000500,3498252.999999999100,10489140.000000000000
FS( 19 ),3557193.000000000000,3442273.000000000000,3437492.999999999100,10436960.000000000000
FS( 20 ),3496223.000000000000,3405873.000000000500,3402772.999999999500,10304870.000000000000
FS( 21 ),3512603.000000000000,3405873.000000000500,3385412.999999999500,10303890.000000000000
FS( 22 ),3512603.000000000000,3430053.000000000500,3420132.999999999100,10362790.000000000000
FS( 23 ),3528983.000000000500,3478673.000000000500,3446172.999999999500,10453830.000000000000
FS( 24 ),3630903.000000000000,3599573.000000000500,3489572.999999999100,10720050.000000000000
FS( 25 ),3614522.999999999500,3551213.000000000500,3489572.999999999100,10655310.000000000000
FS( 26 ),3598143.000000000000,3490633.000000000500,3454852.999999999500,10543630.000000000000
FS( 27 ),3622713.000000000500,3538993.000000000000,3463532.999999999500,10625240.000000000000
FS( 28 ),3557193.000000000000,3478673.000000000500,3385412.999999999500,10421280.000000000000
FS( 29 ),3508963.000000000500,3430053.000000000500,3402772.999999999500,10341790.000000000000
FS( 30 ),3589953.000000000500,3454233.000000000500,3437492.999999999100,10481680.000000000000
FS( 31 ),3557193.000000000000,3393913.000000000500,3446172.999999999500,10397280.000000000000
FS( 32 ),3524432.999999999500,3369733.000000000500,3394092.999999999500,10288260.000000000000
FS( 33 ),3609973.000000000000,3454233.000000000500,3428812.999999999500,10493020.000000000000
FS( 34 ),3634542.999999999500,3418093.000000000500,3446172.999999999500,10498810.000000000000
FS( 35 ),3659113.000000000000,3502853.000000000500,3428812.999999999500,10590780.000000000000
FS( 36 ),3618163.000000000000,3514813.000000000500,3411453.000000000000,10544430.000000000000
FS( 37 ),3639093.000000000500,3514813.000000000500,3420132.999999999100,10574040.000000000000
FS( 38 ),3667303.000000000000,3478673.000000000500,3394092.999999999500,10540070.000000000000
