代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,12951030.000000000000
真實報酬,2951030.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,11663.391950624633
風險,167128.152070507700
起點值,0.069787117288
找到最佳解世代,1472
找到最佳解實驗#,1
找到最佳解次數,20

投資組合檔數,8
1101(0)[18],1216(2)[1],2301(13)[12],2412(27)[10],2881(33)[3],3008(42)[14],3045(43)[23],9999(50)[39],
Stock#,1101(0)[18],1216(2)[1],2301(13)[12],2412(27)[10],2881(33)[3],3008(42)[14],3045(43)[23],9999(50)[39],
張數,48,38,47,18,54,2,17,-1,
分配資金,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,
剩餘資金,5360.000000000233,29820.000000000000,12960.000000000000,5480.000000000000,18260.000000000000,154020.000000000000,10020.000000000000,1250000.000000000000,
FS( 1 ),1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,10000000.000000000000
FS( 2 ),1287440.000000000200,1286100.000000000200,1269740.000000000000,1260620.000000000000,1266200.000000000000,1244580.000000000000,1271080.000000000200,1250000.000000000000,10135760.000000000000
FS( 3 ),1289360.000000000200,1284960.000000000000,1263160.000000000000,1264580.000000000200,1276460.000000000000,1248200.000000000000,1252550.000000000000,1250000.000000000000,10129270.000000000000
FS( 4 ),1278320.000000000200,1303199.999999999800,1274440.000000000000,1265840.000000000000,1266200.000000000000,1240960.000000000000,1252550.000000000000,1250000.000000000000,10131510.000000000000
FS( 5 ),1292720.000000000500,1318780.000000000000,1279609.999999999800,1267280.000000000000,1268360.000000000000,1204860.000000000000,1252550.000000000000,1250000.000000000000,10134160.000000000000
FS( 6 ),1292720.000000000500,1309660.000000000000,1271150.000000000000,1269980.000000000000,1264040.000000000000,1192220.000000000000,1266320.000000000200,1250000.000000000000,10116090.000000000000
FS( 7 ),1282160.000000000500,1330180.000000000000,1276320.000000000000,1272500.000000000000,1255940.000000000000,1185000.000000000000,1246770.000000000000,1250000.000000000000,10098870.000000000000
FS( 8 ),1313840.000000000200,1313460.000000000000,1279609.999999999800,1269980.000000000000,1269980.000000000000,1201240.000000000000,1254590.000000000000,1250000.000000000000,10152700.000000000000
FS( 9 ),1289360.000000000200,1304340.000000000000,1254700.000000000000,1246040.000000000000,1245680.000000000000,1204860.000000000000,1251870.000000000000,1250000.000000000000,10046850.000000000000
FS( 10 ),1290800.000000000200,1301680.000000000000,1259870.000000000000,1248739.999999999800,1253780.000000000000,1226520.000000000000,1247959.999999999800,1250000.000000000000,10079350.000000000000
FS( 11 ),1290800.000000000200,1301680.000000000000,1267859.999999999800,1248739.999999999800,1258100.000000000200,1197640.000000000000,1254590.000000000000,1250000.000000000000,10069410.000000000000
FS( 12 ),1290800.000000000200,1317260.000000000000,1264570.000000000000,1264940.000000000000,1269980.000000000000,1188600.000000000000,1255950.000000000000,1250000.000000000000,10102100.000000000000
FS( 13 ),1284080.000000000200,1283820.000000000000,1233550.000000000000,1263680.000000000000,1255940.000000000000,1190420.000000000000,1280770.000000000000,1250000.000000000000,10042260.000000000000
FS( 14 ),1312400.000000000200,1291420.000000000200,1254700.000000000000,1266379.999999999800,1269980.000000000000,1213880.000000000000,1274140.000000000000,1250000.000000000000,10132900.000000000000
FS( 15 ),1317680.000000000200,1290280.000000000000,1267859.999999999800,1266379.999999999800,1276460.000000000000,1219300.000000000000,1274140.000000000000,1250000.000000000000,10162100.000000000000
FS( 16 ),1296080.000000000200,1284960.000000000000,1221800.000000000000,1262239.999999999800,1250000.000000000000,1203060.000000000000,1267680.000000000000,1250000.000000000000,10035820.000000000000
FS( 17 ),1287440.000000000200,1272039.999999999800,1257990.000000000000,1255220.000000000200,1253780.000000000000,1217500.000000000000,1280770.000000000000,1250000.000000000000,10074740.000000000000
