代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,12933725.708799999000
真實報酬,2933725.708799999200

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,11349.313836861073
風險,148168.040771236120
起點值,0.076597583243
找到最佳解世代,1501
找到最佳解實驗#,3
找到最佳解次數,22

投資組合檔數,7
1326(5)[29],2301(12)[12],2474(28)[24],2882(33)[1],2912(40)[4],3008(41)[16],9999(49)[33],
Stock#,1326(5)[29],2301(12)[12],2474(28)[24],2882(33)[1],2912(40)[4],3008(41)[16],9999(49)[33],
張數,22,47,11,61,10,1,-1,
分配資金,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,
剩餘資金,59511.000000000000,27970.999999999767,41691.000000000233,1171.000000000233,76171.000000000000,655481.000000000000,1428571.000000000000,
FS( 1 ),1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,10000000.000000000000
FS( 2 ),1472131.000000000000,1435620.999999999500,1438141.000000000200,1432841.000000000000,1441570.999999999800,1421141.000000000000,1428571.000000000000,10070020.000000000000
FS( 3 ),1486651.000000000000,1421520.999999999800,1452331.000000000200,1419421.000000000200,1450271.000000000000,1400701.000000000000,1428571.000000000000,10059470.000000000000
FS( 4 ),1484891.000000000000,1400370.999999999500,1414381.000000000200,1423691.000000000200,1432870.999999999800,1348661.000000000000,1428571.000000000000,9933440.000000000000
FS( 5 ),1483131.000000000000,1418230.999999999800,1404921.000000000200,1415151.000000000200,1428571.000000000000,1341231.000000000000,1428571.000000000000,9919810.000000000000
FS( 6 ),1468611.000000000000,1418230.999999999800,1423841.000000000200,1410271.000000000500,1454671.000000000000,1344941.000000000000,1428571.000000000000,9949140.000000000000
FS( 7 ),1472131.000000000000,1382980.999999999800,1352891.000000000200,1439551.000000000000,1476371.000000000000,1333791.000000000000,1428571.000000000000,9886290.000000000000
FS( 8 ),1486651.000000000000,1400370.999999999500,1362351.000000000200,1435281.000000000500,1476371.000000000000,1350521.000000000000,1428571.000000000000,9940120.000000000000
FS( 9 ),1466851.000000000000,1418230.999999999800,1300861.000000000200,1439551.000000000000,1476371.000000000000,1327291.000000000000,1428571.000000000000,9857730.000000000000
FS( 10 ),1477631.000000000000,1428571.000000000000,1258181.000000000200,1435281.000000000500,1476371.000000000000,1329151.000000000000,1428571.000000000000,9833760.000000000000
FS( 11 ),1472131.000000000000,1418230.999999999800,1258181.000000000200,1432841.000000000000,1480771.000000000200,1337511.000000000000,1428571.000000000000,9828240.000000000000
FS( 12 ),1475871.000000000000,1416350.999999999500,1234531.000000000200,1415151.000000000200,1480771.000000000200,1323571.000000000000,1428571.000000000000,9774820.000000000000
FS( 13 ),1493911.000000000000,1416350.999999999500,1262911.000000000200,1437721.000000000200,1476371.000000000000,1329151.000000000000,1428571.000000000000,9844990.000000000000
FS( 14 ),1512171.000000000000,1430450.999999999800,1277101.000000000200,1441991.000000000500,1485070.999999999800,1337511.000000000000,1428571.000000000000,9912870.000000000000
FS( 15 ),1512171.000000000000,1435620.999999999500,1277101.000000000200,1452971.000000000200,1489471.000000000200,1337511.000000000000,1428571.000000000000,9933420.000000000000
FS( 16 ),1493911.000000000000,1439380.999999999800,1258181.000000000200,1444431.000000000200,1498171.000000000000,1338441.000000000000,1428571.000000000000,9901090.000000000000
FS( 17 ),1474111.000000000000,1444550.999999999800,1239261.000000000500,1441991.000000000500,1498171.000000000000,1352381.000000000000,1428571.000000000000,9879040.000000000000
FS( 18 ),1464871.000000000200,1442670.999999999800,1243991.000000000200,1441991.000000000500,1463371.000000000000,1344941.000000000000,1428571.000000000000,9830410.000000000000
FS( 19 ),1472131.000000000000,1447841.000000000000,1253451.000000000200,1464561.000000000000,1485070.999999999800,1347731.000000000000,1428571.000000000000,9899360.000000000000
FS( 20 ),1483131.000000000000,1453480.999999999800,1300861.000000000200,1464561.000000000000,1476371.000000000000,1396051.000000000000,1428571.000000000000,10003030.000000000000
FS( 21 ),1506671.000000000000,1451600.999999999500,1286671.000000000200,1464561.000000000000,1485070.999999999800,1382111.000000000000,1428571.000000000000,10005260.000000000000
FS( 22 ),1515690.999999999800,1523510.999999999800,1291401.000000000200,1482251.000000000500,1463371.000000000000,1373751.000000000000,1428571.000000000000,10078550.000000000000
FS( 23 ),1512171.000000000000,1532440.999999999500,1291401.000000000200,1484691.000000000200,1485070.999999999800,1396051.000000000000,1428571.000000000000,10130400.000000000000
FS( 24 ),1519431.000000000000,1543251.000000000000,1286671.000000000200,1525561.000000000000,1493771.000000000000,1395121.000000000000,1428571.000000000000,10192380.000000000000
FS( 25 ),1493911.000000000000,1541370.999999999800,1296131.000000000200,1523121.000000000200,1493771.000000000000,1411851.000000000000,1428571.000000000000,10188730.000000000000
FS( 26 ),1493911.000000000000,1523510.999999999800,1315051.000000000500,1590831.000000000000,1489471.000000000200,1403481.000000000000,1428571.000000000000,10244830.000000000000
FS( 27 ),1461351.000000000000,1523510.999999999800,1310321.000000000000,1671351.000000000000,1506870.999999999800,1402551.000000000000,1428571.000000000000,10304530.000000000000
FS( 28 ),1459591.000000000000,1523510.999999999800,1324511.000000000500,1676231.000000000200,1506870.999999999800,1431361.000000000000,1428571.000000000000,10350650.000000000000
FS( 29 ),1472131.000000000000,1574740.999999999500,1367081.000000000000,1671351.000000000000,1489471.000000000200,1424851.000000000000,1428571.000000000000,10428200.000000000000
FS( 30 ),1464871.000000000200,1588841.000000000000,1338701.000000000200,1642071.000000000000,1480771.000000000200,1407201.000000000000,1428571.000000000000,10351030.000000000000
FS( 31 ),1468611.000000000000,1590720.999999999800,1348161.000000000200,1685381.000000000200,1480771.000000000200,1405341.000000000000,1428571.000000000000,10407560.000000000000
FS( 32 ),1468611.000000000000,1562520.999999999800,1338701.000000000200,1693921.000000000200,1476371.000000000000,1409061.000000000000,1428571.000000000000,10377760.000000000000
FS( 33 ),1466851.000000000000,1558760.999999999800,1333971.000000000200,1714661.000000000200,1493771.000000000000,1399771.000000000000,1428571.000000000000,10396360.000000000000
FS( 34 ),1461351.000000000000,1556880.999999999800,1315051.000000000500,1682941.000000000200,1485070.999999999800,1400701.000000000000,1428571.000000000000,10330570.000000000000
