代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,13943530.000000000000
真實報酬,3943530.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,15571.391155251087
風險,126809.368641111430
起點值,0.122793696729
找到最佳解世代,1695
找到最佳解實驗#,3
找到最佳解次數,8

投資組合檔數,7
1101(0)[6],2002(8)[22],2317(16)[1],2382(24)[3],2454(27)[2],2474(28)[9],2892(39)[10],
Stock#,1101(0)[6],2002(8)[22],2317(16)[1],2382(24)[3],2454(27)[2],2474(28)[9],2892(39)[10],
張數,49,70,32,29,5,10,130,
分配資金,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,
剩餘資金,12960.999999999767,13171.000000000233,12891.000000000000,6121.000000000233,8271.000000000000,51571.000000000000,10271.000000000000,
FS( 1 ),1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,10000000.000000000000
FS( 2 ),1374670.999999999800,1413871.000000000200,1413211.000000000000,1437271.000000000200,1414171.000000000000,1385571.000000000000,1436371.000000000200,9875140.000000000000
FS( 3 ),1392310.999999999800,1387271.000000000200,1411291.000000000000,1404211.000000000200,1389471.000000000000,1333971.000000000000,1428571.000000000000,9747100.000000000000
FS( 4 ),1401620.999999999800,1395671.000000000200,1399771.000000000000,1437271.000000000200,1366821.000000000000,1299471.000000000000,1416871.000000000200,9717500.000000000000
FS( 5 ),1405541.000000000000,1407571.000000000200,1438171.000000000000,1459311.000000000200,1430621.000000000200,1359770.999999999800,1420771.000000000000,9921760.000000000000
FS( 6 ),1395740.999999999800,1390071.000000000200,1415131.000000000000,1454961.000000000200,1445021.000000000000,1312371.000000000000,1409071.000000000000,9822370.000000000000
FS( 7 ),1401620.999999999800,1410371.000000000200,1436251.000000000000,1439591.000000000200,1463571.000000000000,1303771.000000000000,1432471.000000000000,9887650.000000000000
FS( 8 ),1426610.999999999800,1431371.000000000200,1462811.000000000000,1477001.000000000000,1455321.000000000200,1312371.000000000000,1440271.000000000000,10005760.000000000000
FS( 9 ),1435920.999999999800,1487371.000000000000,1503131.000000000000,1540801.000000000200,1449121.000000000200,1325371.000000000000,1464971.000000000000,10206690.000000000000
