代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,14181870.000000000000
真實報酬,4181870.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,19080.356506380045
風險,332614.410139553190
起點值,0.057364792158
找到最佳解世代,1785
找到最佳解實驗#,1
找到最佳解次數,22

投資組合檔數,5
1303(4)[3],2353(19)[1],3045(41)[5],4904(44)[23],9999(49)[48],
Stock#,1303(4)[3],2353(19)[1],3045(41)[5],4904(44)[23],9999(49)[48],
張數,74,47,63,93,-1,
分配資金,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,
剩餘資金,6439.999999999767,26940.000000000000,23060.000000000233,2360.000000000000,2000000.000000000000,
FS( 1 ),2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,10000000.000000000000
FS( 2 ),2122840.000000000000,2093060.000000000000,2000000.000000000000,2016740.000000000000,2000000.000000000000,10232640.000000000000
FS( 3 ),2119880.000000000000,2063450.000000000000,2032130.000000000200,1987910.000000000200,2000000.000000000000,10203370.000000000000
FS( 4 ),2148000.000000000000,2074730.000000000000,2056700.000000000200,1997210.000000000000,2000000.000000000000,10276640.000000000000
FS( 5 ),2148000.000000000000,2096820.000000000000,2051030.000000000000,2008370.000000000000,2000000.000000000000,10304220.000000000000
FS( 6 ),2122840.000000000000,2104340.000000000000,2028350.000000000200,1959080.000000000000,2000000.000000000000,10214610.000000000000
FS( 7 ),2191660.000000000000,2230770.000000000000,2063000.000000000200,1979540.000000000000,2000000.000000000000,10464970.000000000000
FS( 8 ),2239760.000000000000,2249570.000000000000,2071190.000000000000,1994420.000000000200,2000000.000000000000,10554940.000000000000
FS( 9 ),2265660.000000000000,2245810.000000000000,2071190.000000000000,2011160.000000000200,2000000.000000000000,10593820.000000000000
FS( 10 ),2252340.000000000000,2219960.000000000000,2063000.000000000200,1997210.000000000000,2000000.000000000000,10532510.000000000000
FS( 11 ),2196840.000000000000,2208680.000000000500,2063000.000000000200,1990700.000000000000,2000000.000000000000,10459220.000000000000
FS( 12 ),2216820.000000000000,2323830.000000000000,2074970.000000000000,2054870.000000000200,2000000.000000000000,10670490.000000000000
FS( 13 ),2163540.000000000000,2208680.000000000500,2048510.000000000000,2079980.000000000000,2000000.000000000000,10500710.000000000000
FS( 14 ),2209420.000000000000,2257090.000000000000,2056700.000000000200,2086490.000000000000,2000000.000000000000,10609700.000000000000
FS( 15 ),2234580.000000000000,2242050.000000000000,2071190.000000000000,2074400.000000000000,2000000.000000000000,10622220.000000000000
FS( 16 ),2209420.000000000000,2290460.000000000000,2040320.000000000500,2022319.999999999800,2000000.000000000000,10562520.000000000000
FS( 17 ),2199060.000000000000,2272130.000000000000,2046620.000000000200,2026040.000000000000,2000000.000000000000,10543850.000000000000
FS( 18 ),2163540.000000000000,2316780.000000000000,2058590.000000000500,2016740.000000000000,2000000.000000000000,10555650.000000000000
FS( 19 ),2096939.999999999800,2279180.000000000500,2044730.000000000500,1973960.000000000000,2000000.000000000000,10394810.000000000000
FS( 20 ),2056239.999999999500,2234530.000000000000,2026460.000000000200,2000000.000000000000,2000000.000000000000,10317230.000000000000
FS( 21 ),2094719.999999999500,2230770.000000000000,2058590.000000000500,2028830.000000000000,2000000.000000000000,10412910.000000000000
FS( 22 ),2239760.000000000000,2383520.000000000000,2144270.000000000000,2169260.000000000000,2000000.000000000000,10936810.000000000000
FS( 23 ),2395160.000000000000,2547550.000000000000,2180810.000000000000,2284580.000000000000,2000000.000000000000,11408100.000000000000
FS( 24 ),2418100.000000000000,2439449.999999999500,2180810.000000000000,2152520.000000000500,2000000.000000000000,11190880.000000000000
FS( 25 ),2472120.000000000000,2443210.000000000000,2201600.000000000000,2212970.000000000000,2000000.000000000000,11329900.000000000000
FS( 26 ),2428460.000000000000,2372239.999999999500,2185220.000000000000,2146940.000000000000,2000000.000000000000,11132860.000000000000
FS( 27 ),2454360.000000000000,2350150.000000000000,2165060.000000000000,2129270.000000000500,2000000.000000000000,11098840.000000000000
