代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,13708535.708799999000
真實報酬,3708535.708799999200

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,15807.865054693799
風險,326742.497732478780
起點值,0.048380192856
找到最佳解世代,1364
找到最佳解實驗#,3
找到最佳解次數,19

投資組合檔數,7
1303(4)[14],1326(5)[15],2002(8)[1],2354(20)[16],3045(41)[7],3231(42)[20],9999(49)[44],
Stock#,1303(4)[14],1326(5)[15],2002(8)[1],2354(20)[16],3045(41)[7],3231(42)[20],9999(49)[44],
張數,44,38,86,27,41,77,-1,
分配資金,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,
剩餘資金,8250.999999999767,29031.000000000000,1831.000000000000,43200.999999999767,24321.000000000000,15621.000000000000,1428571.000000000000,
FS( 1 ),1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,10000000.000000000000
FS( 2 ),1442210.999999999800,1438451.000000000000,1386431.000000000200,1397250.999999999800,1428571.000000000000,1411631.000000000000,1428571.000000000000,9933120.000000000000
FS( 3 ),1474330.999999999800,1453270.999999999800,1413091.000000000000,1418580.999999999500,1442101.000000000000,1507881.000000000000,1428571.000000000000,10137830.000000000000
FS( 4 ),1448370.999999999800,1436171.000000000000,1444911.000000000200,1421550.999999999800,1431441.000000000200,1494791.000000000000,1428571.000000000000,10105810.000000000000
FS( 5 ),1463770.999999999800,1423631.000000000200,1431151.000000000200,1509840.999999999800,1418321.000000000000,1494791.000000000000,1428571.000000000000,10170080.000000000000
FS( 6 ),1468170.999999999800,1418691.000000000000,1452651.000000000200,1466910.999999999500,1431441.000000000200,1473231.000000000000,1428571.000000000000,10139670.000000000000
FS( 7 ),1468170.999999999800,1411091.000000000000,1407071.000000000000,1408590.999999999800,1436771.000000000000,1371591.000000000000,1428571.000000000000,9931860.000000000000
