代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,14442820.000000000000
真實報酬,4442820.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,17968.894777795002
風險,415114.784954566510
起點值,0.043286568990
找到最佳解世代,1344
找到最佳解實驗#,2
找到最佳解次數,43

投資組合檔數,4
2308(12)[1],2603(28)[2],2912(40)[4],8046(47)[19],
Stock#,2308(12)[1],2603(28)[2],2912(40)[4],8046(47)[19],
張數,37,184,41,27,
分配資金,2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,
剩餘資金,29879.999999999534,10480.000000000000,14990.000000000466,27610.000000000000,
FS( 1 ),2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,10000000.000000000000
FS( 2 ),2467069.999999999500,2538640.000000000000,2525830.000000000500,2554000.000000000000,10085540.000000000000
FS( 3 ),2453379.999999999500,2516560.000000000000,2509430.000000000500,2543200.000000000000,10022570.000000000000
FS( 4 ),2464479.999999999500,2509200.000000000000,2486880.000000000500,2456529.999999999500,9917090.000000000000
FS( 5 ),2500000.000000000000,2608560.000000000000,2486880.000000000500,2467330.000000000000,10062770.000000000000
FS( 6 ),2500000.000000000000,2577279.999999999500,2480320.000000000500,2413060.000000000000,9970660.000000000000
FS( 7 ),2609889.999999999500,2577279.999999999500,2470480.000000000900,2575869.999999999500,10233520.000000000000
FS( 8 ),2571409.999999999100,2538640.000000000000,2451210.000000000900,2651740.000000000000,10213000.000000000000
FS( 9 ),2607299.999999999500,2577279.999999999500,2451210.000000000900,2684140.000000000000,10319930.000000000000
FS( 10 ),2585100.000000000000,2584640.000000000000,2461050.000000000500,2673340.000000000000,10304130.000000000000
FS( 11 ),2596199.999999999500,2569920.000000000000,2454490.000000000500,2651740.000000000000,10272350.000000000000
FS( 12 ),2571409.999999999100,2569920.000000000000,2434810.000000000500,2629869.999999999500,10206010.000000000000
FS( 13 ),2598790.000000000000,2538640.000000000000,2434810.000000000500,2586670.000000000000,10158910.000000000000
FS( 14 ),2615439.999999999500,2546000.000000000000,2421690.000000000900,2543200.000000000000,10126330.000000000000
FS( 15 ),2689439.999999999500,2569920.000000000000,2438090.000000000500,2629869.999999999500,10327320.000000000000
FS( 16 ),2760850.000000000000,2592000.000000000000,2463920.000000000500,2694940.000000000500,10511710.000000000000
FS( 17 ),2741609.999999999500,2592000.000000000000,2467200.000000000500,2694940.000000000500,10495750.000000000000
FS( 18 ),2719779.999999999500,2592000.000000000000,2470480.000000000900,2662540.000000000500,10444800.000000002000
FS( 19 ),2736059.999999999500,2601200.000000000000,2473760.000000000500,2651740.000000000000,10462760.000000000000
FS( 20 ),2733469.999999999100,2623279.999999999500,2480320.000000000500,2673340.000000000000,10510409.999999998000
FS( 21 ),2733469.999999999100,2661920.000000000000,2477040.000000000000,2673340.000000000000,10545770.000000000000
FS( 22 ),2747159.999999999100,2700560.000000000000,2477040.000000000000,2694940.000000000500,10619700.000000000000
FS( 23 ),2774540.000000000000,2746560.000000000000,2490160.000000000500,2684140.000000000000,10695400.000000000000
FS( 24 ),2788229.999999999500,2792560.000000000000,2486880.000000000500,2694940.000000000500,10762610.000000000000
FS( 25 ),2768989.999999999500,2891920.000000000000,2496720.000000000500,2857750.000000000000,11015380.000000000000
