代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,14051310.000000000000
真實報酬,4051310.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,15062.309076353034
風險,215210.680150708300
起點值,0.069988669084
找到最佳解世代,1568
找到最佳解實驗#,1
找到最佳解次數,49

投資組合檔數,6
2002(7)[15],2354(20)[18],2881(30)[2],2892(39)[10],3045(42)[13],4938(46)[1],
Stock#,2002(7)[15],2354(20)[18],2881(30)[2],2892(39)[10],3045(42)[13],4938(46)[1],
張數,75,26,50,137,21,44,
分配資金,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,
剩餘資金,20416.000000000000,35686.000000000000,13166.000000000000,11706.000000000000,17746.000000000233,19306.000000000000,
FS( 1 ),1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,10000000.000000000000
FS( 2 ),1656916.000000000000,1664326.000000000000,1647666.000000000000,1666666.000000000000,1656376.000000000200,1664906.000000000000,9956860.000000000000
FS( 3 ),1663666.000000000000,1649246.000000000000,1689666.000000000000,1670776.000000000000,1647976.000000000200,1738386.000000000000,10059720.000000000000
FS( 4 ),1653916.000000000000,1645085.999999999800,1670666.000000000000,1676256.000000000000,1634326.000000000500,1770505.999999999800,10050760.000000000000
FS( 5 ),1653916.000000000000,1649246.000000000000,1683166.000000000000,1684476.000000000200,1670026.000000000500,1704505.999999999800,10045340.000000000000
FS( 6 ),1666666.000000000000,1645085.999999999800,1683166.000000000000,1680365.999999999800,1656376.000000000200,1788106.000000000200,10119770.000000000000
FS( 7 ),1663666.000000000000,1619085.999999999800,1677166.000000000000,1670776.000000000000,1636006.000000000200,1806146.000000000000,10072850.000000000000
FS( 8 ),1673416.000000000000,1617006.000000000000,1660166.000000000000,1676256.000000000000,1641046.000000000200,1838266.000000000000,10106160.000000000000
FS( 9 ),1666666.000000000000,1636246.000000000000,1685666.000000000200,1676256.000000000000,1642936.000000000200,1856306.000000000000,10164080.000000000000
FS( 10 ),1656916.000000000000,1565006.000000000000,1677166.000000000000,1666666.000000000000,1664986.000000000200,1881386.000000000000,10112130.000000000000
FS( 11 ),1650915.999999999800,1545506.000000000000,1691666.000000000000,1680365.999999999800,1664986.000000000200,1877866.000000000200,10111310.000000000000
FS( 12 ),1647166.000000000000,1523926.000000000000,1725166.000000000000,1684476.000000000200,1666666.000000000000,1952666.000000000000,10200070.000000000000
FS( 13 ),1634416.000000000000,1543426.000000000000,1716666.000000000000,1680365.999999999800,1680106.000000000200,1924066.000000000000,10179050.000000000000
FS( 14 ),1634416.000000000000,1526266.000000000000,1691666.000000000000,1676256.000000000000,1697116.000000000200,1877866.000000000200,10103590.000000000000
FS( 15 ),1650915.999999999800,1536926.000000000000,1718666.000000000000,1684476.000000000200,1715806.000000000200,1945626.000000000200,10252420.000000000000
FS( 16 ),1656916.000000000000,1543426.000000000000,1746165.999999999800,1694066.000000000000,1714126.000000000200,1949146.000000000000,10303850.000000000000
FS( 17 ),1644166.000000000000,1547845.999999999800,1766666.000000000000,1694066.000000000000,1695436.000000000200,1938586.000000000000,10286770.000000000000
FS( 18 ),1641166.000000000000,1552006.000000000000,1771165.999999999800,1703656.000000000000,1702366.000000000200,1949146.000000000000,10319510.000000000000
FS( 19 ),1650915.999999999800,1556426.000000000000,1798166.000000000200,1717355.999999999800,1700686.000000000200,2009866.000000000200,10433420.000000000000
FS( 20 ),1641166.000000000000,1552006.000000000000,1812666.000000000000,1721466.000000000000,1695436.000000000200,2095665.999999999800,10518410.000000000000
FS( 21 ),1614916.000000000200,1530426.000000000000,1814666.000000000000,1731056.000000000200,1697116.000000000200,2092146.000000000200,10480330.000000000000
FS( 22 ),1641166.000000000000,1532766.000000000000,1812666.000000000000,1735166.000000000000,1704046.000000000200,2077626.000000000200,10503440.000000000000
FS( 23 ),1627666.000000000000,1530426.000000000000,1802166.000000000000,1731056.000000000200,1698796.000000000200,2041985.999999999800,10432100.000000000000
FS( 24 ),1631416.000000000000,1552006.000000000000,1812666.000000000000,1726946.000000000000,1681996.000000000200,2031426.000000000000,10436460.000000000000
FS( 25 ),1634416.000000000000,1545506.000000000000,1808665.999999999800,1726946.000000000000,1680106.000000000200,2056505.999999999800,10452150.000000000000
FS( 26 ),1627666.000000000000,1541345.999999999800,1802166.000000000000,1726946.000000000000,1687036.000000000200,2013386.000000000000,10398550.000000000000
FS( 27 ),1634416.000000000000,1552006.000000000000,1823166.000000000200,1744756.000000000000,1698796.000000000200,2052985.999999999800,10506130.000000000000
FS( 28 ),1634416.000000000000,1541345.999999999800,1821165.999999999800,1740645.999999999800,1697116.000000000200,2074106.000000000200,10508800.000000000000
FS( 29 ),1631416.000000000000,1549926.000000000000,1821165.999999999800,1735166.000000000000,1695436.000000000200,2027906.000000000000,10461020.000000000000
FS( 30 ),1641166.000000000000,1547845.999999999800,1808665.999999999800,1740645.999999999800,1693756.000000000200,1984786.000000000000,10416870.000000000000
FS( 31 ),1631416.000000000000,1543426.000000000000,1814666.000000000000,1740645.999999999800,1697116.000000000200,1984786.000000000000,10412060.000000000000
FS( 32 ),1631416.000000000000,1543426.000000000000,1819165.999999999800,1740645.999999999800,1697116.000000000200,2052985.999999999800,10484760.000000000000
FS( 33 ),1660666.000000000000,1554345.999999999800,1821165.999999999800,1740645.999999999800,1709086.000000000500,2038466.000000000000,10524380.000000000000
FS( 34 ),1673416.000000000000,1547845.999999999800,1831665.999999999800,1744756.000000000000,1724416.000000000000,2041985.999999999800,10564090.000000000000
FS( 35 ),1673416.000000000000,1554345.999999999800,1821165.999999999800,1744756.000000000000,1714126.000000000200,2045505.999999999800,10553320.000000000000
FS( 36 ),1663666.000000000000,1558506.000000000000,1832166.000000000200,1754346.000000000000,1712446.000000000200,2049026.000000000000,10570160.000000000000
FS( 37 ),1666666.000000000000,1562926.000000000000,1840665.999999999800,1763935.999999999800,1715806.000000000200,2020426.000000000000,10570430.000000000000
FS( 38 ),1647166.000000000000,1552006.000000000000,1866666.000000000000,1768046.000000000200,1705726.000000000200,2002826.000000000000,10542440.000000000000
FS( 39 ),1656916.000000000000,1608166.000000000000,1864166.000000000200,1772156.000000000000,1700686.000000000200,1977745.999999999800,10579840.000000000000
FS( 40 ),1644166.000000000000,1593085.999999999800,1853666.000000000000,1787226.000000000200,1695226.000000000200,1935066.000000000000,10508440.000000000000
FS( 41 ),1647166.000000000000,1599585.999999999800,1879666.000000000000,1787226.000000000200,1680736.000000000200,2056505.999999999800,10650890.000000000000
FS( 42 ),1650915.999999999800,1632085.999999999800,1873166.000000000200,1787226.000000000200,1670026.000000000500,2013386.000000000000,10626810.000000000000
FS( 43 ),1650915.999999999800,1660166.000000000000,1877166.000000000000,1795446.000000000000,1680736.000000000200,2020426.000000000000,10684860.000000000000
FS( 44 ),1647166.000000000000,1664326.000000000000,1862165.999999999800,1781746.000000000000,1660996.000000000200,2049026.000000000000,10665430.000000000000
FS( 45 ),1641166.000000000000,1645085.999999999800,1873166.000000000200,1781746.000000000000,1637686.000000000200,2056505.999999999800,10635360.000000000000
FS( 46 ),1647166.000000000000,1625585.999999999800,1873166.000000000200,1768046.000000000200,1655536.000000000200,2099186.000000000000,10668690.000000000000
FS( 47 ),1653916.000000000000,1630006.000000000000,1892666.000000000200,1787226.000000000200,1653856.000000000200,2149346.000000000000,10767020.000000000000
FS( 48 ),1650915.999999999800,1651585.999999999800,1944165.999999999800,1791336.000000000000,1659106.000000000200,2099186.000000000000,10796300.000000000000
FS( 49 ),1647166.000000000000,1655746.000000000000,1989666.000000000000,1809145.999999999800,1651966.000000000000,2149346.000000000000,10903040.000000000000
FS( 50 ),1641166.000000000000,1634166.000000000000,1985666.000000000200,1800926.000000000000,1653856.000000000200,2163426.000000000000,10879210.000000000000
FS( 51 ),1637416.000000000000,1645085.999999999800,2046165.999999999800,1814626.000000000000,1642936.000000000200,2142306.000000000000,10928540.000000000000
FS( 52 ),1637416.000000000000,1696826.000000000000,2113166.000000000000,1828326.000000000000,1637686.000000000200,2210065.999999999500,11123490.000000000000
FS( 53 ),1641166.000000000000,1666666.000000000000,2046165.999999999800,1828326.000000000000,1642936.000000000200,2163426.000000000000,10988690.000000000000
FS( 54 ),1647166.000000000000,1666666.000000000000,2063166.000000000000,1846136.000000000000,1648396.000000000200,2124266.000000000000,10995800.000000000000
FS( 55 ),1641166.000000000000,1666666.000000000000,2065666.000000000000,1837916.000000000000,1670026.000000000500,2152866.000000000000,11034310.000000000000
FS( 56 ),1666666.000000000000,1679666.000000000000,2076166.000000000000,1846136.000000000000,1673596.000000000200,2166946.000000000500,11109180.000000000000
FS( 57 ),1670416.000000000000,1677326.000000000000,2098166.000000000000,1851615.999999999800,1677166.000000000000,2170906.000000000000,11145600.000000000000
FS( 58 ),1673416.000000000000,1690326.000000000000,2119666.000000000000,1869426.000000000000,1677166.000000000000,2213585.999999999500,11243590.000000000000
