代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11441960.000000000000
真實報酬,1441960.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,7546.049090017180
風險,140922.937272775630
起點值,0.053547344641
找到最佳解世代,1873
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,8
1216(2)[10],2354(20)[9],2412(24)[1],2884(33)[5],4904(45)[6],6505(48)[12],9904(49)[2],9999(50)[25],
Stock#,1216(2)[10],2354(20)[9],2412(24)[1],2884(33)[5],4904(45)[6],6505(48)[12],9904(49)[2],9999(50)[25],
張數,27,17,15,90,21,19,41,-1,
分配資金,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,
剩餘資金,28250.000000000000,25490.000000000000,46850.000000000233,3500.000000000000,53840.000000000000,61930.000000000000,10980.000000000000,1250000.000000000000,
FS( 1 ),1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,10000000.000000000000
FS( 2 ),1245409.999999999800,1250000.000000000000,1250000.000000000000,1242800.000000000000,1250000.000000000000,1232900.000000000000,1225810.000000000000,1250000.000000000000,9946920.000000000000
FS( 3 ),1219220.000000000000,1251530.000000000000,1248800.000000000000,1250000.000000000000,1264489.999999999800,1234610.000000000000,1231550.000000000000,1250000.000000000000,9950200.000000000000
FS( 4 ),1252430.000000000000,1224500.000000000000,1250000.000000000000,1246400.000000000000,1268270.000000000000,1224350.000000000000,1244260.000000000000,1250000.000000000000,9960210.000000000000
FS( 5 ),1240550.000000000000,1248640.000000000000,1246100.000000000200,1252700.000000000000,1257350.000000000000,1226060.000000000000,1242619.999999999800,1250000.000000000000,9964020.000000000000
FS( 6 ),1254860.000000000000,1256120.000000000000,1252700.000000000200,1259000.000000000000,1262810.000000000000,1255130.000000000000,1262710.000000000000,1250000.000000000000,10053330.000000000000
FS( 7 ),1254860.000000000000,1265130.000000000000,1253900.000000000200,1266200.000000000000,1266380.000000000000,1265390.000000000000,1238930.000000000000,1250000.000000000000,10060790.000000000000
FS( 8 ),1219220.000000000000,1257650.000000000000,1248800.000000000000,1250000.000000000000,1260920.000000000000,1226060.000000000000,1209410.000000000000,1250000.000000000000,9922060.000000000000
FS( 9 ),1219220.000000000000,1284679.999999999800,1250000.000000000000,1252700.000000000000,1262810.000000000000,1244870.000000000000,1233190.000000000000,1250000.000000000000,9997470.000000000000
FS( 10 ),1219220.000000000000,1272610.000000000000,1255250.000000000200,1259000.000000000000,1266380.000000000000,1227770.000000000000,1218430.000000000000,1250000.000000000000,9968660.000000000000
FS( 11 ),1193300.000000000000,1277200.000000000000,1251350.000000000200,1252700.000000000000,1260920.000000000000,1212380.000000000000,1218430.000000000000,1250000.000000000000,9916280.000000000000
