代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,12513790.000000000000
真實報酬,2513790.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,10969.410525119991
風險,125469.712259359050
起點值,0.087426760830
找到最佳解世代,1812
找到最佳解實驗#,4
找到最佳解次數,5

投資組合檔數,10
1101(0)[26],1326(5)[23],2317(16)[2],2408(23)[12],2474(27)[39],2882(31)[8],2892(39)[1],3481(43)[21],4904(44)[34],9999(49)[43],
Stock#,1101(0)[26],1326(5)[23],2317(16)[2],2408(23)[12],2474(27)[39],2882(31)[8],2892(39)[1],3481(43)[21],4904(44)[34],9999(49)[43],
張數,36,13,14,27,4,29,71,102,14,-1,
分配資金,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,
剩餘資金,6400.000000000000,40079.999999999884,58359.999999999884,34750.000000000000,66200.000000000000,80.000000000000,12390.000000000000,7540.000000000000,41560.000000000116,1000000.000000000000,
FS( 1 ),1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,10000000.000000000000
FS( 2 ),1003240.000000000000,1004679.999999999900,984739.999999999880,1008370.000000000100,977640.000000000000,1000000.000000000000,997160.000000000000,977560.000000000000,991180.000000000120,1000000.000000000000,9944570.000000000000
FS( 3 ),1026640.000000000000,1001170.000000000000,993000.000000000000,987849.999999999880,990680.000000000000,998550.000000000000,1000000.000000000000,973480.000000000000,997480.000000000230,1000000.000000000000,9968850.000000000000
FS( 4 ),1023400.000000000000,1001170.000000000000,995239.999999999880,990280.000000000000,986960.000000000000,992170.000000000000,997160.000000000000,970420.000000000000,997480.000000000230,1000000.000000000000,9954280.000000000000
FS( 5 ),1001800.000000000000,1002339.999999999900,995239.999999999880,981640.000000000000,968360.000000000000,989559.999999999880,997160.000000000000,978580.000000000000,1007700.000000000200,1000000.000000000000,9922380.000000000000
FS( 6 ),1046440.000000000000,1030420.000000000000,1005739.999999999900,1000000.000000000000,985120.000000000000,998550.000000000000,1012070.000000000000,978580.000000000000,1017780.000000000100,1000000.000000000000,10074700.000000000000
FS( 7 ),1056520.000000000200,1019890.000000000000,1008119.999999999900,997569.999999999880,985120.000000000000,992170.000000000000,1020589.999999999900,971440.000000000000,1021700.000000000200,1000000.000000000000,10073120.000000000000
FS( 8 ),1053280.000000000000,989469.999999999880,976619.999999999880,910900.000000000120,985120.000000000000,989559.999999999880,1002839.999999999900,939820.000000000120,993700.000000000230,1000000.000000000000,9841310.000000000000
FS( 9 ),1046440.000000000000,989469.999999999880,991739.999999999880,910900.000000000120,1001840.000000000000,995940.000000000120,1009229.999999999900,947980.000000000000,1007700.000000000200,1000000.000000000000,9901240.000000000000
FS( 10 ),1076320.000000000000,1005850.000000000000,995239.999999999880,919270.000000000000,986960.000000000000,1000000.000000000000,1009229.999999999900,935739.999999999880,998740.000000000230,1000000.000000000000,9927350.000000000000
FS( 11 ),1024839.999999999900,982449.999999999770,978859.999999999880,913329.999999999880,949760.000000000000,968390.000000000120,1000000.000000000000,928600.000000000000,986000.000000000000,1000000.000000000000,9732230.000000000000
FS( 12 ),1066600.000000000000,980109.999999999880,984739.999999999880,937629.999999999880,955320.000000000000,981440.000000000120,1009229.999999999900,931660.000000000000,991180.000000000120,1000000.000000000000,9837910.000000000000
FS( 13 ),1076320.000000000000,990640.000000000000,998739.999999999880,955989.999999999880,973920.000000000000,989559.999999999880,1009229.999999999900,955119.999999999880,998740.000000000230,1000000.000000000000,9948260.000000000000
FS( 14 ),1086400.000000000000,990640.000000000000,1001119.999999999900,975430.000000000120,973920.000000000000,997390.000000000120,1020589.999999999900,957160.000000000000,998740.000000000230,1000000.000000000000,10001390.000000000000
FS( 15 ),1094680.000000000000,1000000.000000000000,1010500.000000000000,967060.000000000120,986960.000000000000,997390.000000000120,1020589.999999999900,962259.999999999880,1007700.000000000200,1000000.000000000000,10047140.000000000000
FS( 16 ),1068039.999999999800,998829.999999999880,1026880.000000000000,963280.000000000000,986960.000000000000,990719.999999999880,1017750.000000000000,959200.000000000000,1001260.000000000000,1000000.000000000000,10012920.000000000000
FS( 17 ),1053280.000000000000,971920.000000000000,1010500.000000000000,968140.000000000000,955320.000000000000,957950.000000000000,994320.000000000000,939820.000000000120,992440.000000000120,1000000.000000000000,9843690.000000000000
FS( 18 ),1053280.000000000000,976600.000000000000,1016380.000000000000,971920.000000000120,938600.000000000000,962010.000000000120,1000000.000000000000,953080.000000000000,989920.000000000000,1000000.000000000000,9861790.000000000000
FS( 19 ),1064799.999999999800,989469.999999999880,1022119.999999999900,974349.999999999880,942320.000000000000,955050.000000000000,1000000.000000000000,963279.999999999880,1001260.000000000000,1000000.000000000000,9912650.000000000000
FS( 20 ),1053280.000000000000,988299.999999999880,1022119.999999999900,988930.000000000120,957200.000000000000,957950.000000000000,1012070.000000000000,1052020.000000000000,1011480.000000000200,1000000.000000000000,10043350.000000000000
FS( 21 ),1071640.000000000000,989469.999999999880,1022119.999999999900,996220.000000000000,949760.000000000000,974480.000000000120,1014910.000000000000,1081600.000000000000,1031780.000000000100,1000000.000000000000,10131980.000000000000
FS( 22 ),1091440.000000000000,1003509.999999999900,1024500.000000000000,980290.000000000120,955320.000000000000,975929.999999999880,1014910.000000000000,1076500.000000000000,1061040.000000000000,1000000.000000000000,10183440.000000000000
FS( 23 ),1124559.999999999800,1003509.999999999900,1031500.000000000000,985420.000000000120,955320.000000000000,978830.000000000000,1014910.000000000000,1096900.000000000000,1061040.000000000000,1000000.000000000000,10251990.000000000000
FS( 24 ),1134640.000000000000,1002339.999999999900,1028000.000000000000,985420.000000000120,927440.000000000000,974480.000000000120,1017750.000000000000,1102000.000000000000,1058520.000000000000,1000000.000000000000,10230590.000000000000
FS( 25 ),1106200.000000000000,992589.999999999880,1010500.000000000000,969489.999999999880,888360.000000000000,949540.000000000000,1009229.999999999900,1072419.999999999800,1054740.000000000200,1000000.000000000000,10053070.000000000000
FS( 26 ),1139680.000000000000,992589.999999999880,1017500.000000000000,969489.999999999880,882800.000000000000,949540.000000000000,1005680.000000000000,1091800.000000000000,1058520.000000000000,1000000.000000000000,10107600.000000000000
FS( 27 ),1172799.999999999800,1009619.999999999900,1022119.999999999900,984069.999999999880,884640.000000000000,950990.000000000000,1020589.999999999900,1081600.000000000000,1080080.000000000000,1000000.000000000000,10206510.000000000000
FS( 28 ),1162720.000000000000,1046409.999999999800,1031500.000000000000,987849.999999999880,908840.000000000000,957950.000000000000,1020589.999999999900,1076500.000000000000,1067480.000000000200,1000000.000000000000,10259840.000000000000
FS( 29 ),1169560.000000000000,1046409.999999999800,1033880.000000000000,1005939.999999999900,920000.000000000000,977380.000000000120,1029820.000000000000,1081600.000000000000,1059500.000000000000,1000000.000000000000,10324090.000000000000
FS( 30 ),1171000.000000000200,1046409.999999999800,1033880.000000000000,1010800.000000000000,920000.000000000000,992750.000000000000,1029820.000000000000,1091800.000000000000,1052780.000000000000,1000000.000000000000,10349240.000000000000
FS( 31 ),1177840.000000000000,1048880.000000000000,1045500.000000000000,1017010.000000000100,959040.000000000000,1016240.000000000000,1038340.000000000000,1091800.000000000000,1058100.000000000000,1000000.000000000000,10452750.000000000000
FS( 32 ),1186120.000000000000,1054989.999999999800,1063000.000000000000,1008370.000000000100,973920.000000000000,1028709.999999999900,1047570.000000000100,1112200.000000000000,1058100.000000000000,1000000.000000000000,10532980.000000000000
FS( 33 ),1189360.000000000000,1059930.000000000000,1065380.000000000000,1014579.999999999900,968360.000000000000,1038570.000000000000,1050410.000000000000,1173400.000000000000,1047460.000000000000,1000000.000000000000,10607450.000000000000
FS( 34 ),1179640.000000000200,1061100.000000000000,1063000.000000000000,1008370.000000000100,955320.000000000000,1026100.000000000000,1050410.000000000000,1147900.000000000000,1039480.000000000200,1000000.000000000000,10531320.000000000000
FS( 35 ),1186120.000000000000,1064739.999999999800,1079380.000000000000,1053190.000000000000,959040.000000000000,1030160.000000000100,1050410.000000000000,1197880.000000000000,1047460.000000000000,1000000.000000000000,10668380.000000000000
FS( 36 ),1164520.000000000200,1063570.000000000000,1081759.999999999800,1046439.999999999900,953480.000000000000,1021750.000000000000,1047570.000000000100,1213180.000000000000,1046200.000000000200,1000000.000000000000,10638470.000000000000
FS( 37 ),1184680.000000000000,1066040.000000000000,1081759.999999999800,1047790.000000000100,940440.000000000000,1013630.000000000100,1050410.000000000000,1182580.000000000000,1039480.000000000200,1000000.000000000000,10606810.000000000000
FS( 38 ),1172440.000000000000,1066040.000000000000,1084000.000000000000,1073980.000000000000,923720.000000000000,1012179.999999999900,1050410.000000000000,1192780.000000000000,1034160.000000000200,1000000.000000000000,10609710.000000000000
FS( 39 ),1182880.000000000000,1068510.000000000000,1098140.000000000000,1058320.000000000000,929280.000000000000,1006670.000000000000,1050410.000000000000,1208080.000000000000,1034160.000000000200,1000000.000000000000,10636450.000000000000
FS( 40 ),1184680.000000000000,1074620.000000000000,1098140.000000000000,1021599.999999999900,901400.000000000000,1012179.999999999900,1056090.000000000000,1223380.000000000000,1020860.000000000200,1000000.000000000000,10592950.000000000000
FS( 41 ),1177480.000000000000,1057460.000000000000,1085259.999999999800,1024300.000000000000,892080.000000000000,998260.000000000120,1062480.000000000000,1202980.000000000000,1018200.000000000200,1000000.000000000000,10518500.000000000000
FS( 42 ),1177480.000000000000,1061100.000000000000,1095759.999999999800,1029430.000000000100,903240.000000000000,1005219.999999999900,1065320.000000000000,1202980.000000000000,1030100.000000000100,1000000.000000000000,10570630.000000000000
FS( 43 ),1194760.000000000000,1067210.000000000000,1092259.999999999800,1016470.000000000000,903240.000000000000,999710.000000000000,1062480.000000000000,1208080.000000000000,1034160.000000000200,1000000.000000000000,10578370.000000000000
FS( 44 ),1212040.000000000000,1067210.000000000000,1080500.000000000000,1003239.999999999900,899520.000000000000,996809.999999999880,1056090.000000000000,1192780.000000000000,1026180.000000000100,1000000.000000000000,10534370.000000000000
FS( 45 ),1198360.000000000000,1068510.000000000000,1086380.000000000000,1005939.999999999900,882800.000000000000,1005219.999999999900,1053250.000000000000,1208080.000000000000,1018200.000000000200,1000000.000000000000,10526740.000000000000
FS( 46 ),1212040.000000000000,1063570.000000000000,1091140.000000000000,1021599.999999999900,879080.000000000000,1016240.000000000000,1077390.000000000000,1218280.000000000000,1026180.000000000100,1000000.000000000000,10605520.000000000000
FS( 47 ),1215640.000000000200,1068510.000000000000,1109759.999999999500,1001890.000000000000,886520.000000000000,1037120.000000000000,1097269.999999999800,1238680.000000000000,1042140.000000000000,1000000.000000000000,10697530.000000000000
FS( 48 ),1215640.000000000200,1073320.000000000000,1108640.000000000000,990010.000000000120,875360.000000000000,1052490.000000000000,1097269.999999999800,1223380.000000000000,1038220.000000000100,1000000.000000000000,10674330.000000000000
FS( 49 ),1217440.000000000000,1072149.999999999800,1109759.999999999500,1009720.000000000000,860480.000000000000,1057999.999999999800,1107210.000000000000,1202980.000000000000,1051520.000000000000,1000000.000000000000,10689260.000000000000
FS( 50 ),1215640.000000000200,1080729.999999999800,1103880.000000000000,995410.000000000000,845600.000000000000,1046980.000000000100,1100820.000000000000,1177480.000000000000,1043540.000000000000,1000000.000000000000,10610080.000000000000
FS( 51 ),1215640.000000000200,1084370.000000000000,1065380.000000000000,995410.000000000000,858600.000000000000,1056840.000000000000,1097269.999999999800,1168300.000000000000,1051520.000000000000,1000000.000000000000,10593330.000000000000
FS( 52 ),1215640.000000000200,1084370.000000000000,1077000.000000000000,1009720.000000000000,880920.000000000000,1053940.000000000200,1084490.000000000000,1158100.000000000000,1026180.000000000100,1000000.000000000000,10590360.000000000000
