代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,14331331.976250000000
真實報酬,4331331.976250000300

夏普值報酬,0.424433197625
夏普值風險,0.098580460479
夏普值,4.305449533943

預期報酬,33344.898354072924
風險,168375.049322275910
起點值,0.198039427387
找到最佳解世代,2946
找到最佳解實驗#,3
找到最佳解次數,37

投資組合檔數,8
1216(2),1301(3),1326(5),1722(7),2412(24),2498(27),2892(38),3045(40),
Stock#,1216(2),1301(3),1326(5),1722(7),2412(24),2498(27),2892(38),3045(40),
張數,63,27,24,19,24,3,139,27,
分配資金,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,
剩餘資金,8393.227999999999,15964.001000000000,44444.527999999998,40829.383750000001,16805.198000000000,286138.451750000010,1393.267249999767,3526.302500000000,
FS( 1 ),1248233.227999999900,1248244.000999999900,1248284.527999999900,1248279.383750000000,1248245.198000000100,1248628.451750000000,1248223.267250000000,1248226.302500000000,9986364.360249999900
FS( 2 ),1287906.217999999600,1246554.435499999900,1251081.427999999800,1248422.035750000000,1258088.108000000500,1250940.228499999700,1284221.521999999600,1278469.603249999900,10105683.579000000000
FS( 3 ),1315503.556999999800,1270746.907999999800,1279037.173999999900,1254096.813250000100,1265734.124000000100,1317663.665000000000,1280069.974250000000,1244331.336500000000,10227183.552000001000
FS( 4 ),1312367.495749999800,1307842.032500000000,1316789.378000000000,1271121.145750000100,1277203.148000000000,1369095.069500000000,1307746.959249999600,1244331.336500000000,10406496.565250000000
FS( 5 ),1296687.189499999900,1313218.137500000000,1301975.222000000100,1268283.757000000000,1271468.636000000200,1382206.792249999900,1291140.768250000000,1248363.415250000100,10373343.917749999000
FS( 6 ),1307349.797749999900,1337410.609999999900,1303647.788000000200,1285118.930250000000,1277203.148000000000,1441284.212749999900,1286989.220499999800,1250513.857249999900,10489517.564499998000
