代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11363374.510249998000
真實報酬,1363374.510249998400

夏普值報酬,0.127637451025
夏普值風險,0.037785280607
夏普值,3.377967530591

預期報酬,11339.278682175289
風險,131275.341982416490
起點值,0.086377826261
找到最佳解世代,4145
找到最佳解實驗#,1
找到最佳解次數,47

投資組合檔數,5
1102(1),2105(10),2382(25),3045(43),4904(46),
Stock#,1102(1),2105(10),2382(25),3045(43),4904(46),
張數,85,50,43,28,47,
分配資金,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,
剩餘資金,3909.618750000000,2157.125000000000,42434.438499999997,67490.092000000004,3418.920500000000,
FS( 1 ),1997159.618749999900,1997157.125000000000,1997214.438499999900,1997250.091999999900,1997158.920500000000,9985940.194749999800
FS( 2 ),2017957.843750000000,1997289.425000000000,1985567.856250000000,1992892.318999999900,1988336.621000000000,9982044.064999999500
FS( 3 ),2023881.514999999900,2000276.149999999900,2022812.316999999600,1990662.230999999900,1995355.424750000000,10032987.637750000000
FS( 4 ),2041652.528750000100,2025165.524999999900,2047213.860249999700,2000976.388000000000,1992079.983000000000,10107088.285000000000
FS( 5 ),2017957.843750000000,2037112.425000000300,2059628.680499999800,1962228.608999999700,1974299.013499999900,10051226.571749998000
FS( 6 ),2021342.798749999800,2043583.662500000100,2059628.680499999800,1970312.678000000100,1974299.013499999900,10069166.833249999000
FS( 7 ),2053499.871249999600,2062001.800000000000,2059628.680499999800,1982578.162000000200,1967280.209749999900,10124988.723500000000
FS( 8 ),2053499.871249999600,2064988.524999999900,2078036.862249999800,1986759.576999999800,1908322.258250000200,10091607.093749998000
FS( 9 ),2080579.511250000000,2089380.112500000000,2084458.321000000000,1986759.576999999800,1890541.288750000100,10131718.810500000000
FS( 10 ),2086503.182499999900,2098838.075000000200,2084458.321000000000,2002927.715000000100,1914873.141750000000,10187600.435250001000
FS( 11 ),2062808.497499999800,2031138.975000000100,2069046.820000000100,1992892.318999999900,1967280.209749999900,10123166.821250001000
FS( 12 ),2077194.556249999900,2077433.212499999900,2047213.860249999700,1982578.162000000200,1921891.945499999900,10106311.736500001000
FS( 13 ),2089041.898749999900,2086393.387500000000,2056631.999749999700,1935746.314000000000,1935929.553000000100,10103743.152999999000
FS( 14 ),2122045.210000000000,2157079.212499999900,2022812.316999999600,1880830.396999999600,1985061.179249999800,10167828.315749999000
FS( 15 ),2112736.583750000200,2157079.212499999900,1991989.314999999900,1890865.793000000100,1995355.424750000000,10148026.329000000000
FS( 16 ),2083118.227499999600,2135674.350000000100,1994985.995750000000,1850166.687000000200,1981317.817249999800,10045263.077499999000
FS( 17 ),2104274.196250000000,2120242.937500000000,2124271.365250000300,1839852.530000000000,1978042.375500000100,10166683.404500000000
FS( 18 ),2133892.552500000200,2114269.487499999800,2112284.642250000500,1886963.139000000000,1995355.424750000000,10242765.246000001000
FS( 19 ),2136431.268749999800,2092366.837499999900,2139682.866250000400,1880830.396999999600,1985061.179249999800,10234372.548750000000
FS( 20 ),2136431.268749999800,2059015.075000000000,2084458.321000000000,1913445.433999999700,2037468.247250000000,10230818.346000001000
FS( 21 ),2136431.268749999800,2064988.524999999900,2121274.684500000000,1896998.534999999700,2002374.228500000000,10222067.241749998000
