代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12650461.773750000000
真實報酬,2650461.773749999700

夏普值報酬,0.256346177375
夏普值風險,0.063492336745
夏普值,4.037434917637

預期報酬,16532.239489825595
風險,205804.813999989300
起點值,0.080329702540
找到最佳解世代,3407
找到最佳解實驗#,1
找到最佳解次數,49

投資組合檔數,4
2412(24),2912(39),3045(40),8046(47),
Stock#,2412(24),2912(39),3045(40),8046(47),
張數,50,39,59,24,
分配資金,2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,
剩餘資金,22975.262500000001,39889.330750000001,9015.398000000467,38657.578000000001,
FS( 1 ),2496475.262500000200,2496499.330750000200,2496455.398000000000,2496497.578000000200,9985927.569250000600
FS( 2 ),2481547.725000000100,2473204.055500000200,2493671.925500000400,2514294.196000000500,9962717.902000000700
FS( 3 ),2477565.425000000300,2479416.443500000500,2489560.200750000300,2571878.254000000200,10018420.323250001000
FS( 4 ),2481547.725000000100,2491841.219500000600,2489560.200750000300,2543205.694000000100,10006154.839250002000
FS( 5 ),2473583.125000000000,2460779.279500000200,2489560.200750000300,2495179.156000000400,9919101.761250000400
FS( 6 ),2477565.425000000300,2488735.025500000500,2480749.362000000200,2514294.196000000500,9961344.008500000500
FS( 7 ),2469600.825000000200,2503877.721250000400,2510118.824500000600,2495179.156000000400,9978776.526750002100
FS( 8 ),2477565.425000000300,2510090.109250000200,2510118.824500000600,2485621.636000000400,9983395.994750000500
FS( 9 ),2477565.425000000300,2664234.986500000600,2489560.200750000300,2581674.712000000300,10213035.324250001000
FS( 10 ),2485530.025000000400,2611817.962749999500,2501895.375000000500,2610347.272000000300,10209590.634749999000
FS( 11 ),2485530.025000000400,2658022.598500000800,2501895.375000000500,2600789.752000000300,10246237.750500001000
FS( 12 ),2469600.825000000200,2621136.544750000400,2493671.925500000400,2524090.654000000100,10108499.949250001000
FS( 13 ),2461636.225000000100,2654916.404499999700,2493671.925500000400,2552763.213999999700,10162987.768999999000
FS( 14 ),2457653.925000000300,2636279.240500000800,2489560.200750000300,2667931.330000000500,10251424.696250001000
FS( 15 ),2469600.825000000200,2614924.156749999600,2439632.114500000600,2610347.272000000300,10134504.368250001000
FS( 16 ),2469600.825000000200,2627348.932750000200,2439632.114500000600,2629462.312000000400,10166044.184250003000
FS( 17 ),2485530.025000000400,2654916.404499999700,2472525.912500000600,2648816.290000000000,10261788.632000001000
FS( 18 ),2477565.425000000300,2707333.428250000300,2472525.912500000600,2658373.810000000100,10315798.575750001000
FS( 19 ),2473583.125000000000,2793530.311749999900,2460190.738249999900,2648816.290000000000,10376120.465000000000
FS( 20 ),2469600.825000000200,2784211.729750000400,2456079.013500000400,2600789.752000000300,10310681.320250001000
FS( 21 ),2469600.825000000200,2812167.475750000700,2497783.650250000400,2571878.254000000200,10351430.205000002000
FS( 22 ),2481547.725000000100,2719758.204250000000,2476637.637250000100,2648816.290000000000,10326759.856500000000
FS( 23 ),2469600.825000000200,2694908.652249999800,2493671.925500000400,2831125.984000000200,10489307.386750001000
FS( 24 ),2429777.825000000200,2670447.374500000400,2493671.925500000400,2725515.388000000300,10319412.513000000000
FS( 25 ),2449689.325000000200,2676659.762500000200,2480749.362000000200,2687046.370000000100,10294144.819499999000
FS( 26 ),2441724.725000000100,2618030.350750000700,2468414.187750000500,2802214.486000000000,10330383.749500001000
FS( 27 ),2469600.825000000200,2673553.568500000500,2489560.200750000300,2725515.388000000300,10358229.982250001000
FS( 28 ),2453671.625000000000,2688696.264250000000,2472525.912500000600,2667931.330000000500,10282825.131750001000
FS( 29 ),2477565.425000000300,2667341.180500000200,2472525.912500000600,2725515.388000000300,10342947.906000001000
FS( 30 ),2485530.025000000400,2676659.762500000200,2493671.925500000400,2725515.388000000300,10381377.101000002000
FS( 31 ),2473583.125000000000,2676659.762500000200,2489560.200750000300,2706400.348000000700,10346203.436250001000
FS( 32 ),2481547.725000000100,2738007.093999999600,2497783.650250000400,2667931.330000000500,10385269.799250001000
FS( 33 ),2481547.725000000100,2796636.505750000000,2506007.099750000100,2687046.370000000100,10471237.700500000000
FS( 34 ),2481547.725000000100,2799742.699750000100,2510118.824500000600,2744630.428000000300,10536039.677250002000
FS( 35 ),2481547.725000000100,2781105.535749999300,2497783.650250000400,2648816.290000000000,10409253.201000001000
FS( 36 ),2481547.725000000100,2753538.064000000200,2506007.099750000100,2610347.272000000300,10351440.160750002000
FS( 37 ),2473583.125000000000,2849053.529499999700,2514230.549250000600,2629462.312000000400,10466329.515750002000
FS( 38 ),2457653.925000000300,2895258.165250000500,2518342.274000000700,2600789.752000000300,10472044.116250001000
FS( 39 ),2493494.625000000000,2827310.171500000600,2510118.824500000600,2677488.850000000100,10508412.471000001000
FS( 40 ),2465618.525000000400,2812167.475750000700,2506007.099750000100,2667931.330000000500,10451724.430500003000
FS( 41 ),2461636.225000000100,2799742.699750000100,2518342.274000000700,2629462.312000000400,10409183.510750001000
FS( 42 ),2485530.025000000400,2858372.111500000600,2538900.897750000500,2639019.832000000400,10521822.866250001000
FS( 43 ),2477565.425000000300,2793530.311749999900,2514230.549250000600,2571878.254000000200,10357204.540000001000
FS( 44 ),2469600.825000000200,2771786.953749999900,2514230.549250000600,2466506.596000000400,10222124.924000002000
FS( 45 ),2477565.425000000300,2842841.141500000400,2547124.347250000600,2571878.254000000200,10439409.167750001000
FS( 46 ),2481547.725000000100,2833522.559500000400,2563571.246250000800,2591232.232000000300,10469873.762750002000
FS( 47 ),2481547.725000000100,2824203.977500000000,2575906.420500000500,2476064.116000000400,10357722.239000002000
FS( 48 ),2473583.125000000000,2842841.141500000400,2580018.145250001000,2504736.676000000000,10401179.087750001000
FS( 49 ),2481547.725000000100,2950781.382999999900,2563571.246250000800,2562320.734000000200,10558221.088250000000
FS( 50 ),2505441.525000000400,2932144.218999999600,2597052.433500000300,2648816.290000000000,10683454.467500001000
FS( 51 ),2521370.725000000100,2981455.048750000500,2662840.029500000600,2658373.810000000100,10824039.613250002000
FS( 52 ),2529335.325000000200,3018341.102500000000,2654616.580000000500,2648816.290000000000,10851109.297499999000
