代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11954293.254500000000
真實報酬,1954293.254499999800

夏普值報酬,0.186729325450
夏普值風險,0.053649124684
夏普值,3.480566114561

預期報酬,17427.694282191540
風險,144236.653901550920
起點值,0.120827083898
找到最佳解世代,4157
找到最佳解實驗#,1
找到最佳解次數,49

投資組合檔數,5
1303(4),2002(8),2891(37),2912(39),3045(40),
Stock#,1303(4),2002(8),2891(37),2912(39),3045(40),
張數,38,88,206,19,38,
分配資金,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,
剩餘資金,22706.366000000002,18941.008000000002,9267.242500000000,47251.292750000233,20423.116999999766,
FS( 1 ),1997186.365999999900,1997181.007999999900,1997167.242499999900,1997221.292750000000,1997183.117000000100,9985939.026249999200
FS( 2 ),1991475.839999999900,1997188.355999999900,1994523.438499999900,2035125.851000000300,1976708.080499999900,9995021.565999999600
FS( 3 ),1997150.617499999700,1997188.355999999900,2025286.706000000000,2027370.321750000400,1968385.073499999900,10015381.074749999000
FS( 4 ),2025524.504999999900,2010329.946000000000,2056049.973500000100,2105114.773500000100,1976708.080499999900,10173727.278500000000
FS( 5 ),2031199.282500000000,2012958.264000000000,2035541.128500000100,2143892.419750000400,1968385.073499999900,10191976.168250002000
FS( 6 ),2025524.504999999900,2016462.687999999800,2045795.551000000000,2105114.773500000100,1988435.954000000100,10181333.471500000000
FS( 7 ),2042548.837499999900,2034860.914000000100,2062202.627000000100,2112870.302750000300,1997137.279499999900,10249619.960750001000
FS( 8 ),2028172.734499999800,2032232.595999999900,2056049.973500000100,2112870.302750000300,1979734.628499999900,10209060.235250000000
FS( 9 ),2011148.402000000000,2019967.112000000000,2035541.128500000100,2105114.773500000100,1962331.977499999800,10134103.393500000000
FS( 10 ),2016823.179500000100,2028728.172000000000,2039642.897500000000,2112870.302750000300,1974059.850999999800,10172124.402750000000
FS( 11 ),2059573.169999999900,2038365.338000000000,2035541.128500000100,2081848.185750000400,1965358.525499999800,10180686.347750001000
FS( 12 ),2045197.067000000000,2038365.338000000000,2056049.973500000100,2058392.438750000200,1971033.303000000100,10169038.120250000000
FS( 13 ),2045197.067000000000,2054135.246000000000,2123729.162000000000,2066337.127250000400,1985409.405999999700,10274808.008250000000
FS( 14 ),2033847.511999999900,2072533.472000000300,2150390.660500000200,2089603.715000000100,1988435.954000000100,10334811.313500000000
FS( 15 ),2048223.614999999800,2088303.379999999900,2160645.083000000600,2097359.244250000000,1985409.405999999700,10379940.728249999000
FS( 16 ),2039522.289500000000,2085675.061999999900,2144238.007000000200,2105114.773500000100,1982761.176499999800,10357311.308499999000
FS( 17 ),2048223.614999999800,2076037.896000000200,2144238.007000000200,2120625.832000000400,1985409.405999999700,10374534.756000001000
FS( 18 ),2045197.067000000000,2079542.319999999600,2107322.086000000100,2097359.244250000000,1985409.405999999700,10314830.123249998000
FS( 19 ),2062221.399499999800,2088303.379999999900,2164746.852000000000,2112870.302750000300,1991084.183499999800,10419226.117750000000
FS( 20 ),2059573.169999999900,2085675.061999999900,2164746.852000000000,2120625.832000000400,1999785.508999999800,10430406.425000001000
FS( 21 ),2056546.621999999700,2082170.638000000000,2238578.694000000100,2120625.832000000400,2005460.286499999700,10503382.072500000000
FS( 22 ),2053898.392499999800,2091807.804000000000,2211917.195500000400,2128381.361250000100,2031564.262999999800,10517569.016249999000
FS( 23 ),2082272.279999999800,2123347.619999999600,2232426.040500000100,2136136.890500000200,2025889.485499999700,10600072.316500001000
FS( 24 ),2079245.731999999600,2163648.496000000300,2279596.384000000500,2143892.419750000400,2017188.159999999900,10683571.191750001000
FS( 25 ),2073570.954500000000,2148754.693999999700,2207815.426500000100,2089603.715000000100,2005460.286499999700,10525205.076499999000
FS( 26 ),2048223.614999999800,2123347.619999999600,2150390.660500000200,2058392.438750000200,1979734.628499999900,10360088.962749999000
FS( 27 ),2059573.169999999900,2123347.619999999600,2248833.116500000000,2058392.438750000200,1988435.954000000100,10478582.299249999000
FS( 28 ),2042548.837499999900,2088303.379999999900,2191408.350500000200,2027370.321750000400,1976708.080499999900,10326338.970249999000
FS( 29 ),2048223.614999999800,2110206.030000000300,2207815.426500000100,2027370.321750000400,1971033.303000000100,10364648.696249999000
FS( 30 ),2076597.502499999900,2129480.362000000200,2238578.694000000100,2097359.244250000000,1991084.183499999800,10533099.986250000000
FS( 31 ),2079245.731999999600,2117214.878000000000,2273443.730500000100,2066337.127250000400,1976708.080499999900,10512949.548249999000
FS( 32 ),2079245.731999999600,2129480.362000000200,2429310.952500000100,2058392.438750000200,1971033.303000000100,10667462.788249999000
FS( 33 ),2087568.738999999800,2117214.878000000000,2441616.259500000200,2035125.851000000300,1971033.303000000100,10652559.030499998000
FS( 34 ),2098918.293999999800,2104073.288000000200,2398547.685000000100,2035125.851000000300,1965358.525499999800,10602023.643500000000
FS( 35 ),2141668.284499999600,2097940.546000000100,2451870.682000000500,2011859.263250000300,1985409.405999999700,10688748.181750000000
FS( 36 ),2232086.406000000000,2110206.030000000300,2451870.682000000500,2011859.263250000300,1997137.279499999900,10803159.660750002000
FS( 37 ),2232086.406000000000,2101444.969999999700,2486735.718500000400,2027370.321750000400,1991084.183499999800,10838721.599750001000
FS( 38 ),2215062.073499999900,2097940.546000000100,2455972.450999999900,2011859.263250000300,1988435.954000000100,10769270.287750000000
FS( 39 ),2232086.406000000000,2091807.804000000000,2482633.949500000100,1973081.617000000300,2005460.286499999700,10785070.062999999000
FS( 40 ),2252137.286499999900,2085675.061999999900,2540058.715499999900,1973081.617000000300,1991084.183499999800,10842036.864499999000
FS( 41 ),2257812.063999999800,2117214.878000000000,2503142.794500000300,1996348.204750000500,1997137.279499999900,10871655.220750000000
FS( 42 ),2260460.293499999700,2123347.619999999600,2519549.870500000200,1988592.675500000100,1991084.183499999800,10883034.642999999000
FS( 43 ),2303210.284000000000,2141745.846000000400,2585178.174500000200,1973081.617000000300,1991084.183499999800,10994300.105000000000
FS( 44 ),2461725.735500000000,2210958.219999999700,2523651.639500000000,1949815.029250000100,1999785.508999999800,11145936.133249998000
FS( 45 ),2422002.293000000100,2195188.311999999900,2462125.104500000400,2035125.851000000300,2011513.382499999800,11125954.943000002000
