代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12262131.902250001000
真實報酬,2262131.902250001200

夏普值報酬,0.217513190225
夏普值風險,0.054431254264
夏普值,3.996108360288

預期報酬,15933.440764859690
風險,166955.369924026130
起點值,0.095435329646
找到最佳解世代,3747
找到最佳解實驗#,1
找到最佳解次數,46

投資組合檔數,3
2301(13),2330(20),2357(24),
Stock#,2301(13),2330(20),2357(24),
張數,123,48,17,
分配資金,3333333.000000000000,3333333.000000000000,3333333.000000000000,
剩餘資金,5137.069500000000,31514.603999999999,43912.245499999997,
FS( 1 ),3328597.069500000200,3328634.603999999800,3328652.245500000200,9985884.918999999800
FS( 2 ),3248989.224750000100,3305920.955999999800,3233216.846500000500,9788128.027249999300
FS( 3 ),3228171.751500000200,3350841.299999999800,3239140.517750000100,9818154.569250000600
FS( 4 ),3255112.011000000400,3371389.968000000300,3262158.211750000200,9888661.190750001000
FS( 5 ),3296746.957500000000,3334593.515999999800,3384016.591750000100,10015358.065250000000
FS( 6 ),3306543.415500000100,3408186.419999999900,3420574.105750000600,10135304.941250000000
FS( 7 ),3315115.316250000600,3396239.519999999600,3408388.267750000100,10119744.104000000000
FS( 8 ),3306543.415500000100,3424912.080000000500,3444945.781749999600,10176402.277249999000
FS( 9 ),3324911.774249999800,3445460.748000000100,3554787.571500000100,10325161.093750000000
FS( 10 ),3306543.415500000100,3437336.856000000100,3518230.057500000600,10262111.329000002000
FS( 11 ),3288175.056749999500,3433035.972000000500,3627902.599500000500,10349114.628250001000
FS( 12 ),3241641.881250000100,3396239.519999999600,3579159.247500000500,10217041.648750000000
FS( 13 ),3233069.980500000100,3412487.304000000000,3524322.976499999400,10169881.261000000000
FS( 14 ),3315115.316250000600,3461708.532000000100,3548694.652500000300,10325519.500750002000
FS( 15 ),3306543.415500000100,3412487.304000000000,3579159.247500000500,10298190.967000000000
FS( 16 ),3306543.415500000100,3424912.080000000500,3579159.247500000500,10310615.743000001000
FS( 17 ),3278378.598749999900,3396239.519999999600,3469486.705500000200,10144105.824250000000
FS( 18 ),3260010.239999999800,3437336.856000000100,3451038.700750000300,10148386.796750000000
FS( 19 ),3219599.850750000200,3412487.304000000000,3359644.915750000200,9991733.070500001300
FS( 20 ),3209803.392750000600,3424912.080000000500,3402295.348749999900,10037011.821500000000
FS( 21 ),3204905.163749999800,3424912.080000000500,3633995.518500000200,10263813.762250001000
FS( 22 ),3328585.446000000500,3449283.756000000100,3688831.789500000900,10466701.991500001000
FS( 23 ),3296746.957500000000,3474133.308000000200,3725389.303500000400,10496270.569000000000
FS( 24 ),3306543.415500000100,3477956.316000000100,3743668.060500000100,10528168.791999999000
FS( 25 ),3260010.239999999800,3396239.519999999600,3682738.870500000200,10338989.630500000000
FS( 26 ),3246540.110249999900,3358965.191999999800,3640088.437500000000,10245594.739750000000
FS( 27 ),3306543.415500000100,3469832.424000000600,3749760.979500000400,10526137.819000002000
FS( 28 ),3306543.415500000100,3457407.648000000000,3725389.303500000400,10489341.367000001000
FS( 29 ),3306543.415500000100,3494681.975999999800,3682738.870500000200,10483965.262000000000
FS( 30 ),3306543.415500000100,3498504.983999999200,3774132.655500000300,10579182.055000000000
FS( 31 ),3324911.774249999800,3519053.651999999800,3883805.197500000200,10727771.623749999000
FS( 32 ),3361648.491750000000,3580699.656000000000,3883805.197500000200,10826154.345249999000
FS( 33 ),3370220.392500000100,3580699.656000000000,3920531.959250000800,10871453.007750001000
FS( 34 ),3343280.133000000400,3547726.211999999800,3908176.873500000200,10799184.218500001000
FS( 35 ),3398385.209249999800,3560150.987999999900,3914439.040250000100,10872976.237499999000
FS( 36 ),3351852.033749999900,3531478.427999999400,3871619.359500000300,10754950.821249999000
FS( 37 ),3370220.392500000100,3547726.211999999800,3798504.331500000300,10716451.936000001000
FS( 38 ),3402058.881000000100,3564451.872000000400,3810690.169500000300,10777201.922500001000
FS( 39 ),3425325.468750000500,3556327.980000000400,3889898.116500000000,10871552.565250000000
FS( 40 ),3415529.010750000400,3576398.772000000300,3859433.521500000300,10851362.304250002000
FS( 41 ),3393486.980250000500,3625619.999999999500,3938810.716250000500,10957918.696500000000
FS( 42 ),3475532.316000000100,3715938.563999999300,3926624.878250000100,11118096.758249998000
