代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12832574.304750001000
真實報酬,2832574.304750001100

夏普值報酬,0.274557430475
夏普值風險,0.084355254809
夏普值,3.254775663904

預期報酬,27166.495726989222
風險,186978.657726781380
起點值,0.145291960362
找到最佳解世代,3155
找到最佳解實驗#,1
找到最佳解次數,39

投資組合檔數,4
2881(30),3045(42),4904(45),4938(46),
Stock#,2881(30),3045(42),4904(45),4938(46),
張數,62,31,49,51,
分配資金,2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,
剩餘資金,2185.679500000466,52166.801249999997,34731.991999999998,18378.721750000001,
FS( 1 ),2496445.679500000100,2496516.801250000000,2496491.992000000100,2496468.721750000000,9985923.194500001100
FS( 2 ),2490346.631000001000,2493724.887000000100,2481696.049999999800,2442344.997250000500,9908112.565250001800
FS( 3 ),2568120.950000000700,2517489.262249999700,2531942.720249999800,2498196.754749999800,10115749.687249999000
FS( 4 ),2554541.307000001000,2485700.552500000200,2519259.094750000200,2494134.808749999900,10053635.763000000000
FS( 5 ),2576145.284500000500,2514711.608000000500,2544626.345750000300,2472301.848999999900,10107785.087250002000
FS( 6 ),2565034.667500000900,2509464.927750000300,2544626.345750000300,2429143.672749999900,10048269.613750001000
FS( 7 ),2637253.678000000300,2527982.622750000100,2582189.390499999700,2342827.320250000300,10090253.011500001000
FS( 8 ),2586638.645000000900,2549277.972000000100,2582189.390499999700,2312870.468500000400,10030976.476000000000
FS( 9 ),2634784.652000000200,2570264.693000000000,2599263.501749999800,2368722.225999999800,10173035.072750000000
FS( 10 ),2605156.340000000300,2586313.362000000200,2658291.143500000200,2330133.739000000100,10179894.584500000000
FS( 11 ),2565034.667500000900,2591560.042249999900,2683170.562750000000,2347397.009500000200,10187162.282000002000
FS( 12 ),2479853.270500000600,2617793.443499999600,2683170.562750000000,2330133.739000000100,10110951.015750000000
FS( 13 ),2527999.277500000300,2612546.763249999800,2658291.143500000200,2377353.861250000100,10176191.045500001000
FS( 14 ),2536023.612000000700,2591560.042249999900,2628533.406750000100,2356028.644750000000,10112145.705750000000
FS( 15 ),2552072.281000000900,2575511.373249999700,2607556.641500000400,2334195.685000000100,10069335.980750002000
FS( 16 ),2581083.336500000700,2583535.707750000100,2586579.876250000200,2416450.091500000100,10167649.012000002000
FS( 17 ),2568120.950000000700,2596806.722500000600,2632923.892500000100,2429143.672749999900,10226995.237750001000
FS( 18 ),2597132.005500000400,2580758.053500000400,2683170.562750000000,2442344.997250000500,10303405.619000001000
FS( 19 ),2714410.740500000300,2575511.373249999700,2670486.937250000400,2455038.578500000300,10415447.629500000000
FS( 20 ),2736014.718000000800,2604831.056999999600,2763174.969750000200,2459608.267749999600,10563629.012499999000
FS( 21 ),2719966.049000000600,2662853.168000000100,2843179.376749999800,2381923.550499999400,10607922.144250000000
FS( 22 ),2746508.078500000300,2662853.168000000100,2864156.142000000000,2399186.821000000000,10672704.209500000000
FS( 23 ),2741570.026500000200,2652359.807500000100,2813421.640000000100,2420512.037499999600,10627863.511500001000
FS( 24 ),2725521.357500000900,2654828.833500000200,2813421.640000000100,2368722.225999999800,10562494.057000002000
FS( 25 ),2714410.740500000300,2641866.447000000200,2847082.030750000400,2364660.280000000300,10568019.498250000000
FS( 26 ),2687868.711000000600,2662853.168000000100,2855863.002250000400,2351458.955500000600,10558043.836750003000
FS( 27 ),2693424.019500000900,2623348.751999999900,2830495.751250000200,2381923.550499999400,10529192.073250001000
FS( 28 ),2746508.078500000300,2649582.153250000000,2843179.376749999800,2463670.213750000100,10702939.822250001000
FS( 29 ),2741570.026500000200,2644335.473000000200,2851472.516500000400,2631733.229499999900,10869111.245500000000
FS( 30 ),2677375.350500000600,2620571.097750000200,2838788.890999999800,2752576.123000000100,10889311.462250002000
FS( 31 ),2714410.740500000300,2654828.833500000200,2843179.376749999800,2757145.812250000400,10969564.763000000000
FS( 32 ),2714410.740500000300,2644335.473000000200,2851472.516500000400,2869357.070499999900,11079575.800500000000
FS( 33 ),2663795.707500000900,2620571.097750000200,2838788.890999999800,2869357.070499999900,10992512.766750000000
FS( 34 ),2661326.681500000900,2639088.792749999600,2851472.516500000400,2873419.016499999900,11025307.007250000000
FS( 35 ),2682930.659000000500,2657606.487749999900,2851472.516500000400,2921146.882000000200,11113156.545250002000
FS( 36 ),2714410.740500000300,2644335.473000000200,2868058.796000000100,3058745.302749999800,11285550.312249999000
FS( 37 ),2693424.019500000900,2644335.473000000200,2872449.281750000100,3210052.791249999800,11420261.565500002000
FS( 38 ),2719966.049000000600,2647113.127249999900,2864156.142000000000,3106473.168250000100,11337708.486500001000
FS( 39 ),2693424.019500000900,2631064.458250000100,2822202.611500000100,3132368.074000000000,11279059.163250003000
