代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12518265.079000000000
真實報酬,2518265.078999999900

夏普值報酬,0.243126507900
夏普值風險,0.067032179302
夏普值,3.627011838645

預期報酬,21129.908129323438
風險,152900.522317371940
起點值,0.138193825692
找到最佳解世代,4008
找到最佳解實驗#,1
找到最佳解次數,41

投資組合檔數,6
2227(11),2324(17),2474(26),3481(44),4904(45),4938(46),
Stock#,2227(11),2324(17),2474(26),3481(44),4904(45),4938(46),
張數,7,91,6,126,29,35,
分配資金,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,
剩餘資金,116480.128500000010,1726.837750000000,233867.166999999990,11190.304000000000,12472.128000000001,8456.413749999767,
FS( 1 ),1664460.128500000100,1664296.837749999900,1664627.166999999900,1664310.304000000000,1664312.128000000000,1664306.413750000100,9986316.979000000300
FS( 2 ),1638863.639749999900,1637914.527249999800,1680158.881000000100,1685847.011500000000,1657002.736000000000,1621437.249999999500,9921228.045499999100
FS( 3 ),1641511.869250000500,1593521.838000000000,1652860.214500000200,1662012.946000000000,1676924.191750000000,1618649.640000000100,9845484.699500000100
FS( 4 ),1612032.893500000000,1578120.292749999800,1658296.053999999800,1639433.305000000200,1682121.093250000200,1609589.907499999700,9779597.546000000100
FS( 5 ),1595934.445750000000,1570872.506750000200,1669227.467500000000,1697136.831999999700,1667107.822250000000,1630496.982499999900,9830780.056749999500
FS( 6 ),1633497.490500000100,1585368.078749999900,1647364.640499999700,1674557.190999999900,1674614.457749999800,1686597.633749999800,9902003.492249999200
FS( 7 ),1711202.119250000500,1581744.185750000200,1601010.668499999900,1628143.484500000000,1679522.642500000100,1801934.997499999800,10003562.098000001000
FS( 8 ),1778174.449500000100,1567248.613750000000,1538229.709000000000,1656995.247999999900,1672016.006999999800,1884866.394999999800,10097534.422249999000
FS( 9 ),1788906.748000000100,1600769.623999999800,1546413.335499999800,1656995.247999999900,1674614.457749999800,1888002.456249999600,10155705.869499998000
FS( 10 ),1756779.542750000300,1518326.058250000000,1560092.536000000100,1685847.011500000000,1679522.642500000100,1965010.182499999900,10165581.973500000000
FS( 11 ),1724582.647250000200,1465779.609750000100,1581895.628499999900,1668285.068500000100,1672016.006999999800,1965010.182499999900,10077573.143499998000
FS( 12 ),1751413.393500000000,1488428.941000000100,1601010.668499999900,1679574.889000000400,1679522.642500000100,1967797.792500000000,10167752.327000000000
FS( 13 ),1762145.692000000300,1477557.261999999900,1584643.415499999900,1708426.652499999900,1679522.642500000100,2000552.209999999700,10212851.874499999000
FS( 14 ),1847864.699500000100,1473933.368999999900,1603758.455499999900,1749822.660999999800,1689339.012000000100,2094982.498750000300,10459704.695750002000
FS( 15 ),1807653.425249999900,1484805.048000000000,1628309.334999999700,1749822.660999999800,1691937.462749999900,2198820.971249999900,10561352.903250000000
FS( 16 ),1821103.643500000000,1477557.261999999900,1617377.921499999900,1743550.538500000300,1687029.277999999900,2127736.916249999800,10474359.559749998000
FS( 17 ),1823751.873000000100,1473933.368999999900,1611942.081999999500,1738532.840499999900,1662199.637500000200,2145507.929999999200,10455871.731999999000
FS( 18 ),1842498.550249999900,1495676.727000000000,1669227.467500000000,1692119.134000000100,1637369.997000000200,2207532.252499999900,10544428.128250001000
FS( 19 ),1818385.723750000100,1492052.833999999800,1666479.680500000000,1708426.652499999900,1682121.093250000200,2175126.286249999900,10542596.270250000000
FS( 20 ),1807653.425249999900,1481181.154999999600,1663791.627999999800,1732260.718000000100,1679522.642500000100,2133660.587499999400,10498074.156250000000
