代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11519158.469749998000
真實報酬,1519158.469749998300

夏普值報酬,0.143215846975
夏普值風險,0.048165652094
夏普值,2.973402014661

預期報酬,14134.551631532253
風險,92927.581312276583
起點值,0.152102867975
找到最佳解世代,3290
找到最佳解實驗#,2
找到最佳解次數,18

投資組合檔數,11
1102(1),1216(2),1301(3),2408(23),2454(26),2474(27),2881(31),2884(34),2890(38),2912(41),5880(47),
Stock#,1102(1),1216(2),1301(3),2408(23),2454(26),2474(27),2881(31),2884(34),2890(38),2912(41),5880(47),
張數,34,15,10,18,4,2,20,53,105,3,62,
分配資金,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,
剩餘資金,5103.652500000000,45811.578750000001,58079.034999999887,6725.961000000000,28516.969000000001,287305.217500000030,26834.575000000001,13175.137999999999,4803.225000000000,114218.920499999990,8808.924999999999,
FS( 1 ),907803.652499999970,907861.578749999990,907879.035000000030,907805.961000000010,907836.969000000040,908205.217500000030,907834.574999999950,907815.138000000040,907803.224999999980,907958.920500000010,907808.925000000050,9986623.197250001100
FS( 2 ),913625.574499999870,909871.121250000080,903123.094999999860,940376.196000000110,926963.672000000140,909320.566000000110,907719.335000000080,906494.629750000080,901716.742500000050,910240.867499999930,903830.850000000090,10033292.649499999000
FS( 3 ),913625.574499999870,905540.370000000000,904118.670000000040,936971.329499999880,932738.007000000100,920909.059000000010,913493.669999999930,906494.629750000080,903807.449999999950,904446.621000000040,903830.850000000090,10045986.230750000000
FS( 4 ),915318.051999999910,902702.981249999950,905014.687499999770,956146.103999999930,961530.036000000080,942154.629500000040,905927.299999999930,908605.248750000030,909034.218750000000,910240.867499999930,909386.158500000020,10126070.283749999000
FS( 5 ),905501.682500000110,902702.981249999950,911685.039999999920,947365.132500000070,969215.875000000000,971125.862000000080,903139.689999999830,903856.356000000030,902762.096249999830,901549.497749999980,912472.441000000110,10131386.654249998000
FS( 6 ),905501.682500000110,915545.898749999930,916364.242499999700,921201.421500000050,996096.400000000020,955674.538000000060,902144.114999999990,903856.356000000030,902762.096249999830,920365.865250000030,909386.158500000020,10148908.774250001000
