代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,10621030.732000001000
真實報酬,621030.732000000770

夏普值報酬,0.053403073200
夏普值風險,0.017815846872
夏普值,2.997504052699

預期報酬,27966.587199275349
風險,37940.213193716620
起點值,0.737122563241
找到最佳解世代,3256
找到最佳解實驗#,2
找到最佳解次數,20

投資組合檔數,7
1102(1),2201(10),2330(19),2412(26),2454(27),2498(29),2882(33),
Stock#,1102(1),2201(10),2330(19),2412(26),2454(27),2498(29),2882(33),
張數,46,31,15,18,4,10,44,
分配資金,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,
剩餘資金,24032.380499999999,12335.736499999999,82806.013749999765,28699.021000000233,192011.410000000000,105488.289999999990,19445.853999999767,
FS( 1 ),1426572.380500000000,1426555.736500000100,1426656.013749999900,1426579.020999999900,1426811.409999999900,1426688.290000000000,1426565.854000000100,9986431.705750001600
FS( 2 ),1429983.395499999900,1414433.876250000200,1440571.198749999700,1412866.855000000200,1429750.072999999900,1415864.105000000000,1416834.923999999900,9960307.427500000200
FS( 3 ),1452423.656000000000,1451469.266249999900,1466854.378749999700,1417346.942500000100,1456630.598000000000,1420841.980000000000,1465020.753999999700,10130590.575500000000
FS( 4 ),1480817.454999999800,1451469.266249999900,1453712.788749999600,1420393.402000000000,1468418.206000000000,1440653.922500000300,1456697.747000000000,10172165.787500000000
FS( 5 ),1493640.461000000100,1471221.474250000000,1440571.198749999700,1415913.314500000100,1446555.378999999700,1351649.517499999800,1479914.555999999900,10099468.900999999000
FS( 6 ),1497762.141499999900,1465357.537500000100,1466854.378749999700,1408386.767500000300,1465073.074000000000,1356527.835000000000,1507949.947999999600,10167914.682249999000
FS( 7 ),1501425.857499999900,1442827.675250000300,1466854.378749999700,1406953.139500000000,1476820.858999999900,1376339.777500000100,1544308.346999999800,10215533.034499999000
FS( 8 ),1523866.118000000000,1451469.266249999900,1486716.099999999600,1402473.052000000100,1485223.512000000100,1351649.517499999800,1527662.332999999900,10229062.898750000000
FS( 9 ),1520202.402000000200,1454246.920500000000,1466854.378749999700,1408386.767500000300,1485223.512000000100,1351649.517499999800,1535985.339999999600,10222551.838250000000
FS( 10 ),1527529.833999999800,1488196.027999999900,1493286.894999999800,1405519.511500000000,1517201.380999999800,1366483.585000000000,1539489.764000000200,10337709.998499999000
FS( 11 ),1508753.289500000200,1482640.719500000100,1479995.968749999800,1412866.855000000200,1502068.641000000100,1346671.642499999800,1544308.346999999800,10277308.463250000000
FS( 12 ),1510585.147500000000,1473999.128500000100,1493286.894999999800,1412866.855000000200,1517201.380999999800,1410985.787500000100,1527662.332999999900,10346590.527500002000
FS( 13 ),1520202.402000000200,1473999.128500000100,1532861.001249999700,1411433.227000000000,1520546.512999999800,1420841.980000000000,1535985.339999999600,10415872.591750000000
FS( 14 ),1523866.118000000000,1493751.336500000200,1532861.001249999700,1396559.336500000200,1508798.727999999900,1396151.719999999700,1542556.135000000000,10394547.375249999000
FS( 15 ),1503257.715500000200,1479554.436999999900,1552573.386249999700,1370037.218500000200,1508798.727999999900,1485156.125000000500,1546060.558999999900,10445441.169250000000
FS( 16 ),1503257.715500000200,1459802.228999999800,1546002.591249999600,1395125.708500000200,1523931.467999999900,1450510.115000000000,1525910.120999999800,10404542.948249999000
FS( 17 ),1486313.028999999900,1476776.782749999800,1532861.001249999700,1401039.424000000100,1517201.380999999800,1544492.394999999800,1534233.127999999800,10492920.141000001000
FS( 18 ),1484481.170999999900,1488196.027999999900,1493286.894999999800,1395125.708500000200,1498683.686000000000,1588994.597499999900,1524595.961999999800,10473367.047999999000
FS( 19 ),1491808.603000000100,1488196.027999999900,1526140.869999999600,1408386.767500000300,1507086.338999999900,1574160.530000000000,1550879.141999999800,10546661.279499998000
FS( 20 ),1489976.744999999900,1493751.336500000200,1526140.869999999600,1408386.767500000300,1520546.512999999800,1539514.519999999800,1553945.513000000000,10532265.265000001000
FS( 21 ),1508753.289500000200,1490973.682250000100,1532861.001249999700,1426307.117500000200,1520546.512999999800,1539514.519999999800,1553945.513000000000,10572904.636500001000
FS( 22 ),1522034.260000000000,1482640.719500000100,1526140.869999999600,1429174.373500000000,1544081.906000000000,1534536.644999999800,1582418.957999999900,10621030.732000001000
