代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12211077.167500000000
真實報酬,2211077.167500000400

夏普值報酬,0.212407716750
夏普值風險,0.074054575549
夏普值,2.868259188259

預期報酬,124922.322901567920
風險,349022.022045272400
起點值,0.357921033663
找到最佳解世代,3488
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,2
2498(27),6505(47),
Stock#,2498(27),6505(47),
張數,108,75,
分配資金,5000000.000000000000,5000000.000000000000,
剩餘資金,19512.904999999999,62474.037499999999,
FS( 1 ),4992912.905000000300,4992974.037499999600,9985886.942499999000
FS( 2 ),4954777.295000000900,4883048.187500000000,9837825.482500001800
FS( 3 ),5030042.764999999700,4930835.787499999600,9960878.552499998400
FS( 4 ),5126812.655000000300,5025664.306249999400,10152476.961250000000
FS( 5 ),5164445.389999999700,4950996.181249999400,10115441.571249999000
FS( 6 ),5675175.365000000200,4957716.312500000000,10632891.677500000000
FS( 7 ),5814954.095000000700,5106305.881249999600,10921259.976250000000
FS( 8 ),6137520.395000000500,5140653.218750000000,11278173.613750000000
FS( 9 ),6449334.485000000300,5086145.487499999800,11535479.972500000000
FS( 10 ),6868670.675000000700,5072705.224999999600,11941375.900000000000
FS( 11 ),6470838.905000000300,5127212.956249999800,11598051.861250000000
FS( 12 ),6793405.205000000100,5140653.218750000000,11934058.423750000000
FS( 13 ),6750396.365000000200,5275802.524999998500,12026198.889999999000
FS( 14 ),6653626.475000000600,5154093.481249999300,11807719.956250001000
FS( 15 ),6621369.845000000700,5140653.218750000000,11762023.063750001000
FS( 16 ),6954688.355000000400,5302683.050000000700,12257371.405000001000
FS( 17 ),6857918.464999999900,5201134.399999998500,12059052.864999998000
FS( 18 ),6535352.165000000000,5187694.137499999300,11723046.302499998000
FS( 19 ),6857918.464999999900,5187694.137499999300,12045612.602499999000
FS( 20 ),6847166.254999999900,5363910.912499999600,12211077.167500000000
