代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,10257937.739750000000
真實報酬,257937.739749999720

夏普值報酬,0.017093773975
夏普值風險,0.020689548243
夏普值,0.826203345498

預期報酬,31967.096414982570
風險,195030.803342364200
起點值,0.163907935911
找到最佳解世代,3545
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,3
1303(4),2354(20),4904(44),
Stock#,1303(4),2354(20),4904(44),
張數,79,44,131,
分配資金,3333333.000000000000,3333333.000000000000,3333333.000000000000,
剩餘資金,36711.999749999537,74015.081000000006,10374.522250000467,
FS( 1 ),3328641.999750000000,3328695.080999999800,3328604.522249999900,9985942.603000000100
FS( 2 ),3416320.761999999200,3314293.121999999500,3304791.931750000500,10035406.815749999000
FS( 3 ),3620811.866999999600,3314293.121999999500,3304791.931750000500,10239897.920750000000
FS( 4 ),3649126.019999999600,3261288.708999999800,3239581.769250000800,10149997.498250000000
FS( 5 ),3655418.053999999500,3261288.708999999800,3261753.224500000000,10178460.987499999000
FS( 6 ),3734854.983249999600,3248147.118999999900,3326963.387000000100,10309966.489250001000
FS( 7 ),3734854.983249999600,3327434.711999999400,3310008.744750000500,10372299.439999999000
FS( 8 ),3700248.796249999200,3261288.708999999800,3274795.257000000700,10236333.762250001000
FS( 9 ),3694743.266499999400,3301151.531999999700,3274795.257000000700,10270691.055500001000
FS( 10 ),3683732.206999999500,3513607.236999999700,3304791.931750000500,10502132.375750000000
FS( 11 ),3700248.796249999200,3752784.175000000700,3304791.931750000500,10757825.903000001000
FS( 12 ),3666429.113499999500,3699341.708999999800,3296966.712250000300,10662738.534750000000
FS( 13 ),3700248.796249999200,3765925.764999999700,3296966.712250000300,10763142.273499999000
FS( 14 ),3694743.266499999400,3633195.706000000200,3283924.679750001100,10611864.652250001000
FS( 15 ),3694743.266499999400,3394018.768000000200,3317833.964250000200,10406596.998749999000
FS( 16 ),3655418.053999999500,3606474.473000000200,3304791.931750000500,10566685.458750000000
FS( 17 ),3564183.560999999300,3460602.824000001000,3287837.289500000000,10312624.674500000000
FS( 18 ),3552385.997249999500,3553470.060000000500,3340005.419500000800,10445862.476750001000
FS( 19 ),3518566.314499999900,3526748.826999999600,3334788.606500000200,10380104.748000000000
FS( 20 ),3450140.444749999800,3433881.591000000000,3373914.704000000400,10257937.739750000000
