代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,10731877.184500001000
真實報酬,731877.184500001370

夏普值報酬,0.064487718450
夏普值風險,0.022069572963
夏普值,2.922019314009

預期報酬,35117.321001057113
風險,75518.723124093682
起點值,0.465014761218
找到最佳解世代,3105
找到最佳解實驗#,2
找到最佳解次數,26

投資組合檔數,4
2002(8),2354(20),2498(27),2912(39),
Stock#,2002(8),2354(20),2498(27),2912(39),
張數,111,33,9,39,
分配資金,2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,
剩餘資金,20061.115750000001,5280.082750000466,17687.738499999999,39889.330750000001,
FS( 1 ),2496471.115749999900,2496450.082750000100,2496467.738500000000,2496499.330750000200,9985888.267750000600
FS( 2 ),2499879.148749999700,2525179.965250000800,2478958.209250000300,2473204.055500000200,9977221.378750000100
FS( 3 ),2537452.149249999800,2594830.392250000500,2518293.377499999900,2479416.443500000500,10129992.362500001000
FS( 4 ),2537452.149249999800,2594830.392250000500,2656100.868999999900,2491841.219500000600,10280224.630000001000
FS( 5 ),2544082.678749999500,2515323.772750000900,2580656.195499999900,2460779.279500000200,10100841.926500000000
FS( 6 ),2551818.296500000200,2604686.584750000900,2560943.810499999700,2488735.025500000500,10206183.717250001000
FS( 7 ),2600442.179500000600,2575118.007250000300,2606909.508250000400,2503877.721250000400,10286347.416250002000
FS( 8 ),2596021.826500000000,2555077.082500000500,2570800.003000000000,2510090.109250000200,10231989.021250000000
FS( 9 ),2600442.179500000600,2575118.007250000300,2610224.772999999600,2664234.986500000600,10450019.946250001000
FS( 10 ),2614808.326750000000,2575118.007250000300,2613450.435999999800,2611817.962749999500,10415194.732750000000
FS( 11 ),2611493.061999999900,2575118.007250000300,2590512.387999999800,2658022.598500000800,10435146.055750001000
FS( 12 ),2548503.031749999600,2555077.082500000500,2554402.882750000300,2621136.544750000400,10279119.541750003000
FS( 13 ),2514245.295999999600,2594830.392250000500,2613450.435999999800,2654916.404499999700,10377442.528749999000
FS( 14 ),2518665.649000000200,2704562.668750000200,2629847.556249999400,2636279.240500000800,10489355.114500001000
FS( 15 ),2470041.766000000300,2704562.668750000200,2662731.398499999700,2614924.156749999600,10452259.989999998000
FS( 16 ),2477777.383750000000,2674665.551500000500,2682354.181749999500,2627348.932750000200,10462146.049750000000
FS( 17 ),2529716.531499999600,2694377.936500000300,2728319.879499999800,2654916.404499999700,10607330.752000000000
FS( 18 ),2544082.678749999500,2684521.744000000400,2757888.456999999900,2707333.428250000300,10693826.308000000000
FS( 19 ),2521980.913749999800,2714418.861250000500,2728319.879499999800,2793530.311749999900,10758249.966250001000
FS( 20 ),2514245.295999999600,2674665.551500000500,2744716.999750000000,2784211.729750000400,10717839.577000000000
FS( 21 ),2507614.766499999900,2614871.317000000700,2797223.625250000000,2812167.475750000700,10731877.184500001000
