代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11181041.012750000000
真實報酬,1181041.012749999800

夏普值報酬,0.109404101275
夏普值風險,0.033393689716
夏普值,3.276190867396

預期報酬,54557.610959354417
風險,35846.720032313257
起點值,1.521969399437
找到最佳解世代,3915
找到最佳解實驗#,8
找到最佳解次數,7

投資組合檔數,6
2105(9),2883(32),2912(39),3045(40),4904(44),6239(45),
Stock#,2105(9),2883(32),2912(39),3045(40),4904(44),6239(45),
張數,65,280,22,36,63,28,
分配資金,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,
剩餘資金,2898.505000000233,3899.930000000233,58818.076999999765,4701.069999999767,1726.837750000000,33061.425999999999,
FS( 1 ),1664298.504999999900,1664299.929999999900,1664378.077000000000,1664301.070000000100,1664296.837749999900,1664341.426000000000,9985919.845750000300
FS( 2 ),1659535.305000000200,1701554.420000000200,1676328.779499999500,1704625.470999999900,1675756.333000000100,1671339.823000000300,10089144.131500000000
FS( 3 ),1675066.275000000100,1726642.909999999900,1667786.745999999800,1659107.781999999700,1694572.700499999800,1673012.389000000000,10096192.802500000000
FS( 4 ),1728130.422500000100,1740580.960000000200,1666034.533999999800,1659107.781999999700,1759175.562250000000,1694476.986000000000,10247510.246749999000
FS( 5 ),1735895.907500000000,1723855.300000000000,1683337.627499999900,1664483.886999999900,1763566.048000000000,1683884.067999999700,10255026.838000000000
FS( 6 ),1748838.382500000100,1735005.740000000200,1726923.900999999800,1667351.142999999700,1773601.443999999900,1709530.080000000100,10361254.690500000000
FS( 7 ),1743661.392500000100,1726642.909999999900,1752988.054499999400,1667351.142999999700,1815624.664750000000,1713153.973000000200,10419426.137750000000
FS( 8 ),1746249.887500000400,1735005.740000000200,1751235.842499999600,1661975.037999999900,1844476.428249999600,1693083.180999999900,10432030.117249999000
FS( 9 ),1804491.025000000100,1735005.740000000200,1731961.510499999900,1650864.420999999900,1815624.664750000000,1703954.860000000100,10441906.221249999000
FS( 10 ),1821963.366250000000,1757306.620000000100,1777299.995999999800,1653731.676999999700,1817506.301499999800,1766676.085000000000,10594488.045750000000
FS( 11 ),1819374.871250000300,1782395.109999999900,1796355.301499999800,1648355.571999999900,1811234.179000000200,1774202.632000000000,10631921.665749999000
FS( 12 ),1781841.693750000100,1785182.719999999700,1900611.915499999900,1667351.142999999700,1803080.419749999900,1748277.859000000200,10686349.750999998000
FS( 13 ),1779253.198750000200,1779607.500000000500,1857025.641999999500,1689213.969999999700,1828168.909750000300,1748277.859000000200,10681551.079500001000
FS( 14 ),1834905.841249999800,1774032.280000000300,1857025.641999999500,1694590.074999999700,1825660.060749999900,1781450.417999999800,10767668.316999998000
FS( 15 ),1873086.142500000100,1768457.060000000300,1857025.641999999500,1697457.330999999800,1825660.060749999900,1775875.198000000300,10797565.434250001000
FS( 16 ),1862732.162500000100,1762881.840000000300,1848483.608499999600,1694590.074999999700,1825660.060749999900,1829397.310000000100,10823749.056750000000
FS( 17 ),1920973.300000000300,1776819.890000000600,1839722.548500000000,1713585.645999999900,1846985.277250000000,1829397.310000000100,10927487.971750000000
FS( 18 ),1948799.621250000300,1774032.280000000300,1865786.701999999800,1730072.367999999800,1846985.277250000000,1838596.423000000000,11004276.671500001000
FS( 19 ),1956565.106250000400,1776819.890000000600,1865786.701999999800,1727205.112000000000,1838204.305750000100,1849746.862999999900,11014331.979000000000
FS( 20 ),1974684.571250000300,1793545.550000000000,1883089.795500000000,1727205.112000000000,1831932.183250000000,1870096.416000000200,11080557.628000002000
FS( 21 ),2085989.856250000200,1796333.159999999900,1891850.855499999600,1732939.623999999800,1861411.158999999500,1831348.637000000100,11199877.291749999000
FS( 22 ),2080812.866250000200,1787970.330000000100,1883089.795500000000,1727205.112000000000,1861411.158999999500,1840547.750000000000,11181041.012750000000
