代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,10771029.307250002000
真實報酬,771029.307250002400

夏普值報酬,0.068402930725
夏普值風險,0.021678661293
夏普值,3.155311566563

預期報酬,45146.463521288526
風險,29552.711860409971
起點值,1.527658907735
找到最佳解世代,4380
找到最佳解實驗#,2
找到最佳解次數,26

投資組合檔數,7
1101(0),2105(8),2325(18),2409(23),2498(27),2884(33),4904(45),
Stock#,1101(0),2105(8),2325(18),2409(23),2498(27),2884(33),4904(45),
張數,40,22,50,183,11,123,30,
分配資金,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,
剩餘資金,26976.569999999767,39274.068999999770,11554.625000000000,969.562750000000,16912.248749999999,5896.573750000000,14759.184999999767,
FS( 1 ),1426576.570000000100,1426594.068999999900,1426554.625000000000,1426539.562750000000,1426562.248750000000,1426546.573750000000,1426559.185000000100,9985935.834250001200
FS( 2 ),1446268.289999999800,1457032.603500000000,1476045.450000000000,1420231.415500000100,1425690.696749999900,1427607.541000000000,1430168.162499999600,10083047.159249999000
FS( 3 ),1453038.200000000000,1457032.603500000000,1456133.950000000000,1460313.265000000100,1452959.495999999800,1436179.441749999800,1451971.254999999900,10167631.211250000000
FS( 4 ),1475737.309999999800,1469736.140500000000,1482018.899999999900,1454847.558250000200,1398531.410750000000,1436179.441749999800,1454360.634999999800,10171414.396249998000
FS( 5 ),1487285.980000000200,1466231.716500000100,1497948.100000000100,1465778.971750000000,1431166.359250000000,1436179.441749999800,1423000.022499999700,10207593.591750000000
FS( 6 ),1508392.169999999900,1467983.928499999900,1505912.700000000000,1489463.700999999900,1425690.696749999900,1466793.372999999900,1461827.447499999800,10326067.016749999000
FS( 7 ),1513569.159999999500,1447833.490499999800,1511886.149999999900,1491285.603249999900,1420324.547500000100,1466793.372999999900,1468995.587499999400,10320690.911750000000
FS( 8 ),1523126.679999999900,1451556.940999999900,1517859.600000000100,1498573.212250000300,1409373.222500000100,1490059.960749999900,1481241.159999999900,10371793.776500002000
FS( 9 ),1531489.509999999800,1462508.266000000100,1517859.600000000100,1500395.114500000100,1442008.170999999900,1501080.976000000300,1454360.634999999800,10409705.272500001000
FS( 10 ),1533082.429999999900,1464260.477999999900,1531797.649999999900,1493107.505500000000,1436642.021749999800,1501080.976000000300,1471384.967500000000,10431359.028749999000
FS( 11 ),1524719.599999999900,1478935.253499999900,1555691.450000000000,1485819.896500000000,1442008.170999999900,1509652.876749999600,1498265.492499999900,10495095.740249999000
FS( 12 ),1526710.749999999500,1469736.140500000000,1531797.649999999900,1489463.700999999900,1469276.970250000200,1509652.876749999600,1495876.112499999800,10492517.200999998000
FS( 13 ),1562551.450000000000,1475211.802999999800,1527815.350000000100,1593312.129250000000,1458325.645250000300,1520673.892000000000,1508121.684999999800,10646014.954500001000
FS( 14 ),1552595.700000000000,1475211.802999999800,1519850.750000000000,1655256.805750000100,1425690.696749999900,1501080.976000000300,1491097.352499999800,10620787.083999999000
FS( 15 ),1590427.549999999600,1469736.140500000000,1529806.500000000000,1646147.294499999800,1452959.495999999800,1486386.289000000100,1488409.299999999800,10663875.570000000000
FS( 16 ),1582064.719999999700,1477183.041500000100,1527815.350000000100,1655256.805750000100,1523595.542250000200,1470467.044750000100,1483630.539999999800,10720016.044250000000
FS( 17 ),1606754.980000000200,1482658.703999999900,1531797.649999999900,1662544.414750000000,1496436.256250000100,1482712.617250000100,1508121.684999999800,10771029.307250002000
