代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12175052.641250001000
真實報酬,2175052.641250001300

夏普值報酬,0.208805264125
夏普值風險,0.058788320919
夏普值,3.551815409267

預期報酬,35875.605197699580
風險,137323.242311938930
起點值,0.261249331094
找到最佳解世代,3566
找到最佳解實驗#,4
找到最佳解次數,19

投資組合檔數,4
1802(8),2308(15),2357(24),2892(40),
Stock#,1802(8),2308(15),2357(24),2892(40),
張數,105,34,13,251,
分配資金,2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,
剩餘資金,1644.910000000000,29784.952499999999,64494.343000000001,4018.287250000000,
FS( 1 ),2496444.910000000100,2496484.952500000100,2496534.342999999900,2496448.287250000100,9985912.492750000200
FS( 2 ),2505267.141250000300,2485569.805000000200,2521105.522750000000,2500412.644000000300,10012355.113000002000
FS( 3 ),2626528.176249999600,2499448.120500000200,2516705.081249999800,2500412.644000000300,10143094.022000000000
FS( 4 ),2758242.748750000300,2575948.103500000200,2538707.288749999800,2512907.110249999900,10385805.251250001000
FS( 5 ),2685067.986250001000,2606074.202999999700,2503374.331999999900,2527900.469750000200,10322416.991000000000
FS( 6 ),2771832.347500000100,2603366.239000000100,2406176.344749999700,2527900.469750000200,10309275.401000001000
FS( 7 ),2771832.347500000100,2619952.518500000200,2406176.344749999700,2527900.469750000200,10325861.680500001000
FS( 8 ),2845007.110000000300,2644324.194500000200,2406176.344749999700,2542893.829250000000,10438401.478500001000
FS( 9 ),2811555.790000000000,2578656.067499999900,2357642.063499999700,2520403.790000000000,10268257.710999999000
FS( 10 ),2820963.973750000400,2595242.347000000100,2375243.829500000000,2527900.469750000200,10319350.620000001000
FS( 11 ),2723746.075000000200,2573240.139500000500,2388574.578749999900,2527900.469750000200,10213461.263000000000
FS( 12 ),2872186.307500000100,2575948.103500000200,2432708.418499999700,2562884.975250000100,10443727.804749999000
FS( 13 ),2800056.898750000200,2556992.355500000500,2362042.504999999900,2542893.829250000000,10261985.588500001000
FS( 14 ),2841871.048750001000,2653463.573000000300,2437108.859999999900,2562884.975250000100,10495328.457000000000
FS( 15 ),2861732.769999999600,2821357.341000000000,2450439.609249999300,2570381.654999999800,10703911.375249999000
FS( 16 ),2789603.361250001000,2818310.881500000100,2415106.652499999900,2527900.469750000200,10550921.365000002000
FS( 17 ),2759288.102500000000,2801386.106500000200,2397375.461749999800,2520403.790000000000,10478453.460750001000
FS( 18 ),2794830.130000000400,2801386.106500000200,2428307.976999999500,2520403.790000000000,10544928.003500000000
FS( 19 ),2773923.055000000200,2738764.439000000200,2446039.167749999600,2542893.829250000000,10501620.491000000000
FS( 20 ),2831417.511250000400,2835574.152000000200,2538707.288749999800,2570381.654999999800,10776080.607000001000
FS( 21 ),2861732.769999999600,2835574.152000000200,2529906.405749999900,2577878.334749999900,10805091.662500000000
FS( 22 ),2944315.716250000100,2918167.054000000000,2525505.964250000200,2612862.840250000400,11000851.574750001000
FS( 23 ),2914000.457499999600,2875516.620999999300,2565239.362499999800,2620359.520000000500,10975115.960999999000
FS( 24 ),2815737.205000001000,2847082.999000000300,2503374.331999999900,2607865.053750000400,10774059.589750003000
FS( 25 ),2841871.048750001000,2789877.259500000200,2507904.198249999900,2635352.879499999800,10775005.386000000000
FS( 26 ),2856506.001249999700,2812894.953500000300,2525505.964250000200,2635352.879499999800,10830259.798500000000
FS( 27 ),2893093.382500000300,2847082.999000000300,2618691.784249999600,2627856.199750000100,10986724.365499999000
FS( 28 ),2959996.022500000000,2889733.432000000000,2646647.530249999800,2677834.064749999900,11174211.049500000000
FS( 29 ),2970449.560000000100,3017684.731000000100,2637328.948249999900,2700324.103999999800,11325787.343250001000
FS( 30 ),2933862.178750000000,2975034.298000000000,2665284.694250000200,2707820.783749999900,11282001.954750000000
FS( 31 ),2991356.635000000200,2975034.298000000000,2749281.356999999800,2692827.424249999700,11408499.714249998000
FS( 32 ),2991356.635000000200,3003467.919999999500,2721325.611000000000,2685330.744500000000,11401480.910499999000
FS( 33 ),3001810.172500000300,2960817.486999999700,2805192.848999999900,2685330.744500000000,11453151.253000000000
FS( 34 ),2970449.560000000100,2918167.054000000000,2767918.521000000200,2660341.811999999900,11316876.947000001000
FS( 35 ),2919227.226250000300,2989251.109000000600,2725984.901999999300,2645348.452500000100,11279811.689750001000
FS( 36 ),2996583.403750000100,2975034.298000000000,2744622.065999999600,2675335.171500000200,11391574.939250000000
FS( 37 ),2996583.403750000100,2989251.109000000600,2767918.521000000200,2685330.744500000000,11439083.778250001000
FS( 38 ),2970449.560000000100,2932383.865000000200,2767918.521000000200,2700324.103999999800,11371076.050000001000
