代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11502385.076499999000
真實報酬,1502385.076499998600

夏普值報酬,0.141538507650
夏普值風險,0.040488833115
夏普值,3.495741832010

預期報酬,23740.695429154370
風險,101185.509836231260
起點值,0.234625446544
找到最佳解世代,4352
找到最佳解實驗#,1
找到最佳解次數,47

投資組合檔數,4
2105(9),2324(15),2412(24),3045(41),
Stock#,2105(9),2324(15),2412(24),3045(41),
張數,68,115,39,44,
分配資金,2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,
剩餘資金,24677.685000000001,10157.022499999999,6301.536249999999,30285.665000000001,
FS( 1 ),2496477.685000000100,2496457.022500000000,2496451.536249999900,2496485.665000000000,9985871.908749999500
FS( 2 ),2516681.555999999900,2482020.411250000400,2479996.783000000300,2462355.921000000100,9941054.671250000600
FS( 3 ),2689991.251999999900,2451107.807500000100,2485432.622499999600,2485572.730000000000,10112104.411999999000
FS( 4 ),2666296.566999999800,2462556.919999999900,2485432.622499999600,2462355.921000000100,10076642.030499998000
FS( 5 ),2710300.981999999800,2490034.789999999600,2501740.140999999400,2488639.100999999800,10190715.013999999000
FS( 6 ),2717070.892000000000,2474006.032499999700,2507175.980499999600,2479001.935000000100,10177254.840000000000
FS( 7 ),2744150.531999999700,2485455.145000000000,2526201.418750000700,2475497.510999999900,10231304.606750000000
FS( 8 ),2740765.577000000000,2470571.298750000100,2553380.616249999000,2515360.334000000300,10280077.825999999000
FS( 9 ),2730610.712000000300,2496904.257499999400,2518047.659500000100,2502218.744000000400,10247781.373000000000
FS( 10 ),2744150.531999999700,2496904.257499999400,2520765.579250000400,2505285.115000000200,10267105.483750001000
FS( 11 ),2652079.756000000100,2482020.411250000400,2512611.819999999800,2495647.949000000000,10142359.936250001000
FS( 12 ),2710300.981999999800,2493469.523750000600,2537073.097750000200,2545585.990999999900,10286429.594500002000
FS( 13 ),2686606.297000000300,2496904.257499999400,2534355.177999999800,2545585.990999999900,10263451.723500000000
FS( 14 ),2710300.981999999800,2542700.707500000000,2523483.498999999800,2528939.977000000000,10305425.165500000000
FS( 15 ),2638539.936000000200,2554149.819999999400,2526201.418750000700,2532006.348000000200,10250897.522750001000
FS( 16 ),2700146.117000000100,2562164.198750000000,2526201.418750000700,2548652.361999999700,10337164.096500000000
FS( 17 ),2703531.072000000200,2562164.198750000000,2539791.017500000100,2535510.771999999400,10340997.060249999000
FS( 18 ),2676451.432000000000,2581627.689999999900,2537073.097750000200,2528939.977000000000,10324092.196750000000
FS( 19 ),2706916.027000000200,2614830.116250000000,2537073.097750000200,2545585.990999999900,10404405.232000001000
FS( 20 ),2720455.847000000100,2657191.832500000000,2534355.177999999800,2552156.785999999800,10464159.643500000000
FS( 21 ),2778000.081999999900,2657191.832500000000,2547944.776749999700,2608665.623000000100,10591802.314250000000
FS( 22 ),2798309.812000000400,2665206.211250000600,2575123.974249999500,2615236.418000000100,10653876.415500000000
FS( 23 ),2801694.767000000000,2637728.341250000100,2591431.492750000200,2652032.869999999600,10682887.470999999000
FS( 24 ),2798309.812000000400,2611395.382499999400,2615892.770499999600,2748842.583000000600,10774440.548000000000
FS( 25 ),2761075.307000000000,2649177.453749999900,2662097.406250000500,2728692.145000000000,10801042.311999999000
FS( 26 ),2730610.712000000300,2649177.453749999900,2662097.406250000500,2712046.131000000100,10753931.703000002000
FS( 27 ),2730610.712000000300,2642307.986250000100,2640354.048250000000,2691895.693000000400,10705168.439500000000
FS( 28 ),2710300.981999999800,2599946.270000000000,2634918.208749999800,2691895.693000000400,10637061.153750001000
FS( 29 ),2648694.801000000000,2599946.270000000000,2662097.406250000500,2718616.925999999500,10629355.403250000000
FS( 30 ),2710300.981999999800,2653757.098750000400,2683840.764249999500,2738767.364000000100,10786666.208999999000
FS( 31 ),2717070.892000000000,2729321.241250000000,2705195.848000000200,2838643.447999999900,10990231.429250000000
FS( 32 ),2713685.937000000400,2676655.323750000000,2694324.169000000200,2798780.625000000000,10883446.054750001000
FS( 33 ),2744150.531999999700,2657191.832500000000,2694324.169000000200,2775125.762999999800,10870792.296499999000
FS( 34 ),2733995.666999999900,2642307.986250000100,2659379.486500000100,2775125.762999999800,10810808.902750000000
FS( 35 ),2737380.622000000400,2637728.341250000100,2688888.329500000000,2811922.214999999900,10875919.507750001000
FS( 36 ),2747535.487000000200,2588497.157499999700,2675687.004999999900,2851785.037999999700,10863504.687500000000
FS( 37 ),2744150.531999999700,2619409.761250000000,2681122.844500000100,2765488.596999999600,10810171.734749999000
FS( 38 ),2747535.487000000200,2585062.423750000100,2672969.085250000500,2751908.954000000400,10757475.950000001000
FS( 39 ),2757690.352000000000,2645742.719999999700,2651225.727250000500,2712046.131000000100,10766704.930250000000
FS( 40 ),2761075.307000000000,2619409.761250000000,2643071.967999999900,2715550.555000000200,10739107.591250001000
FS( 41 ),2771230.172000000300,2672075.678750000000,2675687.004999999900,2758479.749000000300,10877472.604750000000
FS( 42 ),2829451.398000000000,2691539.169999999900,2688888.329500000000,2760670.014000000000,10970548.911499999000
FS( 43 ),2863300.947999999900,2683524.791249999800,2748682.563999999300,2736139.046000000100,11031647.349250000000
FS( 44 ),2897150.497999999700,2665206.211250000600,2748682.563999999300,2694085.958000000600,11005125.231249999000
FS( 45 ),2944539.868000000200,2653757.098750000400,2775861.761500000000,2662546.142000000000,11036704.870250002000
FS( 46 ),2927615.092999999900,2676655.323750000000,2816630.557749999700,2701094.805999999900,11121995.780500000000
FS( 47 ),2907305.363000000400,2694973.903750000100,2803040.959000000300,2697590.382000000200,11102910.607750002000
FS( 48 ),2934385.003000000000,2688104.436250000300,2816630.557749999700,2697590.382000000200,11136710.379000001000
FS( 49 ),2954694.733000000000,2672075.678750000000,2775861.761500000000,2701094.805999999900,11103726.979250001000
FS( 50 ),2934385.003000000000,2599946.270000000000,2803040.959000000300,2680068.261999999600,11017440.494000001000
FS( 51 ),2961464.643000000200,2562164.198750000000,2857399.354000000300,2669554.990000000200,11050583.185750000000
FS( 52 ),2999376.139000000400,2588497.157499999700,2843809.755249999900,2683572.685999999800,11115255.737750001000
FS( 53 ),3084000.014000000400,2630858.873750000300,2870988.952750000200,2697590.382000000200,11283438.222500000000
FS( 54 ),3046765.509000000100,2585062.423750000100,2938936.946500000100,2750156.742000000100,11320921.621250000000
FS( 55 ),3050150.464000000200,2603381.003750000100,2979705.742750000200,2725625.774000000200,11358862.984500000000
FS( 56 ),3067075.239000000100,2748784.732499999900,2993295.341500000100,2732634.621999999500,11541789.935000001000
FS( 57 ),3067075.239000000100,2806030.294999999900,2979705.742750000200,2732634.621999999500,11585445.898750000000
FS( 58 ),3050150.464000000200,2812899.762500000200,2853904.885749999900,2732634.621999999500,11449589.734250000000
FS( 59 ),2958079.688000000100,2820914.141249999900,2810806.444000000100,2729130.197999999900,11318930.471250001000
FS( 60 ),2975004.463000000500,2794581.182500000100,2859340.725250000100,2729130.197999999900,11358056.568750001000
FS( 61 ),2927615.092999999900,2847247.100000000600,2848080.771999999900,2729130.197999999900,11352073.162999999000
FS( 62 ),2995991.183999999900,2866710.591250000100,2865164.838999999700,2753661.166000000200,11481527.780250002000
FS( 63 ),2964849.597999999800,2858696.212499999900,2865164.838999999700,2813674.426999999700,11502385.076499999000
