代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12029300.387499999000
真實報酬,2029300.387499999300

夏普值報酬,0.194230038750
夏普值風險,0.061209279817
夏普值,3.173212286275

預期報酬,32100.067501641261
風險,223525.017008056840
起點值,0.143608388588
找到最佳解世代,3435
找到最佳解實驗#,1
找到最佳解次數,28

投資組合檔數,2
3231(42),9904(48),
Stock#,3231(42),9904(48),
張數,230,268,
分配資金,5000000.000000000000,5000000.000000000000,
剩餘資金,4191.102499999067,5412.840999999999,
FS( 1 ),4992891.102500000000,4992892.841000000000,9985783.943500001000
FS( 2 ),5005163.442499999900,5013513.497999999700,10018676.940499999000
FS( 3 ),5044090.424999998900,4970823.241999999600,10014913.666999999000
FS( 4 ),4970816.105000000400,4981495.806000000800,9952311.911000002200
FS( 5 ),5057829.359999999400,5034858.625999999200,10092687.985999998000
FS( 6 ),5050959.892499999100,5056203.754000000700,10107163.646499999000
FS( 7 ),5085307.230000000400,5066876.318000000000,10152183.548000000000
FS( 8 ),5151712.082499999600,5098894.009999999800,10250606.092499999000
FS( 9 ),5204377.999999999100,5066876.318000000000,10271254.318000000000
FS( 10 ),5151712.082499999600,5066876.318000000000,10218588.400500000000
FS( 11 ),5057829.359999999400,4952146.254999999000,10009975.614999998000
FS( 12 ),5071568.294999999000,5024186.061999999900,10095754.356999999000
FS( 13 ),4991424.507500000300,4898783.434999999600,9890207.942499999000
FS( 14 ),5071568.294999999000,4845420.615000000200,9916988.910000000100
FS( 15 ),5224986.402499998900,5077548.882000000200,10302535.284499999000
FS( 16 ),5190639.064999999500,5088221.446000000500,10278860.511000000000
FS( 17 ),5190639.064999999500,5149588.689000000200,10340227.754000001000
FS( 18 ),5144842.614999999300,5160261.252999999600,10305103.867999999000
FS( 19 ),5158581.549999998900,5202951.509000000500,10361533.059000000000
FS( 20 ),5131103.679999999700,5234969.200999999400,10366072.880999999000
FS( 21 ),5131103.679999999700,5256314.328999999900,10387418.009000000000
FS( 22 ),5117364.744999999200,5234969.200999999400,10352333.945999999000
FS( 23 ),5078437.762499998300,5138916.125000000000,10217353.887499999000
FS( 24 ),5204377.999999999100,5266986.893000000200,10471364.892999999000
FS( 25 ),5204377.999999999100,5299004.585000000000,10503382.584999999000
FS( 26 ),5311999.657499998800,5328354.135999999000,10640353.793499999000
FS( 27 ),5469997.409999999200,5360371.827999999700,10830369.237999998000
FS( 28 ),5538692.084999999000,5360371.827999999700,10899063.912999999000
FS( 29 ),5538692.084999999000,5456424.904000000100,10995116.989000000000
FS( 30 ),5550141.197499997900,5445752.340000000800,10995893.537499998000
FS( 31 ),5490605.812499999100,5424407.211999999400,10915013.024499997000
FS( 32 ),5511214.214999998900,5435079.775999999600,10946293.990999999000
FS( 33 ),5563880.132500000300,5392389.520000000500,10956269.652500000000
FS( 34 ),5538692.084999999000,5371044.392000000000,10909736.476999998000
FS( 35 ),5605096.937499999100,5477770.031999999700,11082866.969499998000
FS( 36 ),5797442.027499998900,5549809.838999999700,11347251.866499998000
FS( 37 ),5923382.264999998700,5467097.468000000300,11390479.732999999000
FS( 38 ),5818050.429999999700,5403062.083999999800,11221112.513999999000
FS( 39 ),5918802.619999999200,5477770.031999999700,11396572.651999999000
FS( 40 ),6003526.052499999300,5467097.468000000300,11470623.520500001000
FS( 41 ),6003526.052499999300,5413734.648000000000,11417260.700500000000
FS( 42 ),6003526.052499999300,5413734.648000000000,11417260.700500000000
FS( 43 ),6170683.094999998800,5371044.392000000000,11541727.487000000000
FS( 44 ),6557663.097499999200,5403062.083999999800,11960725.181499999000
FS( 45 ),6511866.647499999000,5360371.827999999700,11872238.475499999000
FS( 46 ),6376767.119999999200,5320349.713000000500,11697116.833000001000
FS( 47 ),6376767.119999999200,5360371.827999999700,11737138.947999999000
FS( 48 ),6223349.012499998300,5360371.827999999700,11583720.840499997000
FS( 49 ),6365318.007500000300,5360371.827999999700,11725689.835500000000
FS( 50 ),6271435.284999999200,5371044.392000000000,11642479.676999999000
FS( 51 ),6257696.349999997800,5477770.031999999700,11735466.381999997000
FS( 52 ),6278304.752499999500,5424407.211999999400,11702711.964499999000
FS( 53 ),6223349.012499998300,5381716.956000000200,11605065.968499999000
FS( 54 ),6383636.587499998500,5349699.263999999500,11733335.851499997000
FS( 55 ),6218769.367499999700,5392389.520000000500,11611158.887499999000
FS( 56 ),6184422.029999999300,5403062.083999999800,11587484.114000000000
FS( 57 ),6530185.227499999100,5499115.159999999200,12029300.387499999000
