代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11675037.175250001000
真實報酬,1675037.175250001300

夏普值報酬,0.158803717525
夏普值風險,0.041644356975
夏普值,3.813331002353

預期報酬,24641.628047259615
風險,63934.985519363014
起點值,0.385416964547
找到最佳解世代,3745
找到最佳解實驗#,22
找到最佳解次數,1

投資組合檔數,6
1102(1),2317(16),2324(17),2884(33),2887(36),3008(41),
Stock#,1102(1),2317(16),2324(17),2884(33),2887(36),3008(41),
張數,53,28,96,144,165,1,
分配資金,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,
剩餘資金,94.515000000233,50165.764999999999,6383.464000000000,5422.096000000233,9357.696250000234,267474.989999999990,
FS( 1 ),1664294.514999999900,1664365.764999999900,1664303.463999999900,1664302.095999999900,1664307.696250000000,1664674.990000000000,9986252.526249999200
FS( 2 ),1656930.429999999700,1657222.929999999700,1683728.224000000200,1656961.551999999900,1652056.446250000300,1700794.361749999900,10007697.944000000000
FS( 3 ),1656930.429999999700,1657222.929999999700,1679905.216000000000,1656961.551999999900,1656984.542500000000,1686697.019750000000,9994705.690249998100
FS( 4 ),1656930.429999999700,1659174.256999999800,1695197.248000000100,1656961.551999999900,1652056.446250000300,1672599.677749999800,9992923.610999999600
FS( 5 ),1659041.049000000300,1661125.583999999800,1691374.240000000000,1665563.320000000100,1681625.023750000200,1766581.957749999800,10125315.174500002000
FS( 6 ),1659041.049000000300,1662798.149999999900,1702843.264000000000,1711439.416000000400,1681625.023750000200,1808873.983749999900,10226624.886500001000
FS( 7 ),1691227.988750000000,1668373.369999999600,1733427.328000000000,1724342.068000000200,1699694.710000000200,1794776.641750000000,10311846.106500000000
FS( 8 ),1719721.345250000200,1655271.602999999900,1718135.296000000100,1715740.300000000000,1693123.915000000300,1804174.869749999800,10306171.329000002000
FS( 9 ),1674343.036750000000,1664749.477000000000,1702843.264000000000,1715740.300000000000,1688195.818750000600,1719590.817749999900,10165466.714250000000
FS( 10 ),1706529.976500000300,1675899.916999999900,1733427.328000000000,1724342.068000000200,1675054.228750000500,1757183.729749999900,10272441.248000000000
