代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11879532.035250001000
真實報酬,1879532.035250000700

夏普值報酬,0.179253203525
夏普值風險,0.048199708204
夏普值,3.718968645313

預期報酬,27223.219798710830
風險,110056.888482942970
起點值,0.247355891793
找到最佳解世代,3947
找到最佳解實驗#,34
找到最佳解次數,4

投資組合檔數,4
2454(27),2474(28),2882(33),3008(41),
Stock#,2454(27),2474(28),2882(33),3008(41),
張數,8,17,78,2,
分配資金,2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,
剩餘資金,26880.820000000000,7483.217750000000,2005.423000000000,616760.202000000050,
FS( 1 ),2496480.819999999800,2496453.217749999800,2496445.423000000000,2497320.202000000000,9986699.662750000100
FS( 2 ),2502358.145999999700,2439742.632999999900,2479195.137999999800,2477728.815000000400,9899024.732000000800
FS( 3 ),2556119.196000000000,2523351.021499999800,2564615.472999999800,2534118.183000000200,10178203.873499999000
FS( 4 ),2579694.412000000000,2530967.170250000000,2549861.051500000500,2552914.639000000000,10213437.272750001000
FS( 5 ),2535968.757999999400,2417063.434499999500,2591018.122000000400,2496525.270999999700,10040575.585499998000
FS( 6 ),2573004.148000000000,2439742.632999999900,2640717.225999999800,2496525.270999999700,10149989.277999999000
FS( 7 ),2596499.717999999900,2470207.228000000100,2705170.751500000200,2487127.043000000100,10259004.740500001000
FS( 8 ),2613305.024000000200,2530967.170250000000,2675661.908499999900,2487127.043000000100,10307061.145750001000
FS( 9 ),2613305.024000000200,2470207.228000000100,2690416.329999999600,2440135.902999999900,10214064.484999999000
FS( 10 ),2677260.761999999600,2470207.228000000100,2696628.718000000800,2483363.769500000400,10327460.477500001000
FS( 11 ),2646995.282000000100,2454974.930500000200,2705170.751500000200,2421319.535500000200,10228460.499500001000
FS( 12 ),2677260.761999999600,2500671.822999999900,2675661.908499999900,2436372.629499999800,10289967.123000000000
FS( 13 ),2683951.025999999600,2515734.872749999200,2690416.329999999600,2445770.857499999900,10335873.086249998000
FS( 14 ),2660455.455999999800,2576664.062750000500,2702064.557500000100,2475837.222500000100,10415021.298750002000
FS( 15 ),2660455.455999999800,2599343.261249999100,2708276.945499999900,2472073.949000000000,10440149.611749999000
FS( 16 ),2690720.935999999800,2569047.913999999900,2672555.714500000200,2462675.720999999900,10395000.285500001000
FS( 17 ),2677260.761999999600,2652656.302499999800,2687310.135999999900,2505923.498999999800,10523150.699499998000
FS( 18 ),2640225.372000000000,2576664.062750000500,2670226.068999999700,2477728.815000000400,10364844.318750001000
