代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12866438.483250001000
真實報酬,2866438.483250001400

夏普值報酬,0.277943848325
夏普值風險,0.076569078481
夏普值,3.629975100097

預期報酬,11733.674723739314
風險,255753.474140332140
起點值,0.045878847836
找到最佳解世代,3057
找到最佳解實驗#,2
找到最佳解次數,31

投資組合檔數,4
1326(5),2912(40),3045(41),8046(47),
Stock#,1326(5),2912(40),3045(41),8046(47),
張數,62,41,68,27,
分配資金,2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,
剩餘資金,38817.805999999997,8164.186750000000,22634.777999999998,67618.789000000470,
FS( 1 ),2496497.805999999900,2496454.186749999900,2496474.777999999900,2496538.788999999900,9985965.559750000000
FS( 2 ),2473277.441999999300,2459319.615499999400,2461833.350999999800,2475038.608000000500,9869469.016499999900
FS( 3 ),2439328.334499999900,2527486.635749999900,2457094.413999999900,2529068.463250000500,9952977.847500000100
FS( 4 ),2468956.646500000300,2507893.719749999700,2495682.900999999600,2690889.223750000800,10163422.491000000000
FS( 5 ),2460315.055499999800,2507893.719749999700,2480789.098999999900,2626107.158500000400,10075105.032749999000
FS( 6 ),2519571.679499999600,2540140.393999999900,2500421.838000000000,2723145.853750000700,10283279.765250001000
FS( 7 ),2519571.679499999600,2524221.149750000300,2485528.035999999800,2658363.788500000300,10187684.653750001000
FS( 8 ),2630060.592999999400,2559733.310000000100,2490266.973000000700,2680137.013750000400,10360197.889750000000
FS( 9 ),2689317.216999999700,2553202.338000000000,2490266.973000000700,2701641.433750000300,10434427.961750001000
FS( 10 ),2684996.421500000200,2540140.393999999900,2500421.838000000000,2712393.643750000300,10437952.297250001000
FS( 11 ),2676972.086999999800,2527486.635749999900,2495682.900999999600,2658363.788500000300,10358505.412249999000
FS( 12 ),2727587.120000000100,2543405.879999999400,2524116.523000000500,2690889.223750000800,10485998.746750001000
FS( 13 ),2718945.528999999600,2566264.282000000100,2690656.308999999400,2723145.853750000700,10699011.973749999000
FS( 14 ),2659688.904999999800,2598510.956249999800,2671700.560999999800,2658363.788500000300,10588264.210750001000
FS( 15 ),2697958.808000000200,2572795.253999999700,2652744.813000000100,2604602.738500000000,10528101.613499999000
FS( 16 ),2706600.398999999700,2556467.823999999600,2633789.064999999900,2561325.093250000400,10458182.381250000000
FS( 17 ),2625739.797499999400,2562998.796000000100,2723828.867999999800,2572077.303250000300,10484644.764750000000
FS( 18 ),2583149.098999999900,2524221.149750000300,2738045.679000000000,2518047.447999999900,10363463.375750002000
FS( 19 ),2583149.098999999900,2553202.338000000000,2847718.220999999900,2518047.447999999900,10502117.105999999000
FS( 20 ),2604753.076500000000,2534017.607749999500,2861935.032000000100,2421008.752750000500,10421714.468999999000
FS( 21 ),2617098.206500000300,2559733.310000000100,2861935.032000000100,2475038.608000000500,10513805.156500001000
FS( 22 ),2659688.904999999800,2559733.310000000100,2857196.094999999700,2475038.608000000500,10551656.918000000000
FS( 23 ),2697958.808000000200,2478912.531500000000,2828762.473000000700,2550572.883250000400,10556206.695750002000
FS( 24 ),2621419.002000000300,2465850.587499999900,2809806.724999999600,2421008.752750000500,10318085.067250000000
FS( 25 ),2630060.592999999400,2440134.885249999400,2786112.040000000000,2399504.332750000500,10255811.851000000000
FS( 26 ),2668330.496000000300,2469116.073499999900,2847718.220999999900,2550572.883250000400,10535737.673750000000
FS( 27 ),2710921.194499999800,2488708.989500000100,2871412.906000000000,2539820.673250000500,10610863.763250001000
FS( 28 ),2723266.324499999600,2478912.531500000000,2866673.969000000000,2529068.463250000500,10597921.288249999000
FS( 29 ),2744870.302000000100,2488708.989500000100,2891045.645000000000,2431760.962749999900,10556385.899250001000
FS( 30 ),2748573.840999999500,2501362.747749999600,2866673.969000000000,2421008.752750000500,10537619.310500000000
FS( 31 ),2697958.808000000200,2514424.691749999800,2852457.157999999400,2453265.382750000300,10518106.040500000000
FS( 32 ),2740549.506500000100,2524221.149750000300,2847718.220999999900,2399504.332750000500,10511993.210000001000
FS( 33 ),2795485.334999999500,2534017.607749999500,2881567.771000000200,2399504.332750000500,10610575.046499999000
FS( 34 ),2723266.324499999600,2530752.121749999500,2842979.283999999500,2421008.752750000500,10518006.482999999000
FS( 35 ),2693638.012500000200,2530752.121749999500,2876828.833999999300,2410256.542750000500,10511475.511000000000
FS( 36 ),2706600.398999999700,2511159.205750000200,2876828.833999999300,2421008.752750000500,10515597.191499999000
FS( 37 ),2752894.636500000000,2494831.775750000000,2857196.094999999700,2377731.107500000400,10482653.614750000000
FS( 38 ),2651047.313999999800,2465850.587499999900,2861935.032000000100,2291444.622250000500,10270277.555749999000
FS( 39 ),2689317.216999999700,2469116.073499999900,2805067.788000000200,2356226.687500000500,10319727.766000001000
FS( 40 ),2791164.539500000000,2452788.643500000200,2824023.535999999800,2323970.057500000100,10391946.776500002000
FS( 41 ),2748573.840999999500,2440134.885249999400,2842979.283999999500,2280692.412250000500,10312380.422499999000
FS( 42 ),2672651.291499999800,2414010.997249999500,2857196.094999999700,2302196.832250000000,10246055.215999998000
FS( 43 ),2655368.109499999800,2423807.455249999600,2809806.724999999600,2291444.622250000500,10180426.911999999000
FS( 44 ),2646726.518499999800,2414010.997249999500,2809806.724999999600,2291444.622250000500,10161988.863000000000
FS( 45 ),2643022.979499999400,2410745.511249999500,2800328.850999999800,2259187.992250000100,10113285.333999999000
FS( 46 ),2630060.592999999400,2452788.643500000200,2847718.220999999900,2190105.043000000100,10120672.500499999000
FS( 47 ),2702279.603499999300,2462585.101499999900,2876828.833999999300,2183384.911750000000,10225078.450749999000
FS( 48 ),2676972.086999999800,2469116.073499999900,2866673.969000000000,2194405.927000000600,10207168.056500001000
FS( 49 ),2736228.710999999700,2472381.559500000000,2871412.906000000000,2183384.911750000000,10263408.088250000000
FS( 50 ),2774498.614000000100,2498097.261750000100,2891045.645000000000,2237414.767000000500,10401056.287750000000
FS( 51 ),2812151.260499999900,2485443.503499999600,2871412.906000000000,2205158.137000000100,10374165.807000000000
FS( 52 ),2838076.033500000400,2485443.503499999600,2947912.889000000000,2218060.789000000300,10489493.215000002000
FS( 53 ),2901653.452999999700,2488708.989500000100,2924218.203999999900,2222361.673000000000,10536942.319499999000
FS( 54 ),2875728.679999999700,2485443.503499999600,2919479.267000000000,2237414.767000000500,10518066.217499999000
FS( 55 ),2999179.980000000000,2494831.775750000000,2928957.140999999800,2291444.622250000500,10714413.518999999000
FS( 56 ),2956589.281500000000,2501362.747749999600,2919479.267000000000,2366978.897500000400,10744410.193750000000
FS( 57 ),2922640.174000000100,2491566.289750000000,2962129.699999999700,2356226.687500000500,10732562.851250000000
FS( 58 ),2884370.271000000200,2485443.503499999600,2895784.581999999900,2377731.107500000400,10643329.464000000000
FS( 59 ),2867704.345499999800,2485443.503499999600,2900523.518999999900,2356226.687500000500,10609898.055499999000
FS( 60 ),2859062.754499999300,2488708.989500000100,2905262.456000000200,2334722.267500000500,10587756.467499999000
FS( 61 ),2922640.174000000100,2498097.261750000100,2905262.456000000200,2356226.687500000500,10682226.579250000000
FS( 62 ),2947947.690499999600,2507893.719749999700,2905262.456000000200,2366978.897500000400,10728082.763750000000
FS( 63 ),2922640.174000000100,2507893.719749999700,2905262.456000000200,2507295.238000000400,10843091.587750001000
FS( 64 ),2825113.646999999900,2459319.615499999400,2881567.771000000200,2507295.238000000400,10673296.271499999000
FS( 65 ),2854741.959000000300,2452788.643500000200,2905262.456000000200,2539820.673250000500,10752613.731750002000
FS( 66 ),2922640.174000000100,2482178.017499999600,2924218.203999999900,2529068.463250000500,10858104.858750001000
FS( 67 ),2913998.583000000100,2507893.719749999700,2938435.015000000100,2582829.513250000300,10943156.831000000000
FS( 68 ),2905974.248499999800,2491566.289750000000,2905262.456000000200,2572077.303250000300,10874880.297499999000
FS( 69 ),2913998.583000000100,2469116.073499999900,2857196.094999999700,2485790.818000000000,10726101.569499999000
FS( 70 ),2943626.895000000000,2469116.073499999900,2876828.833999999300,2496543.028000000400,10786114.830499999000
FS( 71 ),2913998.583000000100,2462585.101499999900,2857196.094999999700,2442513.172750000400,10676292.952250000000
FS( 72 ),2905974.248499999800,2452788.643500000200,2876828.833999999300,2604602.738500000000,10840194.464499999000
FS( 73 ),2875728.679999999700,2433603.913250000200,2857196.094999999700,2680137.013750000400,10846665.702000000000
FS( 74 ),2922640.174000000100,2433603.913250000200,2876828.833999999300,2712393.643750000300,10945466.564999999000
FS( 75 ),2922640.174000000100,2443400.371249999900,2900523.518999999900,2701641.433750000300,10968205.498000000000
FS( 76 ),2943626.895000000000,2436869.399249999800,2924218.203999999900,2680137.013750000400,10984851.512000000000
FS( 77 ),2913998.583000000100,2417276.483250000000,2905262.456000000200,2658363.788500000300,10894901.310750000000
