代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11886605.012750000000
真實報酬,1886605.012749999800

夏普值報酬,0.179960501275
夏普值風險,0.054749925260
夏普值,3.286954282065

預期報酬,7869.602298193076
風險,247481.263738182720
起點值,0.031798780155
找到最佳解世代,4643
找到最佳解實驗#,2
找到最佳解次數,38

投資組合檔數,4
1303(4),2412(24),3045(41),4904(45),
Stock#,1303(4),2412(24),3045(41),4904(45),
張數,45,39,47,83,
分配資金,2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,
剩餘資金,50314.165000000001,55902.116500000004,15805.059499999999,20581.856749999999,
FS( 1 ),2496514.165000000000,2496522.116500000000,2496465.059500000000,2496471.856749999800,9985973.197750000300
FS( 2 ),2478969.598749999900,2475627.242500000200,2470982.611250000100,2491300.334249999800,9916879.786750000000
FS( 3 ),2448953.012500000200,2465920.386250000000,2439164.034250000000,2468163.171250000100,9822200.604250000800
FS( 4 ),2462393.274999999900,2469026.580250000100,2449926.200000000200,2470642.152999999900,9851988.208250001100
FS( 5 ),2442232.881250000100,2469026.580250000100,2435420.672250000300,2470642.152999999900,9817322.286750000000
FS( 6 ),2448953.012500000200,2469026.580250000100,2428401.868499999900,2479731.752749999500,9826113.213999999700
FS( 7 ),2482553.668750000200,2469026.580250000100,2453201.641750000000,2485516.043499999700,9890297.934250000900
FS( 8 ),2485689.730000000000,2469026.580250000100,2435420.672250000300,2479731.752749999500,9869868.735249999900
FS( 9 ),2485689.730000000000,2469026.580250000100,2428401.868499999900,2470642.152999999900,9853760.331749999900
FS( 10 ),2495545.922500000300,2469026.580250000100,2428401.868499999900,2502868.915749999200,9895843.286999998600
FS( 11 ),2508986.185000000100,2469026.580250000100,2421383.064749999900,2511958.515499999700,9911354.345499999800
FS( 12 ),2559611.173750000100,2469026.580250000100,2446182.838000000000,2517742.806249999400,9992563.398249998700
