代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12765331.417750001000
真實報酬,2765331.417750001000

夏普值報酬,0.267833141775
夏普值風險,0.073738208545
夏普值,3.632216554474

預期報酬,11438.927549633994
風險,148797.059166277900
起點值,0.076876032455
找到最佳解世代,4446
找到最佳解實驗#,2
找到最佳解次數,24

投資組合檔數,7
2325(18),2412(26),2474(28),2882(33),2891(38),2912(40),3008(41),
Stock#,2325(18),2412(26),2474(28),2882(33),2891(38),2912(40),3008(41),
張數,57,19,12,50,126,9,1,
分配資金,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,
剩餘資金,14669.056750000233,54055.101999999999,32304.150999999998,22069.587500000001,1480.289499999767,139106.127250000220,668339.211250000050,
FS( 1 ),1426559.056750000000,1426615.102000000000,1426584.151000000100,1426569.587499999900,1426540.289500000000,1426736.127249999900,1427489.211249999900,9987096.525249999000
FS( 2 ),1437903.253750000400,1410137.765249999900,1415277.295000000200,1410896.712499999900,1400163.606999999800,1424891.239750000200,1415806.965499999900,9915079.838750001000
FS( 3 ),1428823.609750000100,1410137.765249999900,1405002.961000000400,1462168.825000000000,1407690.153999999900,1417095.887500000200,1422278.203000000200,9953200.405500000300
FS( 4 ),1481031.562750000000,1411651.039249999900,1348374.655000000000,1455199.799999999800,1411453.427499999800,1413243.012250000100,1382504.981750000000,9903461.478500001100
FS( 5 ),1450387.764250000500,1414677.587249999900,1358648.989000000100,1526881.200000000000,1455358.284999999700,1409300.535250000200,1375107.859500000000,9990365.220250001200
FS( 6 ),1498623.373000000400,1419028.249999999800,1348374.655000000000,1559735.174999999800,1464139.256499999700,1432686.592000000200,1375107.859500000000,10097698.161000000000
FS( 7 ),1489543.729000000100,1414677.587249999900,1332963.154000000100,1563219.687500000000,1464139.256499999700,1432686.592000000200,1373256.090000000100,10070489.096249999000
