代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11941038.552500000000
真實報酬,1941038.552500000200

夏普值報酬,0.185403855250
夏普值風險,0.050201837641
夏普值,3.693168695888

預期報酬,7979.180693627194
風險,116687.139137442910
起點值,0.068380977995
找到最佳解世代,4232
找到最佳解實驗#,3
找到最佳解次數,13

投資組合檔數,8
2002(7),2354(20),2412(24),2881(30),2884(33),2912(40),3008(41),3045(42),
Stock#,2002(7),2354(20),2412(24),2881(30),2884(33),2912(40),3008(41),3045(42),
張數,56,22,16,35,104,7,0,17,
分配資金,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,
剩餘資金,8954.026000000000,10736.562500000000,36112.671999999999,22202.878750000000,7511.974000000000,95527.217250000002,1250000.000000000000,17956.836749999999,
FS( 1 ),1248234.026000000100,1248236.562500000000,1248272.672000000000,1248252.878749999900,1248231.973999999900,1248357.217250000000,1250000.000000000000,1248246.836750000000,9987832.167249999900
FS( 2 ),1232714.815999999900,1244512.837000000100,1237652.228000000100,1232722.521250000000,1232387.808000000000,1249458.376750000300,1250000.000000000000,1237386.875500000100,9916835.462500002200
FS( 3 ),1230484.728000000100,1249988.499499999900,1245457.536000000100,1236903.936249999800,1239635.594000000000,1261863.241250000000,1250000.000000000000,1241448.821500000100,9955782.356499999800
FS( 4 ),1239962.602000000200,1302773.885999999900,1250714.172000000000,1244221.412499999900,1229281.613999999800,1323887.563750000000,1250000.000000000000,1245510.767500000100,10086352.017750001000
FS( 5 ),1249440.476000000000,1311753.972500000100,1251988.507999999900,1252932.693749999900,1232387.808000000000,1305280.267000000000,1250000.000000000000,1251095.943250000000,10104879.668500001000
FS( 6 ),1235502.426000000000,1317229.635000000000,1251988.507999999900,1229934.911249999900,1216856.838000000000,1299077.834749999700,1250000.000000000000,1255157.889249999800,10055748.042249996000
FS( 7 ),1249440.476000000000,1288099.110500000000,1259953.108000000000,1229934.911249999900,1209609.051999999900,1317685.131500000100,1250000.000000000000,1263451.028999999900,10068172.818250000000
FS( 8 ),1239962.602000000200,1301021.673999999900,1259953.108000000000,1229934.911249999900,1219963.032000000100,1320821.192749999900,1250000.000000000000,1260573.817250000100,10082230.337250000000
FS( 9 ),1244980.300000000000,1324676.535999999800,1262501.780000000000,1229934.911249999900,1226175.419999999900,1330089.996000000000,1250000.000000000000,1263451.028999999900,10131809.972250000000
FS( 10 ),1228254.640000000100,1324676.535999999800,1249439.836000000100,1225405.044999999900,1206502.858000000000,1339428.489499999900,1250000.000000000000,1260573.817250000100,10084281.221750000000
FS( 11 ),1223236.942000000000,1319200.873500000000,1253422.136000000200,1235510.131249999900,1194078.082000000200,1342494.860500000000,1250000.000000000000,1270220.939000000000,10088163.964250000000
FS( 12 ),1242750.212000000100,1317229.635000000000,1259953.108000000000,1238646.192499999900,1200290.470000000000,1342494.860500000000,1250000.000000000000,1293407.880750000000,10144772.358750001000
FS( 13 ),1230484.728000000100,1306278.310000000100,1263935.407999999800,1225405.044999999900,1203396.663999999900,1370440.650750000000,1250000.000000000000,1304408.984500000000,10154349.790250001000
FS( 14 ),1239962.602000000200,1286346.898499999900,1258678.772000000100,1200665.006249999900,1194078.082000000200,1382845.515249999900,1250000.000000000000,1293407.880750000000,10105984.756750001000
FS( 15 ),1221006.853999999800,1297298.223499999800,1259953.108000000000,1202058.811249999800,1197184.276000000100,1367304.589500000000,1250000.000000000000,1272928.903000000400,10067734.765250001000
FS( 16 ),1235502.426000000000,1301021.673999999900,1258678.772000000100,1202058.811249999800,1194078.082000000200,1395250.379750000100,1250000.000000000000,1287991.952749999900,10124582.097749999000
