代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11886319.048250001000
真實報酬,1886319.048250000900

夏普值報酬,0.179931904825
夏普值風險,0.049404917892
夏普值,3.641983683083

預期報酬,7629.340419877309
風險,287226.520187967810
起點值,0.026562103022
找到最佳解世代,3754
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,2
1216(2),2412(24),
Stock#,1216(2),2412(24),
張數,113,58,
分配資金,5000000.000000000000,5000000.000000000000,
剩餘資金,8467.187249999999,13604.497500000933,
FS( 1 ),4992897.187250000400,4992904.497499999600,9985801.684750000000
FS( 2 ),4970841.084500000800,4985884.366000001300,9956725.450500002100
FS( 3 ),4961841.086500000200,4991081.267500001000,9952922.354000002100
FS( 4 ),4931466.093250000800,4955857.824000000000,9887323.917249999900
FS( 5 ),4941591.091000000000,4965674.193500000100,9907265.284499999100
FS( 6 ),4941591.091000000000,4976067.996500000400,9917659.087500000400
FS( 7 ),5148591.044999999000,4976067.996500000400,10124659.041499998000
FS( 8 ),5237466.025250000900,4955857.824000000000,10193323.849250000000
FS( 9 ),5365715.996749999900,4940844.553000000300,10306560.549750000000
FS( 10 ),5346591.001000000200,4940844.553000000300,10287435.554000001000
FS( 11 ),5434340.981500000700,4940844.553000000300,10375185.534500001000
FS( 12 ),5375840.994500001000,4970871.094999998800,10346712.089499999000
FS( 13 ),5394965.990250000700,4946041.454500000000,10341007.444750000000
FS( 14 ),5346591.001000000200,4901001.641499999900,10247592.642500000000
FS( 15 ),5346591.001000000200,4931028.183500000300,10277619.184500001000
FS( 16 ),5336466.003250000100,4920634.380500000900,10257100.383750001000
FS( 17 ),5316216.007750000800,4910818.011000000900,10227034.018750001000
FS( 18 ),5355590.999000000800,4910818.011000000900,10266409.010000002000
FS( 19 ),5415215.985750001900,4885988.370500000200,10301204.356250003000
FS( 20 ),5405090.987999999900,4870975.099500000500,10276066.087500000000
FS( 21 ),5326341.005500000000,4875594.567500000800,10201935.573000001000
FS( 22 ),5415215.985750001900,4865778.198000000800,10280994.183750004000
FS( 23 ),5346591.001000000200,4850764.927000000100,10197355.927999999000
FS( 24 ),5306091.010000000700,4810344.581999999500,10116435.592000000000
FS( 25 ),5257716.020750000100,4820738.385000000700,10078454.405750001000
FS( 26 ),5266716.018749999800,4905621.109500000300,10172337.128249999000
FS( 27 ),5119341.051500001000,4870975.099500000500,9990316.151000000500
FS( 28 ),5297091.012000001000,4870975.099500000500,10168066.111500002000
FS( 29 ),5218341.029500001100,4895804.740000000200,10114145.769500002000
FS( 30 ),5158716.042750001000,4870975.099500000500,10029691.142250001000
FS( 31 ),5198091.034000000900,4850764.927000000100,10048855.961000001000
FS( 32 ),5266716.018749999800,4820738.385000000700,10087454.403750001000
FS( 33 ),5187966.036249999900,4805725.114000001000,9993691.150250000900
FS( 34 ),5148591.044999999000,4815541.483500001000,9964132.528500000000
FS( 35 ),5177841.038500000700,4855961.828500000800,10033802.867000002000
FS( 36 ),5148591.044999999000,4870975.099500000500,10019566.144499999000
FS( 37 ),5198091.034000000900,4880791.469000001400,10078882.503000002000
FS( 38 ),5336466.003250000100,4895804.740000000200,10232270.743250001000
FS( 39 ),5316216.007750000800,4895804.740000000200,10212020.747750001000
FS( 40 ),5297091.012000001000,4895804.740000000200,10192895.752000000000
FS( 41 ),5405090.987999999900,4940844.553000000300,10345935.541000001000
FS( 42 ),5365715.996749999900,4920634.380500000900,10286350.377250001000
FS( 43 ),5434340.981500000700,4925831.281999999700,10360172.263500001000
FS( 44 ),5425340.983500001000,4935647.651500000600,10360988.635000002000
FS( 45 ),5346591.001000000200,4935647.651500000600,10282238.652500000000
FS( 46 ),5355590.999000000800,4955857.824000000000,10311448.823000001000
FS( 47 ),5336466.003250000100,4920634.380500000900,10257100.383750001000
FS( 48 ),5336466.003250000100,4905621.109500000300,10242087.112750001000
FS( 49 ),5316216.007750000800,4931028.183500000300,10247244.191250000000
FS( 50 ),5276841.016499999900,4931028.183500000300,10207869.199999999000
FS( 51 ),5355590.999000000800,4931028.183500000300,10286619.182500001000
FS( 52 ),5394965.990250000700,5013023.740500000300,10407989.730750002000
FS( 53 ),5415215.985750001900,5023417.543500000600,10438633.529250003000
FS( 54 ),5365715.996749999900,5018220.642000000000,10383936.638750000000
FS( 55 ),5632340.937500000000,5023417.543500000600,10655758.481000001000
FS( 56 ),5464715.974750000100,5033811.346500000000,10498527.321249999000
FS( 57 ),5405090.987999999900,5039008.248000000600,10444099.236000001000
FS( 58 ),5504090.966000000000,5044205.149500000300,10548296.115499999000
FS( 59 ),5385965.992250000100,5070767.090500000900,10456733.082750000000
FS( 60 ),5493965.968250000800,5044205.149500000300,10538171.117750000000
FS( 61 ),5444465.979249999900,5070767.090500000900,10515233.069750000000
FS( 62 ),5483840.970500000800,5097329.031500001400,10581170.002000002000
FS( 63 ),5493965.968250000800,5175859.987500001700,10669825.955750003000
FS( 64 ),5483840.970500000800,5165466.184500000400,10649307.155000001000
FS( 65 ),5543465.957250000900,5223786.968000001300,10767252.925250001000
FS( 66 ),5632340.937500000000,5244574.574000000000,10876915.511500001000
FS( 67 ),5594090.946000000500,5207618.830000001000,10801709.776000001000
FS( 68 ),5562590.952999999700,5175859.987500001700,10738450.940500002000
FS( 69 ),5847215.889750001000,5186831.224000000400,11034047.113750001000
FS( 70 ),5688590.924999999800,5212815.731500001600,10901406.656500001000
FS( 71 ),5835965.892250000500,5228983.869500000000,11064949.761750001000
FS( 72 ),5878715.882750000800,5197225.026999999800,11075940.909750000000
FS( 73 ),5994590.857000000800,5149875.480000000400,11144466.337000001000
FS( 74 ),6014840.852500000000,5144678.578500000800,11159519.431000002000
FS( 75 ),6236465.803250000800,5197225.026999999800,11433690.830250001000
FS( 76 ),6152090.822000000600,5197225.026999999800,11349315.848999999000
FS( 77 ),6172340.817499999900,5170663.086000001100,11343003.903500002000
FS( 78 ),5994590.857000000800,5149875.480000000400,11144466.337000001000
FS( 79 ),5815715.896749999400,5023417.543500000600,10839133.440250000000
FS( 80 ),5825840.894500001300,5033811.346500000000,10859652.241000000000
FS( 81 ),5941715.868750000400,5023417.543500000600,10965133.412250001000
FS( 82 ),5941715.868750000400,5075963.992000000600,11017679.860750001000
FS( 83 ),5930465.871250000800,5075963.992000000600,11006429.863250002000
FS( 84 ),6109340.831500000300,5218012.633000000400,11327353.464500001000
FS( 85 ),5857340.887500000200,5144678.578500000800,11002019.466000002000
FS( 86 ),5951840.866500000500,5123313.539000000800,11075154.405500002000
FS( 87 ),6057590.843000000300,5139481.677000000100,11197072.520000000000
FS( 88 ),5910215.875750000600,5149875.480000000400,11060091.355750002000
FS( 89 ),5741465.913250001100,5149875.480000000400,10891341.393250002000
FS( 90 ),5741465.913250001100,5097329.031500001400,10838794.944750004000
FS( 91 ),5930465.871250000800,5149875.480000000400,11080341.351250000000
FS( 92 ),6026090.849999999600,5149875.480000000400,11175966.330000000000
FS( 93 ),6057590.843000000300,5175859.987500001700,11233450.830500003000
FS( 94 ),5961965.864250000600,5175859.987500001700,11137825.851750001000
FS( 95 ),5941715.868750000400,5197225.026999999800,11138940.895750001000
FS( 96 ),5951840.866500000500,5197225.026999999800,11149065.893500000000
FS( 97 ),6067715.840750000400,5202421.928500001300,11270137.769250002000
FS( 98 ),5983340.859500000300,5202421.928500001300,11185762.788000003000
FS( 99 ),5910215.875750000600,5149875.480000000400,11060091.355750002000
FS( 100 ),6014840.852500000000,5192028.125500001000,11206868.978000000000
FS( 101 ),5794340.901500000600,5160269.283000000800,10954610.184500001000
FS( 102 ),5794340.901500000600,5181634.322500000700,10975975.224000001000
FS( 103 ),5825840.894500001300,5175859.987500001700,11001700.882000003000
FS( 104 ),6004715.854749999900,5218012.633000000400,11222728.487750001000
FS( 105 ),6057590.843000000300,5212815.731500001600,11270406.574500002000
FS( 106 ),6057590.843000000300,5228983.869500000000,11286574.712500000000
FS( 107 ),6109340.831500000300,5207618.830000001000,11316959.661500001000
FS( 108 ),6152090.822000000600,5207618.830000001000,11359709.652000003000
FS( 109 ),6172340.817499999900,5202421.928500001300,11374762.746000001000
FS( 110 ),6099215.833750000200,5202421.928500001300,11301637.762250002000
FS( 111 ),6077840.838500000500,5228983.869500000000,11306824.708000001000
FS( 112 ),6057590.843000000300,5223786.968000001300,11281377.811000001000
FS( 113 ),5973215.861750000200,5223786.968000001300,11197002.829750001000
FS( 114 ),5994590.857000000800,5244574.574000000000,11239165.431000002000
