代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11891368.755999999000
真實報酬,1891368.755999999100

夏普值報酬,0.180436875600
夏普值風險,0.051852065659
夏普值,3.479839680596

預期報酬,8149.089806227402
風險,105656.891757235750
起點值,0.077127858587
找到最佳解世代,5341
找到最佳解實驗#,2
找到最佳解次數,13

投資組合檔數,6
1326(5),2408(23),2892(39),3008(41),3045(42),4904(44),
Stock#,1326(5),2408(23),2892(39),3008(41),3045(42),4904(44),
張數,25,46,130,0,18,26,
分配資金,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,
剩餘資金,43856.787500000231,22125.864999999998,2898.505000000233,1666666.000000000000,38409.035499999998,14094.436500000000,
FS( 1 ),1664356.787500000100,1664325.865000000000,1664298.504999999900,1666666.000000000000,1664349.035500000000,1664314.436500000100,9988314.629499999800
FS( 2 ),1657186.075000000200,1634618.869500000000,1641415.840000000300,1666666.000000000000,1652136.552999999800,1652352.922000000000,9904380.259500000600
FS( 3 ),1625825.462500000400,1599355.602999999900,1614236.642500000100,1666666.000000000000,1652136.552999999800,1645105.135999999900,9803329.396999999900
FS( 4 ),1643745.812500000200,1595233.922500000100,1641415.840000000300,1666666.000000000000,1644072.395500000100,1668660.440500000000,9859798.411000002200
FS( 5 ),1650465.943750000300,1625917.544000000000,1663418.047500000100,1666666.000000000000,1658767.082500000000,1654682.567500000100,9919921.185250001000
FS( 6 ),1648225.900000000100,1640572.408000000100,1641415.840000000300,1666666.000000000000,1682959.554999999900,1638116.199500000100,9917959.902499999900
FS( 7 ),1677595.362500000300,1640572.408000000100,1651769.820000000100,1666666.000000000000,1691023.712500000100,1650023.276499999900,9977654.579500000900
FS( 8 ),1672866.381250000300,1671713.993999999900,1668595.037500000100,1666666.000000000000,1674895.397499999700,1635786.553999999800,9990527.364250000600
FS( 9 ),1663906.206250000300,1698733.899500000100,1668595.037500000100,1666666.000000000000,1674895.397499999700,1638116.199500000100,10010916.740249999000
FS( 10 ),1668386.293750000400,1688200.716000000000,1668595.037500000100,1666666.000000000000,1691023.712500000100,1617149.390000000100,10000025.149750002000
FS( 11 ),1682075.450000000200,1688200.716000000000,1663418.047500000100,1666666.000000000000,1658767.082500000000,1614560.895000000000,9973692.190999999600
FS( 12 ),1682075.450000000200,1694612.219000000000,1663418.047500000100,1666666.000000000000,1691023.712500000100,1635786.553999999800,10033585.982999999000
FS( 13 ),1722396.237500000300,1727585.663000000200,1678949.017500000100,1666666.000000000000,1699267.073500000200,1647693.631000000100,10142561.622500002000
FS( 14 ),1724636.281250000200,1712930.799000000300,1695774.235000000100,1666666.000000000000,1715395.388499999900,1654682.567500000100,10170089.271250002000
FS( 15 ),1740316.587500000400,1694612.219000000000,1706128.215000000300,1666666.000000000000,1715395.388499999900,1647693.631000000100,10170816.041000001000
FS( 16 ),1760476.981250000400,1690490.538499999800,1721659.184999999800,1666666.000000000000,1723459.545999999900,1668660.440500000000,10231416.691250000000
FS( 17 ),1773917.243750000600,1737660.882000000000,1721659.184999999800,1666666.000000000000,1691023.712500000100,1661671.504000000000,10252602.527250001000
FS( 18 ),1805277.856250000400,1789410.870500000000,1728130.422500000100,1666666.000000000000,1715395.388499999900,1666330.795000000200,10371215.332750000000
FS( 19 ),1830167.231250000400,1735829.024000000200,1721659.184999999800,1666666.000000000000,1707331.230999999900,1635786.553999999800,10297443.225250000000
FS( 20 ),1798557.725000000300,1712930.799000000300,1721659.184999999800,1666666.000000000000,1691023.712500000100,1666330.795000000200,10257172.216500001000
FS( 21 ),1776157.287500000100,1700565.757499999800,1728130.422500000100,1666666.000000000000,1699267.073500000200,1657012.213000000200,10227802.754000001000
FS( 22 ),1794077.637500000200,1717052.479499999900,1721659.184999999800,1666666.000000000000,1707331.230999999900,1666330.795000000200,10273121.328000000000
FS( 23 ),1776157.287500000100,1760559.107000000100,1728130.422500000100,1666666.000000000000,1707331.230999999900,1668660.440500000000,10307508.488500001000
FS( 24 ),1769437.156250000200,1712930.799000000300,1721659.184999999800,1666666.000000000000,1707331.230999999900,1673319.731500000000,10251348.102750000000
FS( 25 ),1778397.331250000300,1739950.704499999800,1728130.422500000100,1666666.000000000000,1699267.073500000200,1687556.454000000100,10299971.985750001000
FS( 26 ),1794077.637500000200,1708809.118499999600,1738484.402500000300,1666666.000000000000,1731523.703500000100,1708782.113000000100,10348346.975000001000
FS( 27 ),1834647.318750000300,1700565.757499999800,1743661.392500000100,1666666.000000000000,1707331.230999999900,1703863.972499999900,10356739.672250001000
FS( 28 ),1811997.987500000500,1679957.355000000000,1738484.402500000300,1666666.000000000000,1723459.545999999900,1692215.745000000100,10312785.036000002000
FS( 29 ),1814238.031250000200,1671713.993999999900,1738484.402500000300,1666666.000000000000,1739767.064500000100,1680567.517499999800,10311441.009750001000
FS( 30 ),1814238.031250000200,1673545.852000000200,1738484.402500000300,1666666.000000000000,1739767.064500000100,1708782.113000000100,10341487.463250000000
FS( 31 ),1832407.275000000400,1675835.674500000000,1733307.412500000100,1666666.000000000000,1739767.064500000100,1718100.695000000100,10366088.121500000000
FS( 32 ),1807517.900000000400,1679957.355000000000,1728130.422500000100,1666666.000000000000,1731523.703500000100,1711111.758500000200,10324911.139500001000
FS( 33 ),1814238.031250000200,1669424.171499999900,1728130.422500000100,1666666.000000000000,1731523.703500000100,1706452.467500000000,10316438.796250001000
FS( 34 ),1805277.856250000400,1673545.852000000200,1716482.195000000100,1666666.000000000000,1715395.388499999900,1696875.036000000300,10274246.327750001000
FS( 35 ),1841367.450000000400,1677667.532499999700,1728130.422500000100,1666666.000000000000,1731523.703500000100,1696875.036000000300,10342234.144500000000
FS( 36 ),1843607.493750000400,1675835.674500000000,1721659.184999999800,1666666.000000000000,1731523.703500000100,1708782.113000000100,10348078.169749999000
FS( 37 ),1863767.887500000400,1673545.852000000200,1721659.184999999800,1666666.000000000000,1731523.703500000100,1687556.454000000100,10344723.082000000000
FS( 38 ),1809757.943750000300,1646983.911000000100,1700951.225000000100,1666666.000000000000,1699267.073500000200,1670990.086000000400,10194620.239250002000
FS( 39 ),1807517.900000000400,1630039.224500000000,1684126.007500000100,1666666.000000000000,1723459.545999999900,1675908.226499999900,10187720.904500000000
FS( 40 ),1841367.450000000400,1619964.005500000000,1689302.997499999800,1666666.000000000000,1723459.545999999900,1675908.226499999900,10216672.225499999000
FS( 41 ),1850327.625000000200,1619964.005500000000,1695774.235000000100,1666666.000000000000,1755895.379500000000,1703863.972499999900,10292495.217500001000
FS( 42 ),1861527.843750000200,1591112.241999999900,1700951.225000000100,1666666.000000000000,1747831.221999999800,1694545.390500000000,10262637.923249999000
FS( 43 ),1890648.412500000300,1580579.058500000000,1728130.422500000100,1666666.000000000000,1747831.221999999800,1713441.404000000100,10327300.519499999000
FS( 44 ),1944409.462500000400,1619964.005500000000,1711305.205000000100,1666666.000000000000,1739767.064500000100,1694545.390500000000,10376661.128000000000
FS( 45 ),1946649.506250000300,1632329.047000000000,1721659.184999999800,1666666.000000000000,1763959.537000000000,1701534.327000000000,10432801.602250000000
FS( 46 ),1948889.550000000500,1640572.408000000100,1721659.184999999800,1666666.000000000000,1763959.537000000000,1720430.340500000200,10462181.020500001000
FS( 47 ),1973778.925000000500,1657059.129999999900,1706128.215000000300,1666666.000000000000,1763959.537000000000,1722759.986000000300,10490355.793000001000
FS( 48 ),1939929.375000000500,1613552.502499999900,1695774.235000000100,1666666.000000000000,1755895.379500000000,1706452.467500000000,10378273.959500000000
FS( 49 ),1939929.375000000500,1591112.241999999900,1711305.205000000100,1666666.000000000000,1755895.379500000000,1720430.340500000200,10385342.542000001000
FS( 50 ),1930969.200000000200,1561802.514000000000,1700951.225000000100,1666666.000000000000,1755895.379500000000,1718100.695000000100,10334389.013500001000
FS( 51 ),1928729.156250000200,1599355.602999999900,1711305.205000000100,1666666.000000000000,1755895.379500000000,1739326.354000000100,10401281.697750000000
FS( 52 ),1922009.025000000100,1580579.058500000000,1716482.195000000100,1666666.000000000000,1763959.537000000000,1732078.568000000200,10381778.383500000000
FS( 53 ),1933209.243750000400,1578289.236000000000,1716482.195000000100,1666666.000000000000,1763959.537000000000,1746315.290500000100,10404925.502250001000
FS( 54 ),1930969.200000000200,1615842.325000000200,1695774.235000000100,1666666.000000000000,1755895.379500000000,1729748.922499999900,10394900.062000001000
FS( 55 ),1892888.456250000500,1582868.880999999800,1711305.205000000100,1666666.000000000000,1763959.537000000000,1725089.631500000100,10342781.710750001000
FS( 56 ),1857047.756250000100,1570045.875000000000,1760486.610000000100,1666666.000000000000,1780267.055500000200,1753304.227000000000,10387821.523750000000
FS( 57 ),1827927.187500000500,1564092.336500000200,1755309.619999999900,1666666.000000000000,1780267.055500000200,1772200.240500000100,10366466.439999999000
FS( 58 ),1823447.100000000300,1574167.555500000000,1743661.392500000100,1666666.000000000000,1763959.537000000000,1753304.227000000000,10325209.812000001000
FS( 59 ),1848087.581250000000,1591112.241999999900,1733307.412500000100,1666666.000000000000,1772202.898000000000,1736996.708500000200,10348376.842249999000
FS( 60 ),1845847.537500000600,1599355.602999999900,1721659.184999999800,1666666.000000000000,1788331.213000000000,1750974.581500000100,10372838.119999999000
FS( 61 ),1845847.537500000600,1595233.922500000100,1728130.422500000100,1666666.000000000000,1828831.203999999900,1767540.949499999900,10432254.036000000000
FS( 62 ),1913048.850000000100,1576457.377999999800,1716482.195000000100,1666666.000000000000,1836895.361500000100,1774529.886000000200,10484083.670500001000
FS( 63 ),1908568.762500000400,1595233.922500000100,1721659.184999999800,1666666.000000000000,1836895.361500000100,1776859.531500000000,10505886.763000000000
FS( 64 ),1879448.193750000300,1673545.852000000200,1721659.184999999800,1666666.000000000000,1828831.203999999900,1781518.822500000000,10551673.257250000000
FS( 65 ),1859287.800000000300,1677667.532499999700,1728130.422500000100,1666666.000000000000,1828831.203999999900,1779189.176999999900,10539776.135999998000
FS( 66 ),1897368.543750000400,1652937.449500000100,1733307.412500000100,1666666.000000000000,1844959.519000000100,1776859.531500000000,10572102.456250001000
FS( 67 ),1928729.156250000200,1624085.686000000000,1748838.382500000100,1666666.000000000000,1853202.879999999900,1798085.190500000000,10619611.295250000000
FS( 68 ),1834647.318750000300,1607598.963999999900,1733307.412500000100,1666666.000000000000,1828831.203999999900,1783848.468000000100,10454903.367250001000
FS( 69 ),1857047.756250000100,1640572.408000000100,1733307.412500000100,1666666.000000000000,1836895.361500000100,1774529.886000000200,10509022.824250001000
FS( 70 ),1852567.668750000400,1665302.491000000200,1738484.402500000300,1666666.000000000000,1828831.203999999900,1798085.190500000000,10549940.956750002000
FS( 71 ),1872728.062500000200,1655227.271999999900,1743661.392500000100,1666666.000000000000,1836895.361500000100,1788507.759000000100,10563689.847500000000
FS( 72 ),1868247.975000000300,1628207.366500000000,1748838.382500000100,1666666.000000000000,1844959.519000000100,1772200.240500000100,10529123.483500000000
FS( 73 ),1848087.581250000000,1632329.047000000000,1748838.382500000100,1666666.000000000000,1820767.046499999900,1755633.872500000100,10472325.929750001000
FS( 74 ),1872728.062500000200,1669424.171499999900,1765663.600000000100,1666666.000000000000,1836895.361500000100,1769870.595000000000,10581251.790500002000
FS( 75 ),1874968.106250000200,1704687.438000000100,1781194.570000000100,1666666.000000000000,1844959.519000000100,1776859.531500000000,10649339.164750000000
FS( 76 ),1888408.368750000400,1665302.491000000200,1787665.807499999900,1666666.000000000000,1844959.519000000100,1779189.176999999900,10632195.363250000000
FS( 77 ),1881688.237500000300,1659348.952499999900,1803196.777500000300,1666666.000000000000,1828831.203999999900,1786178.113500000000,10625913.285000000000
FS( 78 ),1890648.412500000300,1673545.852000000200,1798019.787500000100,1666666.000000000000,1828831.203999999900,1769870.595000000000,10627585.851000002000
FS( 79 ),1883928.281250000500,1638740.550000000000,1803196.777500000300,1666666.000000000000,1853202.879999999900,1781518.822500000000,10627257.311249999000
FS( 80 ),1883928.281250000500,1642862.230499999800,1798019.787500000100,1666666.000000000000,1844959.519000000100,1781518.822500000000,10617958.640750000000
FS( 81 ),1886168.325000000400,1628207.366500000000,1798019.787500000100,1666666.000000000000,1853202.879999999900,1800414.836000000400,10632683.195000002000
FS( 82 ),1939929.375000000500,1659348.952499999900,1825198.985000000100,1666666.000000000000,1869331.195000000100,1819052.000000000200,10779530.507500000000
FS( 83 ),1919768.981250000400,1655227.271999999900,1840729.955000000100,1666666.000000000000,1885459.509999999800,1826299.786000000300,10794155.504249999000
FS( 84 ),1861527.843750000200,1508220.667500000000,1808373.767500000100,1666666.000000000000,1877395.352500000000,1774529.886000000200,10496717.517250001000
FS( 85 ),1861527.843750000200,1508220.667500000000,1820021.994999999900,1666666.000000000000,1893702.870999999800,1800414.836000000400,10550558.213250002000
FS( 86 ),1892888.456250000500,1522417.566999999800,1820021.994999999900,1666666.000000000000,1909831.186000000200,1783848.468000000100,10595677.672250001000
FS( 87 ),1848087.581250000000,1512342.348000000000,1803196.777500000300,1666666.000000000000,1877395.352500000000,1760293.163500000000,10467985.222750001000
FS( 88 ),1843607.493750000400,1553559.152999999700,1820021.994999999900,1666666.000000000000,1893702.870999999800,1769870.595000000000,10547432.107750000000
FS( 89 ),1863767.887500000400,1584700.738999999800,1820021.994999999900,1666666.000000000000,1901767.028500000000,1783848.468000000100,10620776.118000001000
FS( 90 ),1863767.887500000400,1617674.183000000000,1840729.955000000100,1666666.000000000000,1885459.509999999800,1783848.468000000100,10658150.003500002000
FS( 91 ),1881688.237500000300,1603477.283500000100,1840729.955000000100,1666666.000000000000,1885459.509999999800,1800414.836000000400,10678439.822000002000
FS( 92 ),1879448.193750000300,1597065.780499999900,1835552.965000000300,1666666.000000000000,1885459.509999999800,1788507.759000000100,10652704.208249999000
