代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,13353851.322749998000
真實報酬,3353851.322749998400

夏普值報酬,0.326685132275
夏普值風險,0.075144796512
夏普值,4.347408569062

預期報酬,12521.176600303364
風險,142903.070057433330
起點值,0.087620067191
找到最佳解世代,4104
找到最佳解實驗#,4
找到最佳解次數,5

投資組合檔數,12
1301(3),1303(4),1326(5),2227(11),2317(16),2357(20),2408(23),2474(27),2801(28),2882(31),2885(34),2892(39),
Stock#,1301(3),1303(4),1326(5),2227(11),2317(16),2357(20),2408(23),2474(27),2801(28),2882(31),2885(34),2892(39),
張數,11,15,11,4,12,3,23,3,57,24,85,58,
分配資金,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,
剩餘資金,45051.296999999882,12715.283750000001,16961.325750000000,140226.728999999990,4032.928999999884,115822.001750000000,26725.219499999999,165542.753000000000,13646.609000000000,24582.170000000115,5104.453749999883,13205.982000000116,
FS( 1 ),832211.297000000020,832165.283749999940,832171.325749999960,832346.729000000050,832152.929000000000,832312.001750000050,832185.219500000010,832382.753000000030,832166.609000000050,832182.170000000040,832154.453749999990,832165.981999999960,9986600.753500001500
FS( 2 ),828728.114000000060,833915.322499999890,828564.021499999920,834461.087999999990,834461.947999999970,833143.744999999880,832971.721750000030,829431.986000000030,828544.658000000050,830997.920000000160,832725.951249999810,828542.083999999920,9976492.559999998700
FS( 3 ),828728.114000000060,833915.322499999890,827578.402249999810,832748.699000000020,831475.223000000000,833143.744999999880,832971.721750000030,808614.512750000110,828544.658000000050,827413.850000000330,871652.933749999970,830851.818000000090,9987643.000000000000
FS( 4 ),815805.550499999900,815248.291249999890,819364.908499999790,825819.496999999970,816541.598000000000,821196.844999999970,819461.768999999970,779434.209500000000,813790.236500000000,806865.182000000150,856420.636249999860,823922.616000000040,9813875.339499998800
FS( 5 ),821719.265999999950,825851.164999999920,819364.908499999790,824107.108000000010,822515.048000000070,825169.189250000050,819461.768999999970,775282.661750000090,808682.936749999990,806865.182000000150,856420.636249999860,821035.448500000060,9826479.319000000100
FS( 6 ),834641.829499999760,828539.217499999910,833711.144249999900,829284.098000000000,826457.524999999910,835801.930249999980,831826.810500000020,776656.555250000090,821167.447250000080,808059.872000000210,868267.978749999780,833161.551999999910,9927579.960249999500
FS( 7 ),846578.773749999820,844518.196249999920,864703.393999999970,832748.699000000020,834461.947999999970,846434.671250000130,835032.562000000030,794726.241500000120,823437.358250000050,813794.384000000080,868267.978749999780,833161.551999999910,10037869.758749999000
FS( 8 ),856982.532499999860,847206.248749999910,864703.393999999970,831036.310000000060,836492.920999999970,859695.730250000020,850374.372749999980,803059.204249999840,825707.269250000130,829803.230000000210,868267.978749999780,840668.187500000000,10114001.378999999000
FS( 9 ),855996.913249999870,853926.379999999890,864703.393999999970,841390.290000000040,836492.920999999970,865012.100749999980,854496.053249999880,803059.204249999840,830814.569000000130,842466.944000000130,871652.933749999970,840668.187500000000,10160683.890749998000
FS( 10 ),861144.035999999730,867217.306249999910,866784.145749999790,857000.905999999960,846408.848000000000,869014.312249999960,859762.645000000020,832209.640250000050,838191.779749999990,861820.922000000140,905502.483750000010,847597.389499999930,10312658.414500000000
FS( 11 ),869467.042999999950,876625.489999999990,871931.268499999890,872571.699000000020,861342.473000000000,872986.656500000040,852435.213000000110,843320.257250000020,842731.601750000030,872095.256000000170,918196.064999999940,855104.025000000020,10408811.048000000000
FS( 12 ),875709.298249999760,892007.123749999910,876092.772000000000,870819.486999999960,863373.446000000000,871672.497500000060,857701.804750000010,839168.709500000000,842731.601750000030,880219.148000000160,921581.019999999900,857413.758999999960,10448494.667500000000
FS( 13 ),876804.430749999940,886481.682500000000,877078.391249999990,867394.709000000030,861342.473000000000,867670.285999999850,852435.213000000110,829431.986000000030,842731.601750000030,869944.814000000250,913964.871249999970,857413.758999999960,10402698.217500001000
FS( 14 ),875709.298249999760,889319.071249999920,880144.762249999910,870819.486999999960,875320.346000000020,851751.041750000090,890446.266499999910,832209.640250000050,842731.601750000030,873289.946000000230,921581.019999999900,857413.758999999960,10460740.239999998000
FS( 15 ),877790.049999999930,886481.682500000000,879159.143000000160,869107.098000000000,877351.318999999780,858381.571250000040,884721.710250000000,828058.092500000030,840461.690750000070,866360.744000000060,909733.677499999870,855104.025000000020,10432714.803750003000
FS( 16 ),877790.049999999930,886481.682500000000,881239.894749999980,860465.506999999980,877351.318999999780,861039.756500000130,885866.621500000010,818321.369000000060,840461.690750000070,859670.480000000210,905502.483750000010,857413.758999999960,10411608.613750001000
FS( 17 ),876804.430749999940,884988.319999999950,881239.894749999980,863930.108000000010,879262.822999999970,858381.571250000040,908077.899750000100,805836.858499999970,842731.601750000030,858475.790000000040,934274.601249999950,857413.758999999960,10451421.658000000000
FS( 18 ),867386.291249999890,879462.878749999920,883320.646499999920,867394.709000000030,891329.191999999920,862353.915499999890,894796.929249999930,809988.406250000120,842731.601750000030,853935.968000000110,930043.407499999860,857413.758999999960,10440161.704750000000
