代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11481813.780499998000
真實報酬,1481813.780499998500

夏普值報酬,0.139481378050
夏普值風險,0.053132414856
夏普值,2.625165417886

預期報酬,7692.237211150302
風險,194346.014239742010
起點值,0.039580113033
找到最佳解世代,4810
找到最佳解實驗#,1
找到最佳解次數,39

投資組合檔數,6
1303(4),2002(8),2357(21),2412(24),3045(40),4904(44),
Stock#,1303(4),2002(8),2357(21),2412(24),3045(40),4904(44),
張數,32,72,13,27,34,53,
分配資金,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,
剩餘資金,23047.175999999999,1816.966000000000,111733.374000000000,57606.352749999998,4420.671000000000,15486.417250000000,
FS( 1 ),1664327.176000000000,1664296.966000000000,1664453.374000000100,1664376.352750000100,1664300.671000000100,1664316.417249999900,9986074.957000000400
FS( 2 ),1633170.711999999800,1661958.189999999900,1688644.528000000200,1650546.264250000000,1654586.233500000100,1654909.725499999900,9943819.653249999500
FS( 3 ),1607046.823999999800,1656940.492000000100,1640239.671500000200,1652696.706250000000,1651878.269499999900,1643828.975750000000,9852634.938999999300
FS( 4 ),1607046.823999999800,1666975.888000000000,1640239.671500000200,1655115.953500000100,1654586.233500000100,1662296.892000000000,9886265.462500000400
FS( 5 ),1602268.064000000000,1666975.888000000000,1636874.628000000000,1666405.774000000000,1662371.630000000100,1664407.510999999900,9899307.495000001000
FS( 6 ),1592710.544000000000,1651205.980000000200,1633380.159749999900,1698662.404000000100,1680311.891500000100,1638024.773499999900,9894299.752750000000
FS( 7 ),1557029.136000000200,1628267.932000000000,1619531.711500000000,1680383.647000000100,1672526.495000000100,1651216.142250000000,9808959.063750000700
FS( 8 ),1509241.536000000100,1610347.581999999900,1588469.771500000300,1668825.021250000000,1672526.495000000100,1645411.939999999900,9694826.345750000300
FS( 9 ),1547471.615999999900,1615365.280000000000,1584975.303249999900,1664255.332000000200,1688097.288000000200,1649105.523250000100,9749274.342500001200
FS( 10 ),1614055.672000000000,1615365.280000000000,1609177.731500000200,1668825.021250000000,1706037.549500000000,1668101.094250000100,9881566.348500000300
FS( 11 ),1630940.623999999800,1613214.838000000000,1612672.199749999900,1680383.647000000100,1721269.847000000100,1671794.677500000000,9930279.833249999200
FS( 12 ),1611825.584000000000,1597444.930000000200,1598823.751500000000,1689523.025500000000,1711114.982000000100,1643828.975750000000,9852565.248750001200
FS( 13 ),1597489.304000000000,1592427.232000000100,1605683.263250000300,1684953.336250000200,1708407.018000000400,1660713.927749999800,9849678.081250000700
FS( 14 ),1633170.711999999800,1595294.488000000100,1591834.814999999900,1684953.336250000200,1700960.117000000100,1684986.046249999900,9891203.514500001400
FS( 15 ),1630940.623999999800,1589559.976000000000,1605683.263250000300,1684953.336250000200,1708407.018000000400,1664407.510999999900,9883955.728500001100
FS( 16 ),1650055.664000000100,1589559.976000000000,1705987.444500000200,1684953.336250000200,1711114.982000000100,1675488.260750000100,10017163.663500000000
FS( 17 ),1671400.791999999900,1600312.186000000200,1813151.137500000200,1703232.093249999900,1723977.810999999800,1675488.260750000100,10187566.280499998000
FS( 18 ),1692745.919999999900,1608197.139999999900,1764746.281000000000,1696243.156750000100,1736840.639999999900,1673905.296499999900,10172682.434249999000
FS( 19 ),1692745.919999999900,1592427.232000000100,1771735.217500000000,1687103.778250000200,1749703.469000000000,1675488.260750000100,10169207.877499999000
FS( 20 ),1680958.311999999900,1600312.186000000200,1795937.645749999900,1696243.156750000100,1770351.694500000000,1668101.094250000100,10211908.089249998000
FS( 21 ),1650055.664000000100,1597444.930000000200,1830494.054000000000,1694092.714750000000,1757488.865500000100,1662296.892000000000,10191877.120250002000
FS( 22 ),1692745.919999999900,1610347.581999999900,1847836.970499999800,1703232.093249999900,1767643.730500000300,1673905.296499999900,10295715.592750000000
FS( 23 ),1697524.679999999900,1610347.581999999900,1840848.034000000200,1700812.846000000100,1767643.730500000300,1662296.892000000000,10279477.764500000000
FS( 24 ),1692745.919999999900,1623250.234000000200,1816645.605749999900,1716941.160999999800,1762566.298000000200,1671794.677500000000,10283947.896250000000
FS( 25 ),1702303.440000000200,1623250.234000000200,1830494.054000000000,1721510.850250000100,1754780.901500000200,1668101.094250000100,10300444.574000001000
FS( 26 ),1754869.799999999800,1636152.886000000200,1813151.137500000200,1741940.049250000200,1762566.298000000200,1671794.677500000000,10380478.848250000000
