代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,14107929.025500001000
真實報酬,4107929.025500001400

夏普值報酬,0.402092902550
夏普值風險,0.107881660338
夏普值,3.727166427465

預期報酬,14715.863358091252
風險,380303.244876256850
起點值,0.038695077037
找到最佳解世代,7450
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,3
1326(5),2912(39),8046(47),
Stock#,1326(5),2912(39),8046(47),
張數,70,55,33,
分配資金,3333333.000000000000,3333333.000000000000,3333333.000000000000,
剩餘資金,14810.834999999999,12657.771250000000,68617.400250000006,
FS( 1 ),3328610.835000000000,3328607.771250000200,3328687.400249999900,9985907.006500000100
FS( 2 ),3347398.589999999900,3327076.282500000200,3512371.059749999500,10186846.932250001000
FS( 3 ),3572498.097500000100,3331456.812500000500,3604690.729499999900,10508646.639500000000
FS( 4 ),3543925.095000000200,3344050.836250000600,3538654.239750000200,10426631.171000000000
FS( 5 ),3462387.502499999900,3357192.426250000000,3657585.629249999800,10477166.558000000000
FS( 6 ),3510473.774999999900,3361572.956249999800,3789330.069000000100,10661377.800249999000
FS( 7 ),3462387.502499999900,3318315.222500000600,3881649.738750000000,10662353.463750001000
FS( 8 ),3400363.180000000200,3313934.692500000400,3789330.069000000100,10503628.941500001000
FS( 9 ),3395484.862499999800,3331456.812500000500,3855366.558750000300,10582309.233750001000
FS( 10 ),3414301.230000000000,3305173.632499999800,3736763.709000000300,10456239.571500000000
FS( 11 ),3380849.910000000100,3313934.692500000400,3736763.709000000300,10431549.311500002000
FS( 12 ),3366214.957500000000,3296412.572500000200,3657585.629249999800,10320214.159250000000
FS( 13 ),3366214.957500000000,3287651.512500000200,3591549.139500000000,10245416.609500000000
FS( 14 ),3380849.910000000100,3275057.488750000000,3736763.709000000300,10392672.107750000000
FS( 15 ),3371093.274999999900,3261915.898750000600,3565265.959500000300,10198276.133250000000
FS( 16 ),3347398.589999999900,3253154.838750000100,3499229.469749999700,10099783.898499999000
FS( 17 ),3299312.317500000800,3152950.215000000300,3340873.310249999600,9793136.842749999800
FS( 18 ),3342520.272500000000,3183613.924999999800,3565265.959500000300,10091401.157000000000
FS( 19 ),3313947.270000000000,3183613.924999999800,3551795.829750000000,10049358.024750000000
FS( 20 ),3332763.637499999700,3205516.575000000200,3644115.499499999900,10182396.712000001000
FS( 21 ),3270739.314999999900,3235632.718750000500,3420051.390000000100,9926424.423750000100
FS( 22 ),3247044.630000000800,3270676.958750000200,3354014.900249999900,9871737.489000000100
