代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12444605.779999999329448
真實報酬,2444605.779999999329448

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,20063.187837439283612
風險,180176.194106572569581
起點值,0.111353155931200
找到最佳解世代,2390
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,2
JPM[13](2),NKE[19](1),
Stock#,JPM[13](2),NKE[19](1),
張數,90138,108790,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,45.139999999664724,11.599999999627471,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5112672.500000000000000,5078328.799999999813735,10191001.300000000745058
FS( 3 ),5082025.580000000074506,5033724.900000000372529,10115750.480000000447035
FS( 4 ),5117179.400000000372529,5077240.899999999441206,10194420.300000000745058
FS( 5 ),5218133.959999999962747,4993472.599999999627471,10211606.559999998658895
FS( 6 ),5211824.299999999813735,4959747.700000000186265,10171572.000000000000000
FS( 7 ),5269512.620000000111759,5045691.799999999813735,10315204.419999999925494
FS( 8 ),5261400.199999999254942,4967362.999999999068677,10228763.199999999254942
FS( 9 ),5369565.799999999813735,5004351.599999999627471,10373917.399999998509884
FS( 10 ),5378579.599999999627471,5006527.400000000372529,10385107.000000000000000
FS( 11 ),5417338.939999999478459,4996736.299999999813735,10414075.239999998360872
FS( 12 ),5351538.199999999254942,5092471.500000000000000,10444009.699999999254942
FS( 13 ),5338918.879999998956919,5096823.099999999627471,10435741.979999998584390
FS( 14 ),5390297.539999999105930,5164272.899999999441206,10554570.439999997615814
FS( 15 ),5349735.439999999478459,5168624.499999999068677,10518359.939999997615814
FS( 16 ),5482238.299999999813735,5190382.500000000000000,10672620.800000000745058
FS( 17 ),5511082.459999999962747,5266535.499999999068677,10777617.959999999031425
FS( 18 ),5550743.179999999701977,5276326.599999999627471,10827069.779999999329448
FS( 19 ),5523701.779999999329448,5282854.000000000000000,10806555.779999999329448
FS( 20 ),5567869.400000000372529,5372061.799999999813735,10939931.199999999254942
FS( 21 ),5585897.000000000000000,5329633.700000000186265,10915530.699999999254942
FS( 22 ),5600319.080000000074506,5304611.999999999068677,10904931.079999998211861
FS( 23 ),5588601.139999999664724,5355743.299999998882413,10944344.439999997615814
FS( 24 ),5488547.959999999962747,5271975.000000000000000,10760522.960000000894070
FS( 25 ),5543532.139999999664724,5300260.399999999441206,10843792.539999999105930
FS( 26 ),5404719.620000000111759,5250216.999999999068677,10654936.619999999180436
FS( 27 ),5429958.259999999776483,5186030.899999999441206,10615989.160000000149012
FS( 28 ),5531814.199999999254942,5278502.400000000372529,10810316.599999999627471
FS( 29 ),5498463.139999999664724,5212140.499999999068677,10710603.639999998733401
FS( 30 ),5575080.439999999478459,5245865.399999999441206,10820945.839999999850988
FS( 31 ),5553447.319999999366701,5251304.900000000372529,10804752.219999998807907
FS( 32 ),5566066.639999999664724,5304611.999999999068677,10870678.639999998733401
FS( 33 ),5516490.740000000223517,5348127.999999999068677,10864618.739999998360872
FS( 34 ),5566066.639999999664724,5547213.700000000186265,11113280.339999999850988
FS( 35 ),5511082.459999999962747,5518928.299999998882413,11030010.759999997913837
FS( 36 ),5449788.620000000111759,5475412.299999999813735,10925200.919999999925494
FS( 37 ),5373171.319999999366701,5385116.599999999627471,10758287.919999998062849
FS( 38 ),5366861.659999999217689,5403610.899999999441206,10770472.559999998658895
FS( 39 ),5367763.039999999105930,5432984.199999999254942,10800747.239999998360872
