代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11333835.500000000000000
真實報酬,1333835.500000000000000

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,11531.565998259435219
風險,139001.474638691783184
起點值,0.082960026346725
找到最佳解世代,2149
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
KO[14](3),PG[21](1),VZ[26](9),WMT[28](2),
Stock#,KO[14](3),PG[21](1),VZ[26](9),WMT[28](2),
張數,51450,23825,44232,24664,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,44.500000000000000,42.750000000000000,7.359999999869615,56.959999999962747,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2489710.000000000000000,2515009.750000000000000,2520789.040000000037253,2494820.560000000055879,10020329.349999999627471
FS( 3 ),2506688.500000000000000,2527398.750000000000000,2531847.040000000037253,2517758.080000000074506,10083692.370000001043081
FS( 4 ),2493826.000000000000000,2517868.750000000000000,2517250.479999999515712,2527130.399999999906868,10056075.629999998956919
FS( 5 ),2469644.500000000000000,2494520.250000000000000,2504865.520000000018626,2498520.159999999683350,9967550.429999999701977
FS( 6 ),2461927.000000000000000,2503335.500000000000000,2493807.520000000018626,2473856.159999999683350,9932926.179999999701977
FS( 7 ),2438774.500000000000000,2483560.750000000000000,2498230.719999999739230,2455111.520000000018626,9875677.490000000223517
FS( 8 ),2479420.000000000000000,2525731.000000000000000,2517250.479999999515712,2513565.199999999720603,10035966.679999999701977
FS( 9 ),2472217.000000000000000,2528113.500000000000000,2510173.359999999869615,2463743.919999999925494,9974247.779999999329448
FS( 10 ),2505145.000000000000000,2515962.750000000000000,2501326.959999999962747,2473609.520000000018626,9996044.230000000447035
FS( 11 ),2530355.500000000000000,2542170.250000000000000,2512827.279999999795109,2463497.279999999795109,10048850.309999998658895
FS( 12 ),2550935.500000000000000,2575763.500000000000000,2538039.520000000018626,2498766.799999999813735,10163505.320000000298023
FS( 13 ),2531384.500000000000000,2560039.000000000000000,2569444.240000000223517,2487668.000000000000000,10148535.740000000223517
FS( 14 ),2513377.000000000000000,2557180.000000000000000,2610137.679999999701977,2503946.239999999757856,10184640.919999999925494
FS( 15 ),2500514.500000000000000,2534308.000000000000000,2631811.359999999869615,2494080.640000000130385,10160714.500000000000000
FS( 16 ),2554537.000000000000000,2542646.750000000000000,2620753.359999999869615,2521457.680000000167638,10239394.789999999105930
FS( 17 ),2564827.000000000000000,2543599.750000000000000,2603945.199999999720603,2512332.000000000000000,10224703.949999999254942
FS( 18 ),2552479.000000000000000,2541932.000000000000000,2623849.600000000093132,2532309.839999999850988,10250570.439999999478459
FS( 19 ),2526239.500000000000000,2488802.250000000000000,2597752.719999999739230,2526143.839999999850988,10138938.309999998658895
FS( 20 ),2501029.000000000000000,2482369.500000000000000,2573425.119999999646097,2518744.640000000130385,10075568.259999999776483
FS( 21 ),2533957.000000000000000,2509530.000000000000000,2513711.919999999925494,2520471.120000000111759,10077670.039999999105930
FS( 22 ),2527783.000000000000000,2451873.500000000000000,2404016.560000000055879,2501973.120000000111759,9885646.179999999701977
FS( 23 ),2571515.500000000000000,2473077.750000000000000,2493807.520000000018626,2514798.399999999906868,10053199.169999999925494
FS( 24 ),2572544.500000000000000,2494043.750000000000000,2486730.399999999906868,2529596.799999999813735,10082915.449999999254942
FS( 25 ),2612675.500000000000000,2542885.000000000000000,2522558.319999999832362,2575471.839999999850988,10253590.660000000149012
FS( 26 ),2644574.500000000000000,2558371.250000000000000,2545116.639999999664724,2592490.000000000000000,10340552.390000000596046
FS( 27 ),2649205.000000000000000,2591488.000000000000000,2531847.040000000037253,2615920.799999999813735,10388460.839999999850988
FS( 28 ),2643545.500000000000000,2590296.750000000000000,2483634.159999999683350,2651930.239999999757856,10369406.650000000372529
FS( 29 ),2640973.000000000000000,2606021.250000000000000,2513711.919999999925494,2662289.120000000111759,10422995.289999999105930
FS( 30 ),2656922.500000000000000,2613168.750000000000000,2537154.879999999888241,2683993.439999999944121,10491239.570000000298023
FS( 31 ),2630683.000000000000000,2642473.500000000000000,2548655.199999999720603,2679800.560000000055879,10501612.259999999776483
FS( 32 ),2639944.000000000000000,2649382.750000000000000,2577848.319999999832362,2690159.439999999944121,10557334.509999999776483
FS( 33 ),2617306.000000000000000,2644379.500000000000000,2549097.520000000018626,2692379.199999999720603,10503162.219999998807907
FS( 34 ),2605472.500000000000000,2611262.750000000000000,2535827.919999999925494,2704464.560000000055879,10457027.730000000447035
FS( 35 ),2630168.500000000000000,2630799.250000000000000,2549097.520000000018626,2703724.640000000130385,10513789.910000000149012
FS( 36 ),2657951.500000000000000,2662248.250000000000000,2536270.240000000223517,2720989.439999999944121,10577459.429999999701977
FS( 37 ),2652292.000000000000000,2649382.750000000000000,2555290.000000000000000,2740967.279999999795109,10597932.029999999329448
FS( 38 ),2671328.500000000000000,2676305.000000000000000,2577406.000000000000000,2743680.319999999832362,10668719.820000000298023
FS( 39 ),2663096.500000000000000,2661771.750000000000000,2565463.359999999869615,2730855.040000000037253,10621186.649999998509884
