代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10470551.990000000223517
真實報酬,470551.990000000223517

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,24062.660271777051094
風險,27878.744774825714558
起點值,0.863118496407537
找到最佳解世代,2104
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
PG[21](7),V[25](4),WBA[27](3),
Stock#,PG[21](7),V[25](4),WBA[27](3),
張數,53694,179597,81419,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,9.479999999981374,12.680000000167638,39.140000000130385,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3342997.919999999925494,3378232.250000000000000,3324376.910000000149012,10045608.080000000074506
FS( 3 ),3311318.459999999962747,3396191.950000000186265,3347174.229999999981374,10054685.640000000596046
FS( 4 ),3316150.919999999925494,3412355.680000000167638,3356130.319999999832362,10084637.919999999925494
FS( 5 ),3336017.700000000186265,3430315.380000000353903,3365086.410000000149012,10131420.490000000223517
FS( 6 ),3323668.080000000074506,3444683.140000000130385,3339032.330000000074506,10107384.550000000745058
FS( 7 ),3339239.339999999850988,3489582.390000000130385,3365900.600000000558794,10194723.330000001937151
FS( 8 ),3376825.140000000130385,3459050.900000000372529,3360201.270000000484288,10196078.310000002384186
FS( 9 ),3382194.540000000037253,3480602.540000000037253,3364272.220000000204891,10227070.300000000745058
FS( 10 ),3398839.679999999701977,3426723.439999999944121,3374856.690000000409782,10200420.809999998658895
FS( 11 ),3446090.400000000372529,3433907.320000000298023,3409052.669999999925494,10289051.390000000596046
FS( 12 ),3436425.479999999981374,3397987.920000000391155,3391140.490000000223517,10225554.890000000596046
FS( 13 ),3428908.319999999832362,3408763.740000000223517,3449762.169999999925494,10287435.230000000447035
FS( 14 ),3421391.160000000149012,3473418.660000000149012,3465231.780000000260770,10360042.600000001490116
FS( 15 ),3397228.860000000335276,3491378.360000000335276,3475816.250000000000000,10364424.470000000670552
FS( 16 ),3402598.259999999776483,3491378.360000000335276,3456275.690000000409782,10350253.310000000521541
FS( 17 ),3427297.500000000000000,3536277.610000000335276,3490471.669999999925494,10454047.780000001192093
FS( 18 ),3437499.359999999869615,3541665.520000000018626,3491285.860000000335276,10470451.740000000223517
FS( 19 ),3463272.479999999981374,3487786.420000000391155,3514897.370000000111759,10465957.269999999552965
FS( 20 ),3484750.080000000074506,3507542.090000000316650,3478258.819999999832362,10470551.990000000223517
