代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10534209.449999999254942
真實報酬,534209.449999999254942

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,22111.364347826118319
風險,48693.048353784732171
起點值,0.454096941870913
找到最佳解世代,2613
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
IBM[10](1),KO[14](10),WMT[28](4),
Stock#,IBM[10](1),KO[14](10),WMT[28](4),
張數,16875,95785,56670,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,14.250000000000000,15.000000000465661,3.600000000093132,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3354933.000000000000000,3313218.150000000838190,3344100.299999999813735,10012252.449999999254942
FS( 3 ),3386151.750000000000000,3316091.700000000186265,3366201.600000000093132,10068446.050000000745058
FS( 4 ),3328776.750000000000000,3293103.300000000745058,3341833.500000000000000,9963714.550000000745058
FS( 5 ),3337383.000000000000000,3295019.000000000465661,3392269.800000000279397,10024672.800000000745058
FS( 6 ),3371808.000000000000000,3318007.400000000372529,3387169.500000000465661,10076985.900000000372529
FS( 7 ),3385476.750000000000000,3329501.600000000093132,3404737.200000000186265,10119716.550000000745058
FS( 8 ),3391889.250000000000000,3360152.800000000279397,3438739.200000000186265,10190782.250000000000000
FS( 9 ),3438801.750000000000000,3364942.050000000745058,3456873.600000000093132,10260618.400000000372529
FS( 10 ),3454664.250000000000000,3363026.350000000558794,3461407.200000000186265,10279098.800000000745058
FS( 11 ),3476264.250000000000000,3368773.450000000651926,3469907.699999999720603,10314946.400000000372529
FS( 12 ),3476433.000000000000000,3360152.800000000279397,3447806.400000000372529,10284393.200000001117587
FS( 13 ),3471539.250000000000000,3371647.000000000931323,3442139.400000000372529,10285326.650000002235174
FS( 14 ),3446733.000000000000000,3381225.500000000000000,3434205.600000000093132,10262165.099999999627471
FS( 15 ),3454158.000000000000000,3406129.600000000558794,3431938.800000000279397,10292227.400000000372529
FS( 16 ),3467658.000000000000000,3420497.350000000558794,3437039.100000000093132,10325195.450000001117587
FS( 17 ),3467489.250000000000000,3423370.900000000838190,3442706.100000000093132,10333567.250000000000000
FS( 18 ),3506133.000000000000000,3443485.750000000931323,3468207.600000000093132,10417827.350000001490116
FS( 19 ),3496176.750000000000000,3442527.900000000372529,3461973.900000000372529,10400679.550000000745058
FS( 20 ),3498033.000000000000000,3479884.050000000279397,3467640.899999999906868,10445558.950000001117587
FS( 21 ),3514570.500000000000000,3535439.350000000093132,3446673.000000000000000,10496683.849999999627471
FS( 22 ),3520983.000000000000000,3545017.850000000093132,3468207.600000000093132,10534209.449999999254942
