代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10283463.430000001564622
真實報酬,283463.430000001564622

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,12587.098758683256165
風險,56486.156215918359521
起點值,0.222835108669265
找到最佳解世代,2078
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
PFE[20](1),XOM[29](6),
Stock#,PFE[20](1),XOM[29](6),
張數,152439,56097,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,0.800000000745058,74.390000000596046,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5137195.100000001490116,4942781.060000000521541,10079976.160000002011657
FS( 3 ),5091463.400000000372529,4933244.570000000298023,10024707.970000000670552
FS( 4 ),5117378.030000001192093,4938854.270000000484288,10056232.300000000745058
FS( 5 ),5118902.420000000856817,4965219.860000001266599,10084122.280000001192093
FS( 6 ),5155487.780000001192093,4968585.680000000633299,10124073.460000000894070
FS( 7 ),5152439.000000000000000,5048243.419999999925494,10200682.419999999925494
FS( 8 ),5054878.040000000037253,4982048.960000000894070,10036927.000000000000000
FS( 9 ),5059451.209999999962747,5030292.380000000819564,10089743.589999999850988
FS( 10 ),5059451.209999999962747,4973634.410000000149012,10033085.620000001043081
FS( 11 ),5088414.620000001043081,5024682.680000000633299,10113097.300000000745058
FS( 12 ),5035060.970000000670552,5022438.800000000745058,10057499.770000001415610
FS( 13 ),5056402.430000000633299,5012341.339999999850988,10068743.769999999552965
FS( 14 ),5088414.620000001043081,5054975.060000000521541,10143389.680000001564622
FS( 15 ),5143292.660000001080334,5034219.169999999925494,10177511.830000001937151
FS( 16 ),5132621.930000000633299,5026365.589999999850988,10158987.519999999552965
FS( 17 ),5198170.700000001117587,5030292.380000000819564,10228463.080000001937151
FS( 18 ),5236280.450000001117587,5063389.610000001266599,10299670.060000002384186
FS( 19 ),5248475.570000000298023,5037584.990000000223517,10286060.560000000521541
FS( 20 ),5275914.590000000782311,5049365.360000001266599,10325279.950000002980232
FS( 21 ),5289634.100000001490116,4993829.330000000074506,10283463.430000001564622
