代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10666002.059999998658895
真實報酬,666002.059999998658895

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,35674.298736842101789
風險,40394.163899570594367
起點值,0.883154775168433
找到最佳解世代,2419
找到最佳解實驗#,2
找到最佳解次數,28

stock[index](rank)
投資組合檔數,8
AXP[1](7),BA[2](2),CSCO[4](12),MSFT[18](3),NKE[19](4),PG[21](13),TRV[22](15),WMT[28](10),
Stock#,AXP[1](7),BA[2](2),CSCO[4](12),MSFT[18](3),NKE[19](4),PG[21](13),TRV[22](15),WMT[28](10),
張數,12128,3226,26404,12161,15335,12824,9882,13317,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,88.320000000065193,150.820000000065193,34.639999999897555,92.419999999925494,44.149999999906868,44.719999999972060,25.820000000065193,66.380000000121072,
FS( 1 ),1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,10000000.000000000000000
FS( 2 ),1254366.080000000074506,1280872.820000000065193,1250264.040000000037253,1285996.559999999823049,1257360.799999999813735,1257181.439999999944121,1245553.100000000093132,1262118.469999999972060,10093713.310000000521541
FS( 3 ),1260187.520000000018626,1323391.500000000000000,1247887.679999999934807,1303994.839999999850988,1270702.250000000000000,1249615.280000000027940,1246936.580000000074506,1273171.580000000074506,10175887.230000000447035
FS( 4 ),1273043.199999999953434,1326391.680000000167638,1253696.559999999823049,1289523.250000000000000,1268401.999999999767169,1255770.800000000046566,1240710.919999999925494,1273704.260000000242144,10181242.669999999925494
FS( 5 ),1266130.239999999990687,1307229.240000000223517,1233101.439999999944121,1280280.889999999897555,1263494.799999999813735,1245768.080000000074506,1252668.140000000130385,1288219.790000000270084,10136892.620000001043081
FS( 6 ),1267706.880000000121072,1306390.480000000214204,1246039.399999999906868,1285145.290000000037253,1263034.750000000000000,1253077.759999999776483,1243082.600000000093132,1272905.239999999990687,10137382.400000000372529
FS( 7 ),1278500.800000000046566,1303293.520000000018626,1256336.959999999962747,1280037.669999999925494,1283276.949999999953434,1260259.199999999953434,1239426.260000000009313,1281161.780000000260770,10182293.140000000596046
FS( 8 ),1297784.320000000065193,1325133.540000000037253,1264522.199999999953434,1299981.709999999962747,1299071.999999999767169,1272954.959999999962747,1257609.140000000130385,1291415.870000000111759,10308473.740000002086163
FS( 9 ),1304576.000000000000000,1324681.899999999906868,1254224.639999999897555,1299008.829999999841675,1309653.149999999906868,1272698.479999999981374,1265317.100000000093132,1304333.360000000102445,10334493.459999999031425
FS( 10 ),1293175.680000000167638,1322230.140000000130385,1277988.239999999757856,1300103.320000000065193,1298611.949999999953434,1262695.759999999776483,1254348.080000000074506,1312057.219999999972060,10321210.390000000596046
FS( 11 ),1302392.959999999962747,1348522.040000000037253,1305184.359999999869615,1316155.839999999850988,1309346.449999999953434,1262952.239999999990687,1272234.500000000232831,1331633.209999999962747,10448421.600000001490116
FS( 12 ),1291720.320000000065193,1343005.580000000074506,1310993.239999999757856,1315547.790000000037253,1296925.099999999860302,1282316.479999999981374,1275792.020000000018626,1361063.780000000260770,10477364.309999998658895
FS( 13 ),1295116.160000000149012,1360071.120000000111759,1310465.159999999916181,1303143.570000000065193,1301065.550000000046566,1273211.439999999944121,1282116.500000000232831,1330168.340000000083819,10455357.839999999850988
FS( 14 ),1293054.400000000139698,1347263.899999999906868,1304656.279999999795109,1330627.429999999934807,1287417.399999999906868,1279623.439999999944121,1282907.060000000055879,1323643.010000000242144,10449192.919999999925494
FS( 15 ),1303120.640000000130385,1368136.120000000111759,1323139.079999999841675,1349598.589999999850988,1299838.750000000000000,1285650.719999999972060,1294765.460000000195578,1325773.729999999981374,10550023.089999999850988
FS( 16 ),1296935.360000000102445,1377233.440000000176951,1341093.799999999813735,1357138.409999999916181,1306126.099999999860302,1276930.399999999906868,1309292.000000000232831,1320047.420000000158325,10584796.929999999701977
FS( 17 ),1297056.640000000130385,1376910.840000000083819,1351391.359999999869615,1366502.379999999888241,1315787.149999999906868,1280264.639999999897555,1316999.960000000195578,1314321.110000000102445,10619234.080000000074506
FS( 18 ),1302878.080000000074506,1404880.260000000009313,1362217.000000000000000,1364191.790000000037253,1321461.099999999860302,1268466.559999999823049,1310576.660000000149012,1306597.250000000000000,10641268.699999999254942
FS( 19 ),1306759.040000000037253,1419461.780000000027940,1366969.719999999972060,1362489.250000000000000,1314713.699999999953434,1263849.919999999925494,1313442.439999999944121,1318316.209999999962747,10666002.059999998658895
