代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11432406.120000001043081
真實報酬,1432406.120000001043081

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,26975.749618067970005
風險,182625.711359086766606
起點值,0.147710579289830
找到最佳解世代,2356
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
HD[9](2),MCD[15](1),PG[21](5),
Stock#,HD[9](2),MCD[15](1),PG[21](5),
張數,28482,33745,46328,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,84.540000000037253,1.899999999906868,33.399999999906868,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3355548.959999999962747,3367415.450000000186265,3355107.160000000149012,10078072.570000000298023
FS( 3 ),3395138.939999999944121,3413983.549999999813735,3392169.560000000055879,10201293.050000000745058
FS( 4 ),3380328.300000000279397,3438617.399999999906868,3400508.600000000093132,10219455.300000000745058
FS( 5 ),3407955.840000000316650,3434230.549999999813735,3415333.560000000055879,10257520.950000001117587
FS( 6 ),3448115.459999999962747,3474049.649999999906868,3446836.600000000093132,10369002.709999999031425
FS( 7 ),3455805.600000000093132,3467638.100000000093132,3450542.840000000316650,10373987.540000000968575
FS( 8 ),3472040.340000000316650,3483835.699999999720603,3443593.639999999664724,10399470.679999999701977
FS( 9 ),3463780.560000000055879,3488559.999999999534339,3433401.479999999981374,10385743.039999999105930
FS( 10 ),3425614.679999999701977,3469662.799999999813735,3438034.279999999795109,10333312.759999999776483
FS( 11 ),3469476.959999999962747,3498008.599999999627471,3440813.959999999497086,10408300.519999999552965
FS( 12 ),3495965.219999999739230,3537152.799999999813735,3470000.600000000093132,10503119.619999999180436
FS( 13 ),3506218.739999999757856,3526016.949999999720603,3482045.879999999888241,10514282.570000000298023
FS( 14 ),3499098.239999999757856,3504082.700000000186265,3448226.440000000409782,10451408.379999998956919
FS( 15 ),3511915.140000000130385,3460214.200000000186265,3409310.919999999925494,10381441.259999999776483
FS( 16 ),3542106.060000000055879,3741310.050000000279397,3467684.199999999720603,10751101.310000000521541
FS( 17 ),3549226.560000000055879,3799351.450000000186265,3568679.239999999757856,10917258.250000000000000
FS( 18 ),3560619.360000000335276,3785516.000000000000000,3589990.119999999646097,10936126.480000000447035
FS( 19 ),3545239.080000000074506,3767293.699999999720603,3580724.520000000018626,10893258.299999998882413
FS( 20 ),3526725.779999999795109,3811162.199999999720603,3544588.680000000167638,10882477.660000000149012
FS( 21 ),3521314.199999999720603,3800363.800000000279397,3568215.959999999497086,10889894.959999999031425
FS( 22 ),3521599.020000000018626,3787878.149999999906868,3538566.039999999571592,10848044.209999999031425
FS( 23 ),3543530.160000000149012,3783153.850000000093132,3548758.199999999720603,10875443.209999999031425
FS( 24 ),3579132.660000000149012,3782141.500000000000000,3569605.799999999813735,10930880.960000000894070
FS( 25 ),3571157.699999999720603,3792939.899999999906868,3570069.080000000074506,10934167.679999999701977
FS( 26 ),3580841.580000000074506,3808125.149999999906868,3539029.319999999832362,10927997.050000000745058
FS( 27 ),3588246.900000000372529,3823647.850000000093132,3501040.359999999403954,10912936.109999999403954
FS( 28 ),3546093.540000000037253,3810824.750000000000000,3493164.600000000093132,10850083.890000000596046
FS( 29 ),3567739.860000000335276,3820610.799999999813735,3510305.959999999497086,10898657.619999999180436
FS( 30 ),3552074.759999999776483,3841870.149999999906868,3519108.279999999795109,10913054.189999999478459
FS( 31 ),3526440.959999999962747,3783153.850000000093132,3458881.879999999888241,10768477.690000001341105
FS( 32 ),3417924.540000000037253,3710939.549999999813735,3426452.279999999795109,10555317.369999999180436
FS( 33 ),3441849.419999999925494,3747721.600000000093132,3488531.799999999813735,10678103.820000000298023
FS( 34 ),3593943.300000000279397,3743672.199999999720603,3477876.359999999403954,10815492.859999999403954
FS( 35 ),3604196.820000000298023,3797326.750000000000000,3516328.600000000093132,10917853.169999999925494
FS( 36 ),3613311.060000000055879,3823310.399999999906868,3531153.560000000055879,10967776.019999999552965
FS( 37 ),3708725.760000000242144,3843894.849999999627471,3512622.359999999403954,11065243.969999998807907
FS( 38 ),3773949.540000000037253,3862792.049999999813735,3519571.560000000055879,11156314.150000000372529
FS( 39 ),3805279.739999999757856,3856380.500000000000000,3541809.000000000000000,11203470.240000000223517
FS( 40 ),3835185.840000000316650,3860429.899999999906868,3516328.600000000093132,11211945.339999999850988
FS( 41 ),3837749.220000000204891,3854693.250000000000000,3507063.000000000000000,11199506.470000000670552
FS( 42 ),3813254.699999999720603,3852331.099999999627471,3467220.919999999925494,11132807.719999998807907
FS( 43 ),3828919.800000000279397,3862117.149999999906868,3518181.719999999739230,11209219.669999999925494
FS( 44 ),3811260.959999999962747,3837483.299999999813735,3511232.520000000018626,11159977.779999999329448
FS( 45 ),3729232.800000000279397,3826347.449999999720603,3508916.119999999646097,11064497.369999999180436
FS( 46 ),3831768.000000000000000,3921170.899999999906868,3605741.639999999664724,11358681.539999999105930
FS( 47 ),3814678.800000000279397,3928594.799999999813735,3630758.760000000242144,11374033.359999999403954
FS( 48 ),3812115.419999999925494,3932306.750000000000000,3602035.399999999906868,11346458.570000000298023
FS( 49 ),3756860.340000000316650,3933994.000000000000000,3599719.000000000000000,11290574.339999999850988
FS( 50 ),3775088.819999999832362,3954915.899999999906868,3603888.520000000018626,11333894.240000000223517
FS( 51 ),3715276.620000000111759,3917121.500000000000000,3603425.239999999757856,11235824.359999999403954
FS( 52 ),3759993.359999999869615,3923195.600000000093132,3627052.520000000018626,11310242.480000000447035
FS( 53 ),3739486.319999999832362,3945804.750000000000000,3691448.440000000409782,11376740.510000001639128
FS( 54 ),3785342.340000000316650,3976512.700000000186265,3752138.119999999646097,11513994.160000000149012
FS( 55 ),3741195.239999999757856,3965039.399999999906868,3719708.520000000018626,11425944.160000000149012
FS( 56 ),3711004.319999999832362,3936693.599999999627471,3619640.039999999571592,11267338.959999999031425
FS( 57 ),3740055.959999999962747,3971450.949999999720603,3657629.000000000000000,11369136.910000000149012
FS( 58 ),3756290.699999999720603,3972463.299999999813735,3687742.199999999720603,11416497.199999999254942
FS( 59 ),3791323.560000000521541,4008907.899999999906868,3702567.160000000149012,11502799.620000001043081
FS( 60 ),3785342.340000000316650,4001146.549999999813735,3696544.520000000018626,11483034.410000000149012
FS( 61 ),3779076.300000000279397,4007220.649999999906868,3702567.160000000149012,11488865.109999999403954
FS( 62 ),3808127.939999999944121,4051764.049999999813735,3722951.479999999981374,11582844.470000000670552
FS( 63 ),3798159.239999999757856,4030167.250000000000000,3709516.359999999403954,11537843.849999999627471
FS( 64 ),3766829.040000000037253,3986636.199999999720603,3678939.879999999888241,11432406.120000001043081
