代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12087585.849999999627471
真實報酬,2087585.849999999627471

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,8709.448948489878603
風險,295483.668609767919406
起點值,0.029475229509188
找到最佳解世代,1950
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](2),NKE[19](3),UNH[23](7),
Stock#,MCD[15](2),NKE[19](3),UNH[23](7),
張數,34083,66150,29446,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,15.600000000093132,34.500000000000000,45.799999999813735,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3276414.390000000130385,3335317.500000000000000,3373379.560000000055879,9985112.450000001117587
FS( 3 ),3276414.390000000130385,3321426.000000000000000,3338338.819999999832362,9936180.210000000894070
FS( 4 ),3285275.970000000204891,3314811.000000000000000,3341872.339999999850988,9941960.310000000521541
FS( 5 ),3298568.340000000316650,3355824.000000000000000,3379268.759999999776483,10033662.099999999627471
FS( 6 ),3347988.690000000409782,3388237.500000000000000,3406359.080000000074506,10142586.269999999552965
FS( 7 ),3323448.930000000167638,3400144.500000000000000,3379563.219999999739230,10103157.649999998509884
FS( 8 ),3338445.450000000186265,3386253.000000000000000,3375735.239999999757856,10100434.689999999478459
FS( 9 ),3317995.649999999906868,3378976.500000000000000,3411659.359999999869615,10108632.509999999776483
FS( 10 ),3330265.529999999795109,3421312.500000000000000,3490280.179999999701977,10241859.209999999031425
FS( 11 ),3341512.920000000391155,3472248.000000000000000,3513836.979999999981374,10327598.900000000372529
FS( 12 ),3340831.259999999776483,3464971.500000000000000,3527676.599999999627471,10333480.359999999403954
FS( 13 ),3431492.040000000502914,3461002.500000000000000,3549761.099999999627471,10442256.640000000596046
FS( 14 ),3412064.729999999981374,3460341.000000000000000,3570078.839999999850988,10442485.570000000298023
FS( 15 ),3383775.840000000316650,3453064.500000000000000,3547110.959999999497086,10383952.299999998882413
FS( 16 ),3373891.770000000018626,3454387.500000000000000,3521492.939999999944121,10349773.209999999031425
FS( 17 ),3355827.779999999795109,3420651.000000000000000,3481740.839999999850988,10258220.619999999180436
FS( 18 ),3362644.379999999888241,3401467.500000000000000,3517370.500000000000000,10281483.379999998956919
FS( 19 ),3288343.440000000409782,3383607.000000000000000,3522376.319999999832362,10194327.759999999776483
FS( 20 ),3269597.790000000502914,3363100.500000000000000,3539749.459999999497086,10172448.750000000000000
FS( 21 ),3279481.859999999869615,3365746.500000000000000,3529443.359999999869615,10174672.719999998807907
FS( 22 ),3281867.670000000391155,3377653.500000000000000,3467312.299999999813735,10126834.469999998807907
FS( 23 ),3289706.759999999776483,3390883.500000000000000,3484979.899999999441206,10165571.160000000149012
FS( 24 ),3282549.330000000074506,3372361.500000000000000,3434921.700000000186265,10089833.530000001192093
FS( 25 ),3256305.420000000391155,3375007.500000000000000,3431388.179999999701977,10062702.099999999627471
FS( 26 ),3248807.159999999683350,3355162.500000000000000,3442577.659999999683350,10046548.320000000298023
FS( 27 ),3228698.190000000409782,3352516.500000000000000,3444933.339999999850988,10026149.030000001192093
FS( 28 ),3248125.500000000000000,3418005.000000000000000,3490869.099999999627471,10157000.599999999627471
FS( 29 ),3258009.570000000298023,3435865.500000000000000,3513542.519999999552965,10207418.589999999850988
FS( 30 ),3239945.580000000074506,3432558.000000000000000,3464367.700000000186265,10136872.280000001192093
FS( 31 ),3214042.500000000000000,3418666.500000000000000,3503530.879999999888241,10136240.879999998956919
FS( 32 ),3225289.890000000130385,3458356.500000000000000,3579207.099999999627471,10262854.490000000223517
FS( 33 ),3245398.859999999869615,3464971.500000000000000,3525909.839999999850988,10236281.199999999254942
FS( 34 ),3277777.709999999962747,3505984.500000000000000,3559772.739999999757856,10343535.949999999254942
FS( 35 ),3274710.240000000223517,3523845.000000000000000,3543282.979999999981374,10341839.220000000670552
FS( 36 ),3301635.810000000055879,3532444.500000000000000,3540927.299999999813735,10375008.609999999403954
FS( 37 ),3312201.540000000502914,3545674.500000000000000,3614247.839999999850988,10472124.880000000819564
FS( 38 ),3293796.720000000204891,3513261.000000000000000,3509125.619999999646097,10316184.339999999850988
FS( 39 ),3264826.170000000391155,3480186.000000000000000,3602174.979999999981374,10347188.150000000372529
FS( 40 ),3315950.670000000391155,3629023.500000000000000,3629265.299999999813735,10574240.469999998807907
FS( 41 ),3252897.120000000111759,3561550.500000000000000,3568606.539999999571592,10383055.160000000149012
FS( 42 ),3240286.409999999683350,3572796.000000000000000,3592457.799999999813735,10405541.210000000894070
FS( 43 ),3263803.680000000167638,3619762.500000000000000,3633093.279999999795109,10516660.459999999031425
FS( 44 ),3277777.709999999962747,3634315.500000000000000,3586863.060000000055879,10498957.269999999552965
FS( 45 ),3260054.550000000279397,3632992.500000000000000,3597169.159999999683350,10490217.210000000894070
FS( 46 ),3295160.040000000502914,3681282.000000000000000,3554178.000000000000000,10530621.040000000968575
FS( 47 ),3266530.320000000298023,3614470.500000000000000,3497641.679999999701977,10378643.500000000000000
FS( 48 ),3288684.270000000018626,3619762.500000000000000,3514131.439999999944121,10422579.209999999031425
FS( 49 ),3328220.550000000279397,3655483.500000000000000,3596874.700000000186265,10580579.750000000000000
FS( 50 ),3354805.290000000502914,3718326.000000000000000,3605708.500000000000000,10678840.790000000968575
FS( 51 ),3366734.340000000316650,3715680.000000000000000,3680795.799999999813735,10763211.140000000596046
FS( 52 ),3376618.409999999683350,3701127.000000000000000,3706119.359999999869615,10783865.769999999552965
FS( 53 ),3335377.979999999981374,3715680.000000000000000,3678734.580000000074506,10729793.560000000521541
FS( 54 ),3323108.100000000093132,3730894.500000000000000,3646932.899999999441206,10700936.500000000000000
FS( 55 ),3322767.270000000018626,3742140.000000000000000,3611597.700000000186265,10676505.969999998807907
FS( 56 ),3316973.159999999683350,3737509.500000000000000,3558889.359999999869615,10613373.019999999552965
FS( 57 ),3325834.740000000223517,3773892.000000000000000,3551527.859999999869615,10651255.599999999627471
FS( 58 ),3309134.070000000298023,3770584.500000000000000,3513836.979999999981374,10593556.550000000745058
FS( 59 ),3275391.899999999906868,3737509.500000000000000,3472907.039999999571592,10485809.439999999478459
FS( 60 ),3273346.920000000391155,3695835.000000000000000,3471140.279999999795109,10440323.199999999254942
FS( 61 ),3317313.990000000223517,3753385.500000000000000,3578323.719999999739230,10649024.210000000894070
FS( 62 ),3347307.029999999795109,3801013.500000000000000,3578323.719999999739230,10726645.250000000000000
FS( 63 ),3380026.709999999962747,3804321.000000000000000,3550055.560000000055879,10734404.269999999552965
FS( 64 ),3403543.979999999981374,3810936.000000000000000,3574790.200000000186265,10789271.179999999701977
FS( 65 ),3388547.459999999962747,3798367.500000000000000,3559772.739999999757856,10746688.699999999254942
FS( 66 ),3379004.220000000204891,3829458.000000000000000,3558300.439999999944121,10766763.660000000149012
FS( 67 ),3401499.000000000000000,3861871.500000000000000,3648994.119999999646097,10912365.619999999180436
FS( 68 ),3386161.649999999906868,3807628.500000000000000,3593635.640000000130385,10787426.790000000968575
FS( 69 ),3371505.959999999962747,3787783.500000000000000,3587157.519999999552965,10746447.980000000447035
FS( 70 ),3387524.970000000204891,3815566.500000000000000,3606591.879999999888241,10809684.350000001490116
FS( 71 ),3367756.830000000074506,3785799.000000000000000,3600113.759999999776483,10753670.589999999850988
FS( 72 ),3349692.840000000316650,3739494.000000000000000,3568901.000000000000000,10658088.839999999850988
FS( 73 ),3386843.310000000055879,3757354.500000000000000,3548877.719999999739230,10693076.530000001192093
FS( 74 ),3383435.009999999776483,3782491.500000000000000,3563600.719999999739230,10729528.230000000447035
FS( 75 ),3430810.379999999888241,3802998.000000000000000,3646049.519999999552965,10879858.899999998509884
FS( 76 ),3434218.680000000167638,3797706.000000000000000,3695518.799999999813735,10927444.480000000447035
FS( 77 ),3445806.899999999906868,3802336.500000000000000,3628381.919999999925494,10876526.320000000298023
FS( 78 ),3400135.680000000167638,3714357.000000000000000,3527382.140000000130385,10641875.820000000298023
FS( 79 ),3310497.390000000130385,3535090.500000000000000,3424026.679999999701977,10269615.570000000298023
FS( 80 ),3165303.810000000055879,3435865.500000000000000,3251767.580000000074506,9852937.890000000596046
FS( 81 ),3108726.029999999795109,3424620.000000000000000,3238516.879999999888241,9771863.910000000149012
FS( 82 ),3243013.050000000279397,3597271.500000000000000,3340988.959999999497086,10181274.509999999776483
FS( 83 ),3317313.990000000223517,3724941.000000000000000,3467901.219999999739230,10510157.210000000894070
FS( 84 ),3280504.350000000093132,3720972.000000000000000,3453472.679999999701977,10454950.029999999329448
FS( 85 ),3238582.259999999776483,3696496.500000000000000,3406948.000000000000000,10342027.759999999776483
FS( 86 ),3185753.609999999869615,3593302.500000000000000,3316548.779999999795109,10095605.889999998733401
FS( 87 ),3273346.920000000391155,3661437.000000000000000,3363662.379999999888241,10298447.300000000745058
FS( 88 ),3272324.430000000167638,3666729.000000000000000,3356595.339999999850988,10295649.769999999552965
FS( 89 ),3232788.149999999906868,3628362.000000000000000,3308598.359999999869615,10169749.509999999776483
FS( 90 ),3298568.340000000316650,3696496.500000000000000,3418431.939999999944121,10413497.779999999329448
FS( 91 ),3252556.290000000502914,3633654.000000000000000,3388691.479999999981374,10274902.770000001415610
FS( 92 ),3246421.350000000093132,3650853.000000000000000,3438455.219999999739230,10335730.570000000298023
FS( 93 ),3320040.629999999888241,3698481.000000000000000,3495286.000000000000000,10513808.629999998956919
FS( 94 ),3305044.109999999869615,3701127.000000000000000,3468784.599999999627471,10474956.709999999031425
FS( 95 ),3346625.370000000111759,3765292.500000000000000,3534449.179999999701977,10646368.050000000745058
FS( 96 ),3363666.870000000111759,3822843.000000000000000,3567428.700000000186265,10753939.570000000298023
FS( 97 ),3334696.320000000298023,3812920.500000000000000,3629559.759999999776483,10777177.580000000074506
FS( 98 ),3307770.750000000000000,3805644.000000000000000,3606297.419999999925494,10719713.169999999925494
FS( 99 ),3336741.300000000279397,3855256.500000000000000,3649583.039999999571592,10841581.839999999850988
FS( 100 ),3312883.200000000186265,3836073.000000000000000,3619842.580000000074506,10768799.780000001192093
FS( 101 ),3319018.140000000130385,3818212.500000000000000,3630148.679999999701977,10767380.320000000298023
FS( 102 ),3315950.670000000391155,3797044.500000000000000,3565661.939999999944121,10678658.109999999403954
FS( 103 ),3326175.570000000298023,4134409.500000000000000,3426676.819999999832362,10887262.890000000596046
FS( 104 ),3270620.279999999795109,4039815.000000000000000,3318610.000000000000000,10629046.279999999329448
FS( 105 ),3322426.440000000409782,3958450.500000000000000,3363367.919999999925494,10644245.859999999403954
FS( 106 ),3358213.590000000316650,4067598.000000000000000,3416076.259999999776483,10841888.849999999627471
FS( 107 ),3366734.340000000316650,4096042.500000000000000,3433743.859999999869615,10896521.699999999254942
FS( 108 ),3401158.170000000391155,4141686.000000000000000,3499113.979999999981374,11041959.150000000372529
FS( 109 ),3448192.709999999962747,4110595.500000000000000,3523259.700000000186265,11082048.910000000149012
FS( 110 ),3473073.300000000279397,4074874.500000000000000,3417254.099999999627471,10965202.900000000372529
FS( 111 ),3468642.509999999776483,4038492.000000000000000,3428443.580000000074506,10935579.089999999850988
FS( 112 ),3508860.450000000186265,4131763.500000000000000,3418137.479999999981374,11058762.429999999701977
FS( 113 ),3502384.680000000167638,4132425.000000000000000,3512070.219999999739230,11146880.899999998509884
FS( 114 ),3518744.520000000018626,4182037.500000000000000,3607475.259999999776483,11308258.279999999329448
FS( 115 ),3523516.140000000130385,4161531.000000000000000,3651055.339999999850988,11336103.480000000447035
FS( 116 ),3504429.659999999683350,4162192.500000000000000,3594519.019999999552965,11261142.179999999701977
FS( 117 ),3533059.379999999888241,4260094.500000000000000,3538571.619999999646097,11331726.500000000000000
FS( 118 ),3572595.659999999683350,4315660.500000000000000,3532976.879999999888241,11421234.039999999105930
FS( 119 ),3561348.270000000018626,4406286.000000000000000,3555061.379999999888241,11522696.649999998509884
