代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11978481.910000000149012
真實報酬,1978481.910000000149012

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,8580.802402139244805
風險,160603.073880085255951
起點值,0.053428631188878
找到最佳解世代,2256
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
CVX[5](4),INTC[11](14),JNJ[12](16),JPM[13](2),MRK[17](3),V[25](15),
Stock#,CVX[5](4),INTC[11](14),JNJ[12](16),JPM[13](2),MRK[17](3),V[25](15),
張數,17681,51361,15263,27838,31036,21480,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,54.939999999944121,1.549999999813735,99.030000000027940,4.940000000176951,32.799999999813735,32.799999999813735,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1651990.770000000018626,1643553.549999999813735,1657508.200000000186265,1648014.540000000270084,1688391.199999999720603,1671821.199999999720603,9961283.459999999031425
FS( 3 ),1638553.209999999962747,1638417.449999999720603,1663002.880000000121072,1624630.620000000111759,1683425.439999999944121,1653348.399999999674037,9901382.000000000000000
FS( 4 ),1676920.979999999981374,1647662.429999999701977,1670176.489999999990687,1637157.720000000204891,1726565.479999999981374,1679983.599999999627471,10038470.699999999254942
FS( 5 ),1676036.930000000167638,1620441.099999999860302,1667887.040000000037253,1595679.100000000093132,1720047.919999999925494,1666451.199999999720603,9946547.289999999105930
FS( 6 ),1703265.669999999925494,1624549.979999999748543,1665292.329999999841675,1607371.060000000288710,1718185.759999999776483,1676117.199999999953434,9994786.000000000000000
FS( 7 ),1683993.379999999888241,1626604.419999999925494,1663308.139999999897555,1620176.540000000270084,1708564.599999999627471,1671606.399999999674037,9974257.479999998584390
FS( 8 ),1724129.250000000000000,1636363.009999999776483,1672923.829999999841675,1650241.580000000307336,1717565.039999999804422,1686642.399999999674037,10087869.109999999403954
FS( 9 ),1725720.539999999804422,1650230.479999999981374,1677044.840000000083819,1720114.960000000195578,1736807.359999999869615,1712203.599999999627471,10222125.779999999329448
FS( 10 ),1732439.320000000065193,1633281.349999999860302,1676586.950000000186265,1742385.360000000335276,1752015.000000000000000,1725521.199999999720603,10262233.179999999701977
FS( 11 ),1719178.570000000065193,1615818.609999999869615,1681776.370000000111759,1722342.000000000000000,1742393.839999999850988,1720151.199999999720603,10201664.589999999850988
FS( 12 ),1745169.639999999897555,1625577.199999999720603,1693223.620000000111759,1733477.200000000186265,1753877.159999999683350,1749578.799999999813735,10300907.620000001043081
FS( 13 ),1776995.439999999944121,1623009.149999999906868,1719933.870000000111759,1762707.100000000093132,1764739.759999999776483,1734542.799999999813735,10381932.120000001043081
FS( 14 ),1798035.829999999841675,1643553.549999999813735,1733670.570000000065193,1788318.060000000055879,1756049.679999999701977,1743134.800000000046566,10462766.490000000223517
FS( 15 ),1792908.340000000083819,1642012.719999999739230,1733517.939999999944121,1770501.740000000223517,1756670.399999999906868,1735402.000000000000000,10431017.140000000596046
FS( 16 ),1803693.750000000000000,1625063.589999999850988,1729702.189999999944121,1780801.800000000046566,1761015.439999999944121,1699315.599999999860302,10399596.369999999180436
FS( 17 ),1794853.250000000000000,1612223.339999999850988,1732602.160000000149012,1770501.740000000223517,1744876.719999999739230,1678479.999999999767169,10333541.210000000894070
FS( 18 ),1808644.430000000167638,1612736.949999999720603,1723444.359999999869615,1779688.280000000260770,1739290.239999999757856,1686857.199999999953434,10350665.459999999031425
FS( 19 ),1836226.789999999804422,1630713.299999999813735,1721307.540000000037253,1784699.120000000111759,1747669.959999999962747,1691797.599999999860302,10412418.310000000521541
FS( 20 ),1810589.340000000083819,1597842.259999999776483,1716881.270000000018626,1770501.740000000223517,1729979.439999999944121,1668599.199999999953434,10294397.249999998137355
FS( 21 ),1806699.520000000018626,1555212.629999999888241,1710776.070000000065193,1759366.540000000270084,1702047.039999999804422,1659147.999999999767169,10193253.799999998882413
FS( 22 ),1826679.050000000046566,1572161.759999999776483,1721002.280000000027940,1775790.960000000195578,1716323.599999999627471,1685353.599999999627471,10297315.249999998137355
FS( 23 ),1791493.859999999869615,1559321.509999999776483,1720086.500000000000000,1741550.220000000204891,1709495.679999999701977,1658073.999999999767169,10180025.769999999552965
FS( 24 ),1778586.729999999981374,1533127.399999999906868,1712912.889999999897555,1741550.220000000204891,1701115.959999999962747,1658073.999999999767169,10125371.199999999254942
FS( 25 ),1793261.959999999962747,1535695.449999999720603,1722986.469999999972060,1704804.060000000288710,1678770.039999999804422,1661725.599999999860302,10097247.580000000074506
FS( 26 ),1801041.599999999860302,1542885.989999999757856,1720849.649999999906868,1714825.740000000223517,1663562.399999999906868,1669458.399999999674037,10112627.780000001192093
FS( 27 ),1774343.289999999804422,1530559.349999999860302,1735807.389999999897555,1703968.920000000158325,1679080.399999999906868,1680198.399999999674037,10103961.750000000000000
FS( 28 ),1790609.809999999823049,1548022.089999999850988,1750307.239999999990687,1727074.460000000195578,1697081.279999999795109,1701248.799999999813735,10214347.679999999701977
FS( 29 ),1788311.280000000027940,1543913.209999999729916,1745728.340000000083819,1720671.720000000204891,1685597.959999999962747,1660436.799999999813735,10144663.310000002384186
FS( 30 ),1805638.659999999916181,1528504.909999999916181,1743591.520000000018626,1719558.200000000186265,1679701.119999999646097,1673109.999999999767169,10150108.410000000149012
FS( 31 ),1781238.879999999888241,1536209.059999999823049,1733365.310000000055879,1703690.540000000270084,1672252.479999999981374,1650341.199999999720603,10077101.469999998807907
FS( 32 ),1808644.430000000167638,1560862.339999999850988,1746796.750000000000000,1716496.020000000018626,1696150.199999999720603,1671176.799999999813735,10200130.539999999105930
FS( 33 ),1781415.689999999944121,1539804.329999999841675,1737486.320000000065193,1716496.020000000018626,1685908.319999999832362,1649482.000000000000000,10110596.679999999701977
FS( 34 ),1769215.800000000046566,1540317.939999999711290,1733823.200000000186265,1782750.460000000428408,1696770.919999999925494,1663229.199999999953434,10186111.519999999552965
FS( 35 ),1765502.789999999804422,1521827.979999999748543,1722528.579999999841675,1764655.760000000242144,1693977.679999999701977,1651415.199999999720603,10119911.989999998360872
FS( 36 ),1764441.930000000167638,1548535.699999999720603,1719323.350000000093132,1767996.320000000065193,1710426.759999999776483,1668384.399999999906868,10179112.460000000894070
FS( 37 ),1757192.719999999972060,1552644.579999999841675,1711997.109999999869615,1766604.420000000158325,1704529.919999999925494,1658503.599999999627471,10151476.349999999627471
FS( 38 ),1771514.329999999841675,1595274.209999999729916,1720086.500000000000000,1796669.460000000428408,1725634.399999999906868,1705115.199999999720603,10314298.099999999627471
FS( 39 ),1799450.309999999823049,1612223.339999999850988,1730160.079999999841675,1823950.699999999953434,1755739.319999999832362,1698241.599999999860302,10419769.349999999627471
FS( 40 ),1794676.439999999944121,1617359.439999999711290,1723291.730000000214204,1810310.080000000307336,1750152.839999999850988,1696952.799999999813735,10392747.330000001937151
FS( 41 ),1803870.559999999823049,1621468.319999999832362,1725733.810000000055879,1821445.280000000260770,1752946.079999999608845,1711129.599999999627471,10436597.649999998509884
FS( 42 ),1785835.939999999944121,1622495.539999999804422,1720086.500000000000000,1816991.199999999953434,1746118.159999999683350,1695663.999999999767169,10387195.339999999850988
FS( 43 ),1788134.469999999972060,1626090.809999999823049,1721460.170000000158325,1828683.160000000149012,1748290.679999999701977,1701678.399999999674037,10414341.689999999478459
FS( 44 ),1777525.869999999878928,1631226.909999999916181,1747559.899999999906868,1832023.720000000204891,1763498.319999999832362,1717358.799999999813735,10469197.519999999552965
FS( 45 ),1779824.399999999906868,1624036.369999999878928,1751680.910000000149012,1799453.260000000242144,1757911.839999999850988,1717143.999999999767169,10430054.779999999329448
FS( 46 ),1788841.709999999962747,1627118.029999999795109,1767096.540000000037253,1817269.580000000307336,1774360.919999999925494,1730032.000000000000000,10504722.779999999329448
FS( 47 ),1826855.859999999869615,1637390.229999999748543,1766486.020000000018626,1811145.220000000204891,1769084.799999999813735,1731320.799999999580905,10542286.929999997839332
FS( 48 ),1822789.229999999981374,1637903.839999999850988,1767554.429999999934807,1816434.440000000176951,1788327.119999999646097,1753874.800000000046566,10586887.860000001266599
FS( 49 ),1817838.550000000046566,1640471.889999999897555,1785870.030000000027940,1802515.440000000176951,1774671.279999999795109,1745497.599999999860302,10566868.789999999105930
FS( 50 ),1803163.320000000065193,1645607.989999999757856,1786022.660000000149012,1777182.860000000335276,1763187.959999999962747,1722299.199999999953434,10497467.989999998360872
FS( 51 ),1805285.039999999804422,1652284.919999999925494,1782664.800000000046566,1761315.200000000186265,1741462.759999999776483,1684064.800000000046566,10427081.519999999552965
FS( 52 ),1790786.619999999878928,1650744.089999999850988,1787701.590000000083819,1728187.980000000214204,1745807.799999999813735,1687716.399999999674037,10390948.480000000447035
FS( 53 ),1779293.969999999972060,1623522.759999999776483,1776864.859999999869615,1725125.800000000046566,1740842.039999999804422,1679124.399999999906868,10324777.830000000074506
FS( 54 ),1787073.609999999869615,1627631.639999999897555,1780375.350000000093132,1732085.300000000046566,1784602.799999999813735,1682990.799999999580905,10394763.499999998137355
